EntryCountry,EntryTier,CoverageStartSeason,Teams,MedianInitial,MeanChange20,MeanChange50,MeanChange100
Austria,1,1952,14,2510,-0.8,2.8,58.2
Belgium,1,1900,9,2515,3.2,6.6,8.7
Czechia,1,1993,16,2430,0,20.9,33
England,1,1888,12,2750,1.4,1.2,5.4
England,2,1998,4,2528,27.6,81.6,68
England,3,1998,13,2350,59.5,113.9,122.8
England,4,1998,18,2150,41.3,87.2,146
England,5,2005,16,1950,28,62.1,119.9
France,1,1947,18,2689,0,9.6,6.1
France,2,2014,6,2495,41.4,73.2,86.1
Germany,1,1963,16,2685,0.6,-1.2,18.9
Germany,2,2012,8,2491,20.1,49.1,88.1
Greece,1,1987,16,2450,0,5.6,20.4
Italy,1,1929,18,2675,0,8.3,13.6
Italy,2,2013,9,2479,46.9,62.7,115
Netherlands,1,1957,18,2575,-0.7,17,23.6
Portugal,1,1934,8,2550,6.8,35.1,124.7
Scotland,1,1890,10,2430,15.1,38.2,75.5
Spain,1,1928,10,2737,0,3.5,43.8
Spain,2,2012,9,2552,37.4,80.4,109.5
Switzerland,1,1924,28,2500,7.9,24.9,35.3
Turkey,1,1958,16,2510,3.7,11.5,29.1
Ukraine,1,1991,20,2475,3,11.2,21.9
