EntryCountry,EntryTier,EntryPeriod,CoverageEntry,Teams,MedianInitial,Teams20,MeanChange20,MedianChange20,Teams50,MeanChange50,MedianChange50,Teams100,MeanChange100,MedianChange100
Austria,1,Before 1990,TRUE,14,2510,14,-0.8,-12.1,13,2.8,-28.2,12,58.2,33.3
Austria,1,Before 1990,FALSE,32,2510,32,-4,0.8,26,0.6,-4.8,20,35.8,29.7
Austria,1,2010-2019,FALSE,7,2510,7,35.4,52,7,49.9,70.2,7,70.7,52
Austria,1,1990-1999,FALSE,3,2510,3,20,-3.5,3,22.7,4.2,3,-16.5,-46.5
Austria,1,2000-2009,FALSE,4,2510,4,42.7,47.6,3,66.7,17.6,3,63.8,55.9
Belgium,1,2000-2009,FALSE,7,2515,7,8.4,0.8,5,27.3,37.2,5,21.6,29.2
Belgium,1,Before 1990,FALSE,46,2515,42,-9.4,-6.9,38,-0.1,-9.6,33,16.1,18.6
Belgium,1,Before 1990,TRUE,9,2515,8,3.2,-11.7,7,6.6,-21.2,7,8.7,-20.1
Belgium,1,2010-2019,FALSE,4,2515,4,8.6,12.7,4,14.5,2.4,4,-11.5,-2.4
Belgium,1,1990-1999,FALSE,6,2515,6,12.3,11.8,5,70.2,61,5,91.9,79.7
Belgium,1,2020-present,FALSE,1,2515,0,,,0,,,0,,
Czechia,1,1990-1999,TRUE,16,2430,16,0,19.7,15,20.9,0.1,14,33,14.9
Czechia,1,2010-2019,FALSE,2,2430,2,-16.7,-16.7,0,,,0,,
Czechia,1,2000-2009,FALSE,7,2430,7,-1.1,-5.4,7,-5.4,6,5,9.8,3.9
Czechia,1,1990-1999,FALSE,9,2430,9,-28,-20.3,6,1.3,11.8,6,39.3,38.6
Czechia,1,2020-present,FALSE,2,2430,2,50.4,50.4,2,-11.5,-11.5,2,-95,-95
England,1,Before 1990,TRUE,12,2750,12,1.4,-14.2,12,1.2,-17.8,12,5.4,-16.7
England,1,Before 1990,FALSE,47,2750,47,-3.9,-8.5,46,6.2,11.7,45,-10.9,8.2
England,1,1990-1999,FALSE,2,2750,2,-40,-40,2,-55.8,-55.8,2,-89.5,-89.5
England,2,1990-1999,TRUE,4,2528,4,27.6,40,4,81.6,85.4,4,68,70.8
England,3,1990-1999,TRUE,13,2350,13,59.5,56.7,13,113.9,109.1,13,122.8,142.6
England,3,2000-2009,FALSE,1,2350,1,1.3,1.3,1,72.3,72.3,1,83.5,83.5
England,4,1990-1999,TRUE,18,2150,18,41.3,43.7,18,87.2,80.5,17,146,138.3
England,4,2000-2009,FALSE,5,2150,5,85.4,86.1,5,149.3,151.8,5,222.2,237.7
England,4,1990-1999,FALSE,1,2150,1,52.9,52.9,1,159.8,159.8,1,155.9,155.9
England,5,2000-2009,TRUE,16,1950,16,28,25.3,15,62.1,52.7,15,119.9,96
England,5,2010-2019,FALSE,26,1950,26,48.8,49,23,92,76.2,21,128.5,121.9
