Team,SeasonStart,Country,PrevTier,Tier,Direction,StartRating,R20,R30,Change20,Change30
Accrington Stanley,2006,England,5,4,Promoted,2215.18875256039,2254.93743449087,2255.08071705209,39.74868193048,39.8919644917
Accrington Stanley,2018,England,4,3,Promoted,2485.92599014579,2496.40517667794,2478.86255492109,10.4791865321499,-7.06343522469979
Accrington Stanley,2023,England,3,4,Relegated,2418.82917251359,2365.81873156243,2359.7264363079,-53.01044095116,-59.1027362056902
Ajaccio,2014,France,1,2,Relegated,2617.88068160748,2616.26150020168,2578.95966216362,-1.61918140579974,-38.9210194438597
Ajaccio,2022,France,2,1,Promoted,2699.97329402132,2665.16047259596,2630.19196576493,-34.8128214253597,-69.7813282563898
Ajaccio,2023,France,1,2,Relegated,2633.16468924864,2624.55585387332,2580.33571355211,-8.60883537532027,-52.8289756965301
Alavés,2016,Spain,2,1,Promoted,2757.83174391852,2800.63069949577,2829.65612199104,42.7989555772501,71.8243780725202
Alavés,2022,Spain,1,2,Relegated,2745.24225915811,2754.28563086965,2754.99484584729,9.0433717115402,9.75258668918013
Alavés,2023,Spain,2,1,Promoted,2746.59556584766,2776.42826559751,2782.93229685642,29.8326997498498,36.3367310087601
Aldershot Town,2008,England,5,4,Promoted,2206.11191350862,2282.22995153503,2252.24703791091,76.11803802641,46.1351244022899
Aldershot Town,2013,England,4,5,Relegated,2332.17655551621,2247.05641128609,2226.19497286946,-85.1201442301199,-105.98158264675
Almería,2013,Spain,2,1,Promoted,2731.40648243205,2723.34579256063,2733.76378477898,-8.06068987141998,2.35730234693028
Almería,2015,Spain,1,2,Relegated,2719.06485385914,2657.40683642363,2670.37834299909,-61.6580174355099,-48.68651086005
Almería,2022,Spain,2,1,Promoted,2787.1970576234,2791.39139619438,2777.27899116663,4.19433857098011,-9.91806645676979
Almería,2024,Spain,1,2,Relegated,2723.78789483885,2775.8997859361,2736.49909772187,52.11189109725,12.7112028830197
Amiens,2017,France,2,1,Promoted,2691.94837422816,2672.25047764591,2667.41171158325,-19.69789658225,-24.5366626449099
Amiens,2020,France,1,2,Relegated,2689.36208331993,2658.56627192056,2634.36056119566,-30.79581139937,-55.0015221242702
Angers,2015,France,2,1,Promoted,2686.86415583265,2749.37830483297,2695.51498530615,62.5141490003202,8.65082947349993
Angers,2023,France,1,2,Relegated,2604.49381503461,2668.4192008115,2642.47800899436,63.9253857768899,37.98419395975
Angers,2024,France,2,1,Promoted,2656.39806412485,2710.12404236799,2700.84640865247,53.7259782431402,44.4483445276201
Arminia Bielefeld,2020,Germany,2,1,Promoted,2704.07134453526,2697.39428529444,2717.61365564177,-6.67705924081974,13.5423111065102
Arminia Bielefeld,2022,Germany,1,2,Relegated,2683.85682383158,2607.07913437786,2609.4235538977,-76.7776894537201,-74.4332699338802
Aston Villa,2016,England,1,2,Relegated,2660.6526025177,2679.68189059596,2630.11874465335,19.0292880782599,-30.53385786435
Aston Villa,2019,England,2,1,Promoted,2741.7425695408,2774.87002852377,2760.67882404754,33.12745898297,18.9362545067397
Auxerre,2022,France,2,1,Promoted,2713.69226612489,2667.12421135738,2700.12480849039,-46.5680547675102,-13.5674576345
Auxerre,2023,France,1,2,Relegated,2705.82522415079,2736.99963322695,2732.55220655412,31.1744090761604,26.7269824033301
Auxerre,2024,France,2,1,Promoted,2745.31713759967,2729.62669156147,2761.55107304996,-15.6904460381998,16.2339354502901
Barnet,2013,England,4,5,Relegated,2309.47411615962,2254.54290486795,2223.73818680157,-54.93121129167,-85.7359293580498
Barnet,2015,England,5,4,Promoted,2261.4098355481,2292.06060732194,2308.24649953057,30.65077177384,46.8366639824699
Barnet,2018,England,4,5,Relegated,2298.29666500221,2252.84276135778,2228.50983945572,-45.4539036444298,-69.78682554649
Barnet,2025,England,5,4,Promoted,2313.51411772356,2292.86153568608,,-20.65258203748,
Barnsley,1998,England,1,2,Relegated,2708.08106600456,2694.17611150339,2712.62834915098,-13.9049545011699,4.54728314641989
Barnsley,2002,England,2,3,Relegated,2634.68796134472,2577.49594519441,2525.23370745231,-57.1920161503099,-109.45425389241
Barnsley,2006,England,3,2,Promoted,2568.25367072667,2580.49744006999,2587.74869011502,12.2437693433199,19.4950193883501
Barnsley,2014,England,2,3,Relegated,2567.22328519752,2509.44256653714,2488.13248260067,-57.78071866038,-79.0908025968502
Barnsley,2016,England,3,2,Promoted,2551.83341790334,2598.93812799522,2611.3925095911,47.10471009188,59.55909168776
Barnsley,2018,England,2,3,Relegated,2565.95520425429,2546.91347745004,2593.98744037796,-19.0417268042502,28.0322361236699
Barnsley,2019,England,3,2,Promoted,2627.59862146425,2548.32586469188,2558.01264785427,-79.27275677237,-69.5859736099797
Barnsley,2022,England,2,3,Relegated,2534.4620497478,2574.50264893309,2591.07743670011,40.0405991852899,56.61538695231
Barrow,2020,England,5,4,Promoted,2243.68061317167,2252.08805882861,2227.57858852888,8.40744565694013,-16.1020246427897
Benevento,2017,Italy,2,1,Promoted,2660.90840379958,2607.73610221538,2599.29670115404,-53.1723015841999,-61.6117026455399
Benevento,2018,Italy,1,2,Relegated,2628.63948240934,2665.50153469219,2666.00504834779,36.8620522828501,37.3655659384499
Benevento,2020,Italy,2,1,Promoted,2765.79066900131,2743.23196402789,2731.27689356146,-22.5587049734199,-34.5137754398502
Benevento,2021,Italy,1,2,Relegated,2717.35029626286,2695.70165122157,2697.18634310721,-21.6486450412899,-20.1639531556498
Birmingham City,2002,England,2,1,Promoted,2768.5362800279,2797.20647431355,2775.42890265222,28.6701942856503,6.89262262432021
Birmingham City,2006,England,1,2,Relegated,2800.35687756843,2792.24406054873,2793.34853902116,-8.11281701969983,-7.00833854726989
Birmingham City,2007,England,2,1,Promoted,2784.03339910623,2777.89396887631,2785.13960814995,-6.13943022991998,1.10620904372036
Birmingham City,2008,England,1,2,Relegated,2795.67896342785,2809.0174917204,2788.91516542419,13.3385282925501,-6.76379800365976
Birmingham City,2009,England,2,1,Promoted,2782.88877627617,2859.04394728729,2844.28475234582,76.1551710111198,61.3959760696498
Birmingham City,2011,England,1,2,Relegated,2812.10150712868,2750.84753450225,2804.37264762916,-61.2539726264304,-7.72885949952024
Birmingham City,2024,England,2,3,Relegated,2566.5413970493,2641.92802929586,2664.24779699935,75.3866322465601,97.7063999500501
Birmingham City,2025,England,3,2,Promoted,2697.0936548221,2660.69529586299,2663.81815941024,-36.3983589591098,-33.27549541186
Blackburn Rovers,1999,England,1,2,Relegated,2778.56671989301,2749.40282271867,2742.57905787272,-29.16389717434,-35.9876620202899
Blackburn Rovers,2001,England,2,1,Promoted,2822.69482050607,2847.04957407977,2850.21877545112,24.3547535737002,27.5239549450503
Blackburn Rovers,2012,England,1,2,Relegated,2767.10166350044,2727.81412077999,2732.92555154508,-39.2875427204499,-34.1761119553598
Blackburn Rovers,2017,England,2,3,Relegated,2638.5877459824,2646.78790612534,2638.65553410463,8.20016014294015,0.067788122230013
Blackburn Rovers,2018,England,3,2,Promoted,2663.62554006626,2679.36111285136,2678.24594513406,15.7355727851,14.6204050678002
Blackpool,2000,England,3,4,Relegated,2508.70009826933,2429.4408812219,2462.77517772855,-79.25921704743,-45.92492054078
Blackpool,2001,England,4,3,Promoted,2418.68926331732,2489.61481451208,2491.92717899461,70.9255511947599,73.23791567729
Blackpool,2007,England,3,2,Promoted,2634.31548892496,2628.21845188971,2644.44157573895,-6.09703703524974,10.1260868139902
Blackpool,2010,England,2,1,Promoted,2731.07036839946,2779.29830472722,2755.71073909213,48.2279363277598,24.6403706926699
Blackpool,2011,England,1,2,Relegated,2767.30685375357,2741.54818584664,2769.2725541609,-25.75866790693,1.96570040733013
Blackpool,2015,England,2,3,Relegated,2504.10074685969,2436.62222853218,2458.0242974421,-67.4785183275099,-46.0764494175901
Blackpool,2016,England,3,4,Relegated,2426.56339547244,2424.82059035357,2414.64961976606,-1.74280511886991,-11.91377570638
Blackpool,2017,England,4,3,Promoted,2427.47946383254,2436.96506040824,2412.56400689165,9.48559657569967,-14.9154569408902
Blackpool,2021,England,3,2,Promoted,2577.05143510165,2611.43540896714,2601.56470169972,34.3839738654901,24.51326659807
Blackpool,2023,England,2,3,Relegated,2563.7654556688,2550.33638277974,2535.9956250561,-13.4290728890601,-27.7698306126999
Bochum,2021,Germany,2,1,Promoted,2685.64924475511,2730.21608476175,2737.50567165614,44.5668400066402,51.8564269010299
Bochum,2025,Germany,1,2,Relegated,2676.5438265552,,,,
Bologna,2014,Italy,1,2,Relegated,2649.31967631183,2663.52730562082,2691.62920285087,14.2076293089899,42.3095265390402
Bologna,2015,Italy,2,1,Promoted,2670.92241137344,2703.08091799353,2716.35812595168,32.1585066200901,45.4357145782401
Bolton Wanderers,1998,England,1,2,Relegated,2744.32825096254,2762.33789042608,2799.49773652659,18.0096394635398,55.1694855640499
Bolton Wanderers,2001,England,2,1,Promoted,2821.4747894183,2805.5429592386,2793.22114624877,-15.9318301797002,-28.2536431695303
Bolton Wanderers,2012,England,1,2,Relegated,2789.67934542464,2736.44904915959,2722.66106616695,-53.2302962650501,-67.0182792576898
Bolton Wanderers,2016,England,2,3,Relegated,2537.21929880954,2575.62792226421,2582.14662544741,38.4086234546703,44.92732663787
Bolton Wanderers,2017,England,3,2,Promoted,2584.61110765104,2590.05452359464,2608.31487189391,5.44341594360003,23.70376424287
Bolton Wanderers,2019,England,2,3,Relegated,2482.66039332013,2443.90599254075,2393.94327609323,-38.7544007793799,-88.7171172269
Bolton Wanderers,2020,England,3,4,Relegated,2370.42962133843,2351.46307153322,2382.3790172716,-18.96654980521,11.9493959331699
Bolton Wanderers,2021,England,4,3,Promoted,2428.74516732981,2432.29831594422,2462.07668283569,3.55314861441002,33.3315155058799
Bordeaux,2022,France,1,2,Relegated,2670.93591521796,2684.03667215687,2706.7939507167,13.1007569389099,35.8580354987398
Bournemouth,2002,England,3,4,Relegated,2475.41848261413,2484.31457618615,2467.48224671196,8.89609357202016,-7.93623590216976
Bournemouth,2003,England,4,3,Promoted,2434.25065040414,2511.52633717862,2520.37773903081,77.2756867744802,86.1270886266702
Bournemouth,2008,England,3,4,Relegated,2519.70448024988,2428.09435388193,2417.1381005039,-91.6101263679498,-102.56637974598
Bournemouth,2010,England,4,3,Promoted,2421.0217801005,2473.97337642917,2538.44340216132,52.9515963286699,117.42162206082
Bournemouth,2013,England,3,2,Promoted,2608.9757144427,2605.05203599615,2636.44822791765,-3.92367844654973,27.4725134749501
Bournemouth,2015,England,2,1,Promoted,2784.3327063576,2790.58116964445,2821.58460566279,6.24846328684998,37.2518993051904
Bournemouth,2020,England,1,2,Relegated,2749.72981740899,2755.7862929225,2726.93351482853,6.05647551350967,-22.7963025804602
Bournemouth,2022,England,2,1,Promoted,2759.33244319557,2737.73363355564,2772.04779389611,-21.5988096399296,12.7153507005401
Bradford City,1999,England,2,1,Promoted,2804.75623585814,2771.02400918038,2755.50668152626,-33.7322266777601,-49.2495543318801
Bradford City,2001,England,1,2,Relegated,2720.29568083269,2708.74878853518,2662.89304918599,-11.5468922975097,-57.4026316466998
Bradford City,2004,England,2,3,Relegated,2540.09656470295,2556.90213935468,2559.12709651319,16.8055746517298,19.0305318102396
Bradford City,2007,England,3,4,Relegated,2456.52162621824,2386.34950580068,2387.42853756742,-70.1721204175597,-69.0930886508199
Bradford City,2013,England,4,3,Promoted,2411.43090920559,2461.5543062878,2433.46339773907,50.12339708221,22.0324885334799
Bradford City,2019,England,3,4,Relegated,2401.48303019629,2413.609697091,2394.99979860282,12.1266668947096,-6.48323159347001
Bradford City,2025,England,4,3,Promoted,2419.94412721756,2495.89392579015,2467.82253803021,75.9497985725902,47.8784108126502
Brentford,1999,England,4,3,Promoted,2553.78423630572,2563.46188816895,2538.42906685514,9.67765186323004,-15.35516945058
Brentford,2007,England,3,4,Relegated,2425.68240845878,2359.65986503786,2404.68735299109,-66.0225434209201,-20.9950554676902
