BenchmarkYear,Year,ActiveCohortTeams,MeanElo,MedianElo,P90
1990,1990,237,2663.9,2674.8,2841.8
1990,2023,165,2728,2725.4,2945.2
1990,2025,162,2734.6,2713.7,2949
1990,1991,214,2671.1,2684.9,2848.5
1990,1992,192,2680.1,2697.9,2850.3
1990,1993,183,2684.7,2696.1,2849.4
1990,1994,179,2688.7,2706.9,2851.3
1990,1995,171,2690.1,2707.5,2859.2
1990,1996,170,2695,2712.3,2863
1990,1997,166,2696.9,2699,2863.6
1990,1998,168,2696.5,2705.1,2864.6
1990,1999,166,2702.2,2724.9,2865.6
1990,2000,166,2699.8,2722.5,2858.8
1990,2001,167,2699.2,2713.7,2856.2
1990,2002,162,2704,2704.7,2875.2
1990,2003,159,2706.6,2710.2,2878.1
1990,2004,161,2710.2,2716.3,2865.2
1990,2005,159,2711.5,2719.1,2860.3
1990,2006,159,2708,2698,2888.3
1990,2007,155,2710.2,2722.1,2874.9
1990,2008,153,2713.9,2714.3,2870.5
1990,2009,156,2713,2718.7,2880.1
1990,2010,159,2707.3,2712.7,2883.4
1990,2011,161,2702.9,2718.1,2880.6
1990,2012,160,2705,2707.8,2878.4
1990,2013,161,2708.3,2706.6,2911.8
1990,2014,164,2707.5,2693.9,2888.3
1990,2015,166,2706.1,2692.6,2885.1
1990,2016,163,2713.5,2699.9,2894.3
1990,2017,165,2709.3,2692.4,2906.5
1990,2018,167,2710.7,2691.7,2927.2
1990,2019,169,2709.1,2695.8,2918.5
1990,2020,164,2717.2,2712.9,2928
1990,2021,163,2727.3,2711.8,2947.8
1990,2022,141,2750.8,2736,2932.1
1990,2024,167,2729.2,2708.8,2946.2
1990,2026,122,2778.8,2783.4,2951.3
1995,1995,289,2642.6,2640.8,2833.6
1995,1996,266,2652.6,2658.9,2836.2
1995,1997,239,2664.2,2667,2844.6
1995,1998,231,2669.3,2682.3,2842
1995,1999,218,2670.3,2682.2,2847.6
1995,2000,217,2672.9,2678,2858.6
1995,2001,212,2678.2,2701.3,2852.5
1995,2002,205,2681.7,2681.9,2871
1995,2004,194,2688.2,2685.2,2865.1
1995,2005,186,2690,2691.5,2866.6
1995,2003,199,2684.5,2679.3,2872.7
1995,2012,185,2688.5,2687.9,2874.8
1995,2013,189,2690.4,2694.6,2886.6
1995,2014,191,2688.8,2682.3,2884.7
1995,2015,193,2690.3,2673.9,2880.2
1995,2016,185,2697.3,2680.8,2888
1995,2017,187,2697.7,2690,2904.7
1995,2018,195,2698.6,2681.8,2909.4
1995,2020,186,2702.2,2693.2,2926.2
1995,2021,184,2709,2686.9,2923.6
1995,2022,146,2745.2,2729.6,2938.7
1995,2023,185,2715.9,2705,2935.9
1995,2006,182,2692.3,2676.7,2886.1
1995,2007,187,2690.5,2692.4,2870.2
1995,2008,185,2691.8,2686.4,2861.1
1995,2009,187,2691.9,2688.2,2877.5
1995,2010,184,2691.3,2690.8,2877.6
1995,2011,184,2688.1,2697.1,2863.7
1995,2019,190,2702,2691.1,2918.4
1995,2024,191,2712.3,2690.2,2941.4
1995,2025,188,2711.1,2685.4,2945.3
1995,2026,132,2764.9,2757.7,2950.8
2000,2000,358,2626.9,2639.4,2822.1
2000,2001,333,2634.9,2643.1,2830.4
2000,2002,315,2638.8,2651.4,2844.7
2000,2004,286,2647.1,2645.9,2850
2000,2005,280,2645,2649.8,2848.1
2000,2003,301,2641.7,2646.1,2848.5
2000,2012,267,2635.9,2656.5,2850.1
2000,2013,272,2635.6,2658.6,2850.7
2000,2014,273,2636.7,2660.5,2853.6
2000,2015,269,2638.6,2651.8,2866
2000,2016,259,2643.3,2657,2863.6
2000,2017,262,2643.4,2656.9,2879.3
2000,2018,274,2641.1,2657.3,2850.3
2000,2020,266,2645.3,2649.1,2893.4
2000,2021,259,2650.8,2653.1,2894.7
2000,2022,217,2666.3,2672.5,2918
2000,2023,256,2651.7,2647.7,2903.5
2000,2008,268,2642.9,2650.3,2849.4
2000,2009,268,2642.5,2655.7,2855
2000,2010,261,2641.3,2657.6,2856.5
2000,2011,264,2636.4,2648.1,2850.8
2000,2006,277,2643,2641.6,2855
2000,2007,272,2640.6,2650.7,2851.9
2000,2019,273,2641,2655.6,2877.2
2000,2024,255,2661.6,2647.3,2908.1
2000,2025,256,2663.4,2652.3,2920.5
2000,2026,195,2697.5,2720.4,2929.2
