Country,Year,Teams,MeanElo,MedianElo,P90,Top6Average
Germany,1986,20,2727.6,2726.2,2832.6,2833.4
Germany,1987,20,2728.9,2714.4,2860,2841
Germany,1988,20,2730,2720.5,2842.6,2836.1
Germany,1989,20,2729.5,2708.1,2811.5,2812.8
Germany,1990,20,2731,2716.3,2810.5,2812.7
Czechia,1993,16,2442.3,2442,2542.3,2517.5
Czechia,1994,18,2435.2,2456.2,2545.4,2528.3
Czechia,1995,18,2448,2475.9,2544.8,2541.4
Czechia,1996,19,2452.9,2462.4,2533.9,2547.6
Czechia,1997,18,2458.9,2459.8,2561,2562.6
Czechia,1998,18,2468.3,2467.6,2574.8,2564.1
Czechia,1999,18,2470.3,2455.7,2555.4,2556
Czechia,2000,19,2466,2458.8,2540.2,2555.1
Czechia,2001,18,2466.4,2447.7,2565.8,2568.8
Czechia,2002,18,2466.9,2445.5,2579.6,2569
Czechia,2004,19,2468.4,2460.4,2565.7,2564.9
Czechia,2005,19,2464.4,2464.7,2566.3,2552.7
Czechia,2013,18,2492.8,2466.6,2646.6,2611.2
Czechia,2014,18,2494,2470.4,2604.2,2600.9
Austria,1952,14,2508.7,2475.6,2667.3,2627.2
Austria,1953,17,2513.3,2484.4,2698.3,2649.5
Austria,1954,17,2530.3,2484.6,2671.2,2653.4
Austria,1955,16,2540.1,2526.4,2697.3,2670.2
Austria,1956,16,2547.9,2494.6,2728.6,2681.2
Austria,1957,16,2552.4,2527.8,2675.3,2669.2
Austria,1958,14,2573.9,2544.4,2696.3,2670.8
Austria,1959,14,2576.9,2547.5,2714.7,2676.3
Austria,1960,17,2562.5,2540.2,2690.7,2673.5
Austria,1961,17,2551.7,2548.3,2691.8,2663.9
Austria,1962,17,2561.3,2560.4,2673.9,2667.4
Austria,1963,17,2569.2,2571.7,2702.6,2671.7
Austria,1964,17,2570.3,2547.9,2704.5,2681.3
Austria,1965,17,2576.3,2532.1,2707.6,2691.6
Austria,1966,17,2569.7,2575.7,2694.3,2683
Austria,1970,16,2573.4,2566.5,2673.9,2668.5
Austria,1971,16,2573.4,2583,2695,2673.3
Austria,1973,17,2571.4,2553.6,2708.4,2674.2
Austria,1974,19,2567.1,2551.5,2696.1,2658.7
Austria,1982,16,2567.3,2583.3,2672.8,2653.4
Austria,1983,18,2551.2,2573.1,2684,2667.5
Germany,1963,16,2683.8,2695.8,2733.8,2740.6
Germany,1964,18,2679.8,2681,2739.6,2746
Germany,1965,19,2685.3,2680.7,2806.2,2783.9
Germany,1966,20,2683.1,2694.3,2763.2,2760.2
Germany,1967,20,2695.6,2705.3,2755.8,2762
Germany,1968,20,2698.9,2713.7,2747.9,2752.5
Germany,1969,20,2704.3,2706.7,2761.7,2758.5
Germany,1970,20,2700.8,2684,2781.5,2780.7
Germany,1977,21,2706.8,2714.7,2787.8,2778.4
Germany,1978,21,2710,2702,2791,2790.7
Germany,1979,21,2716.7,2714.9,2812.7,2802.5
Germany,1980,21,2718.2,2700.1,2815.6,2817
Germany,1981,21,2713.9,2685.5,2801.6,2819.3
Germany,1994,21,2736,2737,2833.9,2836.3
Germany,1995,21,2738.4,2741.7,2799.6,2824.3
Germany,1996,21,2742.9,2729.5,2794.9,2817.6
Germany,1997,21,2741.7,2732.2,2843.6,2832.2
Germany,1998,21,2746.5,2728.1,2858.1,2833.6
Germany,1999,21,2742.3,2745,2818.8,2834.5
Germany,2000,21,2742.2,2729.5,2798.7,2825.3
Germany,2001,21,2743.4,2742.7,2852.9,2846.2
Germany,2002,21,2738.3,2711,2834.5,2847
Germany,2003,21,2742.2,2718.1,2848.5,2843.5
Germany,2004,21,2744,2723.4,2849.8,2844.8
Czechia,2003,18,2465,2467.8,2569.1,2553.5
Switzerland,1933,34,2520.9,2513.5,2634,2654.9
Switzerland,1945,14,2575.7,2545.3,2688.8,2660.4
Switzerland,1946,16,2577.1,2577.5,2679,2652.8
Switzerland,1947,16,2577.1,2570.8,2647.2,2640.3
Switzerland,1948,16,2572.3,2565.9,2655.6,2639.5
Switzerland,1949,16,2576.1,2575.9,2638.5,2631.2
Switzerland,1950,16,2570.7,2581.9,2643.5,2632.4
Switzerland,1951,16,2575.1,2588.5,2646.8,2634
Switzerland,1952,17,2566.7,2584.5,2651.3,2641.5
Switzerland,1953,14,2583.5,2593.4,2667.5,2647.8
Switzerland,1955,16,2570,2569.8,2677.1,2649.4
Switzerland,1956,17,2556.2,2574.5,2692.9,2662.5
Switzerland,1957,19,2551,2536.3,2707.3,2687.8
Switzerland,1958,16,2567.9,2558.5,2677.2,2660.3
Switzerland,1959,14,2583.3,2574.8,2669.9,2653.4
Switzerland,1960,17,2555.5,2546.5,2633.8,2639.6
Switzerland,1964,16,2565.1,2562.5,2685.6,2660.4
Switzerland,1965,16,2573.2,2560.4,2685.9,2654.4
Switzerland,1967,16,2576.9,2593.2,2645.8,2644.5
Switzerland,1968,14,2589.4,2581.8,2673.8,2649.6
Switzerland,1970,14,2579.9,2571.2,2673.9,2657.5
Switzerland,1975,16,2581.5,2580,2692.9,2694.1
Switzerland,1976,12,2624,2631.4,2734.8,2707.2
Switzerland,1977,12,2624,2645.5,2759.7,2713.5
Switzerland,1980,14,2599.7,2598.5,2732.4,2693.3
Switzerland,1981,17,2570.8,2553.7,2732.2,2703.2
Switzerland,1982,18,2565.1,2557,2744.7,2713
Switzerland,1983,16,2579.9,2580.1,2743.4,2707.3
Switzerland,1987,14,2613.9,2627.9,2726.9,2692.7
Switzerland,1988,12,2623.9,2629.7,2699.8,2672.1
Switzerland,1992,24,2541.7,2543.9,2668.5,2666.9
Switzerland,2000,16,2605.8,2622.5,2708.3,2700.1
Switzerland,2001,16,2604.2,2606.8,2731.5,2712.6
Switzerland,2008,12,2606.7,2577.6,2760.9,2694.1
Switzerland,2009,12,2623,2616.2,2757.9,2706.3
Switzerland,2010,11,2624.8,2626.5,2724.8,2692
Switzerland,2011,12,2635.4,2625.4,2705.4,2701.4
Italy,1929,18,2683.3,2690.6,2755.7,2756.8
Italy,1930,20,2674.1,2666.4,2778.7,2778.4
Italy,1931,20,2682,2662.7,2786,2795.7
Italy,1932,20,2691.1,2662.9,2790.6,2788.6
Italy,1933,20,2690.1,2678.7,2786,2785.2
Italy,1934,18,2700.2,2670.4,2812.9,2804.2
Italy,1935,16,2707.8,2686.3,2804.1,2799.8
Italy,1936,18,2702.1,2686.5,2793.1,2782.9
Italy,1937,19,2710.4,2709.6,2790.7,2791.3
Italy,1938,18,2713.3,2714.9,2798.7,2793.9
Italy,1939,18,2717.8,2706.3,2788.5,2788.3
Italy,1940,18,2714.9,2690.1,2817.6,2793.4
Italy,1941,18,2714.9,2722.4,2752.8,2755.5
Italy,1942,18,2714,2722.9,2777.5,2772
Italy,1943,16,2721.8,2719.2,2780.5,2775.7
Italy,1946,20,2702.6,2688.2,2764.9,2780.8
Italy,1947,23,2694.2,2678.7,2792.9,2786.6
Italy,1948,24,2693,2677.6,2757,2774.1
Italy,1949,22,2701.5,2682.4,2836.8,2812.4
Italy,1950,22,2704.4,2687.4,2857.3,2817
Italy,1951,22,2705.3,2694.1,2845,2808.9
Italy,1952,21,2708.3,2691.4,2874.5,2817.9
Italy,1953,20,2711.6,2697.3,2831.9,2812
Italy,1954,20,2714.8,2701.2,2843.4,2813.2
Italy,1955,20,2714.4,2704.1,2784.8,2788.2
Italy,1956,20,2712.5,2705.8,2786.6,2789
Italy,1957,20,2718.2,2723.7,2774.9,2772.3
Italy,1958,20,2719.2,2724.2,2805.7,2790.2
Italy,1959,20,2717.9,2707.1,2836.7,2800.7
Italy,1960,21,2718.1,2703.2,2818.8,2812.2
Italy,1961,21,2716.6,2709.9,2843.5,2819.4
Italy,1962,21,2714.6,2701.6,2818.6,2820.6
Italy,1963,21,2716.5,2686.2,2844.5,2828
Italy,1964,21,2724.4,2701.2,2850,2841
Italy,1965,21,2723.1,2698.5,2795.6,2830.1
Italy,1966,21,2719.7,2704.2,2830.4,2835.2
Italy,1967,20,2723.5,2709.5,2829,2827.2
Italy,1968,19,2732,2691.2,2824.8,2831.3
Italy,1969,19,2732.3,2707.9,2843.1,2832.8
Italy,1970,19,2733.8,2699.1,2863.1,2837.5
Italy,1971,19,2734,2714.4,2869.2,2839.8
Italy,1972,19,2732.2,2722.6,2868.4,2837.2
Italy,1973,19,2740.1,2721.2,2859.1,2843.8
Italy,1974,19,2740,2732.1,2834.4,2838.1
Italy,1975,19,2746.6,2749.5,2848.6,2843.4
Italy,1976,19,2750.5,2740,2857.1,2850
Italy,1977,19,2744.7,2733,2835.1,2841.3
Italy,1978,19,2748.7,2726.8,2862.3,2845
Italy,1979,19,2744.3,2740.3,2843,2824.7
Italy,1980,19,2736,2733.5,2841.8,2817.5
Italy,1981,19,2738.2,2728.2,2839.9,2830.2
Italy,1982,19,2740.2,2718.5,2833.5,2820.1
Italy,1983,19,2740.4,2743.9,2831.2,2827.9
Italy,1984,19,2734.6,2723.2,2856.9,2833.5
Italy,1985,19,2732.5,2717.7,2829,2832
Italy,1986,19,2742.8,2740.9,2850.3,2833.6
Italy,1987,19,2742.5,2707.8,2838.5,2838.7
Italy,1988,20,2734.1,2714.1,2858,2847
Italy,1989,22,2721.3,2696.2,2862.4,2842.6
Italy,1990,22,2728.7,2702.3,2850.1,2846.1
Italy,1991,18,2747.9,2758.1,2869.9,2839.5
Italy,1992,18,2751.6,2760.1,2847.4,2823.6
Italy,1993,22,2734.1,2720.1,2834.1,2842.6
Italy,1994,22,2742.6,2740.6,2855.3,2847.4
