Year,Teams,MeanElo,MedianElo,P10,P25,P75,P90,P95,Top6Average,Top6MinusMedian,P90MinusMedian,P10MinusMedian
1888,12,2751.2,2755.6,2641.9,2669.1,2796.4,2820.2,2890,2825.3,69.7,64.6,-113.7
1889,12,2751.2,2738.9,2641.1,2708.1,2827.1,2839.1,2891.8,2824.7,85.8,100.2,-97.8
1890,23,2624.7,2682.8,2372.8,2459.8,2751.1,2843.3,2862.1,2841.1,158.3,160.5,-310
1891,24,2625.3,2650.4,2360.3,2456,2767.3,2821.1,2889.5,2836.9,186.5,170.7,-290.1
1892,27,2627.8,2673.3,2349.2,2475.1,2755.4,2784.3,2882.7,2829,155.7,111,-324.1
1893,30,2619,2668.2,2345.6,2469.3,2765.4,2811.1,2834.1,2827.1,158.9,142.9,-322.6
1894,29,2631.3,2688.3,2392.1,2491.5,2757.1,2818.2,2876.9,2841.9,153.6,129.9,-296.2
1895,28,2648.6,2695.4,2387.7,2541.8,2749.8,2844.2,2889.1,2849.3,153.9,148.8,-307.7
1896,28,2649.4,2708,2392.9,2559.2,2757.3,2826.9,2836,2836.2,128.2,118.9,-315.1
1897,28,2650.3,2713.7,2378.8,2554.7,2768.8,2801.6,2828.9,2821.3,107.6,87.9,-334.9
1898,28,2667.6,2720.7,2374.6,2602.6,2769.3,2800.7,2835.5,2820.5,99.8,80,-346.1
1899,31,2664.4,2725,2389.2,2613,2765.9,2814.9,2845.7,2826.1,101.1,89.9,-335.8
1900,42,2616.7,2666.8,2413.5,2467.7,2775,2812.1,2824,2826,159.2,145.3,-253.3
1901,40,2632.2,2673.4,2429.7,2473.1,2770.2,2803.5,2822.2,2819.2,145.8,130.1,-243.7
1902,34,2659.9,2721.3,2409.3,2545.9,2774.6,2811,2817.5,2815.2,93.9,89.7,-312
1903,34,2646.3,2709.9,2372.6,2541.8,2769.3,2824.7,2845.6,2829.4,119.5,114.8,-337.3
1904,45,2618,2677.7,2379.7,2487.1,2746.6,2830.7,2836.9,2845.2,167.5,153,-298
1905,47,2610.3,2631.3,2399.4,2465,2765.8,2814.6,2841.6,2835.5,204.2,183.3,-231.9
1906,51,2604.3,2632.5,2386.2,2458.6,2770.9,2820.1,2832.1,2835.4,202.9,187.6,-246.3
1907,51,2606.1,2674.7,2385.5,2428.9,2762.3,2792.6,2841,2831.8,157.1,117.9,-289.2
1908,52,2606.7,2654.3,2375,2423.6,2761.8,2803.9,2842.6,2836.1,181.8,149.6,-279.3
1909,53,2604.7,2644.6,2358.2,2451.5,2744.6,2819.9,2836.3,2843.8,199.2,175.3,-286.4
1910,54,2605.7,2627.4,2362.3,2467.3,2764.5,2823.3,2828.8,2841.4,214,195.9,-265.1
1911,53,2612.7,2653.4,2400.8,2463,2764.1,2827,2851.5,2849.7,196.3,173.6,-252.6
1912,54,2609.6,2626.1,2411.7,2452,2769.3,2826.4,2831.1,2838.4,212.3,200.3,-214.4
1913,56,2605.1,2649.9,2376,2436.6,2757.9,2818.4,2846.9,2852.2,202.3,168.5,-273.9
1914,54,2617.4,2657.2,2390.3,2442.4,2781.7,2822.3,2843.5,2850.3,193.1,165.1,-266.9
1915,40,2623.9,2721.4,2393.7,2428.6,2800.9,2823.3,2826.6,2830.2,108.8,101.9,-327.7
1917,18,2464.8,2448.5,2365.9,2411.5,2496.2,2589.8,2652.9,2572.2,123.7,141.3,-82.6
1918,18,2464.8,2426.3,2368.5,2382.2,2512,2618.8,2708,2589.1,162.8,192.5,-57.8
1919,56,2609.6,2629.7,2395.7,2446.7,2780.1,2805.1,2828.4,2835.9,206.2,175.4,-234
1920,58,2614.1,2644.1,2374.6,2462.4,2777.7,2813.3,2847.5,2849.2,205.1,169.2,-269.5
1921,61,2608.8,2623.3,2394,2455.1,2762,2822.2,2845.4,2856.6,233.3,198.9,-229.3
1922,63,2603.2,2605.1,2387.1,2448.4,2768.8,2828.9,2841.7,2855.8,250.7,223.8,-218
