"Country","SourceName"
"Austria","1. Simmeringer SC"
"Austria","Austria Klagenfurt"
"Austria","Austria Salzburg"
"Austria","Dsv Leoben"
"Austria","ESV Austria Graz"
"Austria","Favoritner AC"
"Austria","FC Alpe Adria"
"Austria","FC Dornbirn 1913"
"Austria","FC Kaernten"
"Austria","FC Stadlau"
"Austria","FC Superfund"
"Austria","FC Vorarlberg"
"Austria","FC Wien"
"Austria","First Vienna FC"
"Austria","Grazer SC Straßenbahn"
"Austria","Kremser SC"
"Austria","ÖMV Olympia"
"Austria","Rapid"
"Austria","Rheindorf Altach"
"Austria","Salzburg"
"Austria","Salzburger AK 1914"
"Austria","SC Eisenstadt"
"Austria","SC Neusiedl See 1919"
"Austria","SC Wacker Wien"
"Austria","SC Wiener Neustadt"
"Austria","Schwarz Weiss Bregenz"
"Austria","SK Admira Vienna"
"Austria","Sk Austria Kaernten"
"Austria","SKN St Poelten"
"Austria","Sportclub"
"Austria","SV Chemie Linz"
"Austria","SV Schwechat"
"Austria","SV Spittal Drau"
"Austria","Union Wels"
"Austria","Vfb Moedling"
"Austria","Vorwaerts Steyr"
"Austria","Vse St Poelten"
"Austria","Wiener AC"
"Austria","Wiener Sportklub"
"Austria","WSG Radenthein"
"Austria","WSG Wattens"
"Austria","WSV Donawitz"
"Belgium","Afc Tubize"
"Belgium","Anderlecht"
"Belgium","Antwerp"
"Belgium","AS Eupen"
"Belgium","Athletic Running Bruxelles"
"Belgium","Beerschot AC"
"Belgium","Club Brugge"
"Belgium","Daring Club Molenbeek"
"Belgium","Dender"
"Belgium","Eendracht Aalst"
"Belgium","Excelsior Mouscron"
"Belgium","FC Lommel"
"Belgium","Genk"
"Belgium","Gent"
"Belgium","Germinal Ekeren"
"Belgium","K Beerschot Vac"
"Belgium","K Berchem Sport Antwerp"
"Belgium","K Beringen FC"
"Belgium","K Boom FC"
"Belgium","K Sint-Niklase SKE"
"Belgium","K Waterschei SV Thor Genk"
"Belgium","KFC Diest"
"Belgium","Koninklijke Beringen Heusden Zolder"
"Belgium","Koninklijke Lyra TSV"
"Belgium","Kortrijk"
"Belgium","KRC Mechelen"
"Belgium","Krc Zuid West Vlaanderen"
"Belgium","KSC Hasselt"
"Belgium","KSC Verbroedering Geel"
"Belgium","KSC Winterslag"
"Belgium","KSK Beveren"
"Belgium","KSK Tongeren"
"Belgium","KSV Roeselare"
"Belgium","KSV Waregem"
"Belgium","KV Turnhout"
"Belgium","KVK Tienen"
"Belgium","KVV Crossing Elewijt"
"Belgium","Lierse SK"
"Belgium","Lommel United"
"Belgium","Mechelen"
"Belgium","OH Leuven"
"Belgium","Patro Eisden Maasmechelen"
"Belgium","Raa Louvieroise"
"Belgium","Racing Bruxelles"
"Belgium","Racing Jet Wavre"
"Belgium","Racing White Brussels"
"Belgium","Raec Mons"
"Belgium","RCS la Forestoise"
"Belgium","RCS Vervietois"
"Belgium","RESC Brussels"
"Belgium","RFC De Liege"
"Belgium","RFC Seraing"
"Belgium","RFC Tilleur Saint Nicolas"
"Belgium","RFC Tournai"
"Belgium","Royal Leopold Uccle FC"
"Belgium","Royal Uccle Sport"
"Belgium","RRC Tournaisien"
"Belgium","RRFC Montegnee"
"Belgium","Rwd Molenbeek"
"Belgium","Sint-Truiden"
"Belgium","Skill Bruxelles"
"Belgium","Tubantia Borgerhout VK"
"Belgium","Waasland Beveren"
"Belgium","Westerlo"
"Czechia","1 FK Drnovice"
"Czechia","1 FK Pribram"
"Czechia","1 SC Znojmo"
"Czechia","1fc Synot"
"Czechia","Afk Atlantic Lazne Bohdanec"
"Czechia","Bohemians 1905"
"Czechia","Bohemians Praha"
"Czechia","České Budějovice"
"Czechia","Chmel Blsany"
"Czechia","Dukla Praha"
"Czechia","FC Fastav Zlin"
"Czechia","FC Vitkovice"
"Czechia","FC Zbrojovka Brno"
"Czechia","FK Siad Most"
