"Country","FirstTargetSeason","LastSchochTargetSeason","ExistingSourceFrom","NominalYearsChecked","PresentSeasons","PassSeasons","CheckSeasons","MissingYears","EarliestPresent","LatestPresent"
"England","1888-89","1991-92","1992-93",104,93,93,0,11,"1888-89","1991-92"
"Spain","1929","2011-12","2012-13",84,81,81,0,3,"1929","2011-12"
"Italy","1929-30","2012-13","2013-14",84,82,79,3,2,"1929-30","2012-13"
"Germany","1963-64","2009-10","2010-11",47,47,47,0,0,"1963-64","2009-10"
"France","1932-33","2013-14","2014-15",82,75,47,28,7,"1933-34","2013-14"
"Portugal","1934-35","2017-18","2018-19",84,84,82,2,0,"1934-35","2017-18"
"Netherlands","1956-57","2017-18","2018-19",62,62,57,5,0,"1956-57","2017-18"
"Belgium","1895-96","2017-18","2018-19",123,108,98,10,15,"1900-01","2017-18"
"Austria","1911-12","2009-10","2010-11",99,65,53,12,34,"1945-46","2009-10"
"Turkey","1959","2017-18","2018-19",60,60,60,0,0,"1959","2017-18"
"Scotland","1890-91","2017-18","2018-19",128,121,114,7,7,"1890-91","2017-18"
"Switzerland","1897-98","2013-14","2014-15",117,94,71,23,23,"1920-21","2013-14"
"Greece","1959-60","2017-18","2018-19",59,30,30,0,29,"1987-88","2017-18"
"Czechia","1993-94","2017-18","2018-19",25,25,25,0,0,"1993-94","2017-18"
"Ukraine","1992","2022-23","2023-24",32,32,31,1,0,"1992","2022-23"
