Tier,League,EloGapBand,Matches,Draws,DrawRate,DrawPct,AvgAbsEloDiff
1,Premier League,0-25,1159,340,0.2934,29.3,12.4
1,Premier League,26-50,1110,306,0.2757,27.6,37.3
1,Premier League,51-75,956,264,0.2762,27.6,62.1
1,Premier League,76-100,823,209,0.2539,25.4,87.4
1,Premier League,101-125,745,186,0.2497,25,112.1
1,Premier League,126-150,633,171,0.2701,27,137.1
1,Premier League,151-175,518,114,0.2201,22,162.9
1,Premier League,176-200,521,107,0.2054,20.5,187.2
1,Premier League,201-250,762,154,0.2021,20.2,223.7
1,Premier League,251-300,517,90,0.1741,17.4,272.2
1,Premier League,301-400,394,47,0.1193,11.9,334.7
1,Premier League,401+,22,3,0.1364,13.6,426.1
2,Championship,0-25,2479,722,0.2912,29.1,12.6
2,Championship,26-50,2505,692,0.2762,27.6,37.5
2,Championship,51-75,2000,534,0.267,26.7,62
2,Championship,76-100,1599,424,0.2652,26.5,87
2,Championship,101-125,1218,359,0.2947,29.5,111.8
2,Championship,126-150,849,220,0.2591,25.9,136.5
2,Championship,151-175,545,135,0.2477,24.8,161.1
2,Championship,176-200,329,84,0.2553,25.5,185.9
2,Championship,201-250,264,61,0.2311,23.1,218.4
2,Championship,251-300,54,11,0.2037,20.4,266.8
2,Championship,301-400,13,5,0.3846,38.5,317.8
3,League 1,0-25,2401,683,0.2845,28.4,12.6
3,League 1,26-50,2305,630,0.2733,27.3,37.2
3,League 1,51-75,1913,493,0.2577,25.8,62.1
3,League 1,76-100,1552,394,0.2539,25.4,86.9
3,League 1,101-125,1132,282,0.2491,24.9,112
3,League 1,126-150,875,221,0.2526,25.3,136.8
3,League 1,151-175,593,149,0.2513,25.1,161.4
3,League 1,176-200,380,85,0.2237,22.4,185.9
3,League 1,201-250,286,74,0.2587,25.9,219.6
3,League 1,251-300,64,9,0.1406,14.1,269.1
3,League 1,301-400,8,2,0.25,25,324
4,League 2,0-25,2771,784,0.2829,28.3,12.8
4,League 2,26-50,2572,693,0.2694,26.9,37.1
4,League 2,51-75,2167,592,0.2732,27.3,62.1
4,League 2,76-100,1615,443,0.2743,27.4,86.6
4,League 2,101-125,1081,302,0.2794,27.9,111.5
4,League 2,126-150,669,178,0.2661,26.6,136.7
4,League 2,151-175,378,84,0.2222,22.2,161.8
4,League 2,176-200,161,46,0.2857,28.6,184.6
4,League 2,201-250,55,11,0.2,20,216.4
4,League 2,251-300,3,0,0,0,267.3
5,National League,0-25,2214,607,0.2742,27.4,12.6
5,National League,26-50,1948,523,0.2685,26.8,37.1
5,National League,51-75,1725,462,0.2678,26.8,62.2
5,National League,76-100,1432,354,0.2472,24.7,86.8
5,National League,101-125,1208,318,0.2632,26.3,111.7
5,National League,126-150,799,191,0.239,23.9,136.9
5,National League,151-175,643,143,0.2224,22.2,161.2
5,National League,176-200,399,100,0.2506,25.1,186.9
5,National League,201-250,418,90,0.2153,21.5,220.7
5,National League,251-300,125,21,0.168,16.8,271.1
5,National League,301-400,44,7,0.1591,15.9,331
5,National League,401+,8,2,0.25,25,444.6
