Tier,League,EloGapBand,Matches,Draws,DrawRate,DrawPct,AvgAbsEloDiff
1,Premier League,0-25,2168,654,0.3017,30.2,12.2
1,Premier League,26-50,2012,573,0.2848,28.5,37.4
1,Premier League,51-75,1690,470,0.2781,27.8,61.9
1,Premier League,76-100,1469,391,0.2662,26.6,87.1
1,Premier League,101-125,1214,320,0.2636,26.4,112
1,Premier League,126-150,990,261,0.2636,26.4,136.8
1,Premier League,151-175,793,180,0.227,22.7,162.3
1,Premier League,176-200,749,155,0.2069,20.7,187.1
1,Premier League,201-250,1005,201,0.2,20,223.2
1,Premier League,251-300,628,111,0.1768,17.7,271.6
1,Premier League,301-400,426,57,0.1338,13.4,334.2
1,Premier League,401+,22,3,0.1364,13.6,426.1
2,Championship,0-25,2542,740,0.2911,29.1,12.6
2,Championship,26-50,2562,707,0.276,27.6,37.5
2,Championship,51-75,2042,546,0.2674,26.7,62
2,Championship,76-100,1651,439,0.2659,26.6,86.9
2,Championship,101-125,1257,370,0.2944,29.4,111.8
2,Championship,126-150,873,229,0.2623,26.2,136.4
2,Championship,151-175,561,139,0.2478,24.8,161.1
2,Championship,176-200,342,86,0.2515,25.1,185.9
2,Championship,201-250,269,62,0.2305,23,218.2
2,Championship,251-300,54,11,0.2037,20.4,266.8
2,Championship,301-400,13,5,0.3846,38.5,317.8
2,Division 1,0-25,674,178,0.2641,26.4,11.6
2,Division 1,26-50,620,164,0.2645,26.5,37.5
2,Division 1,51-75,580,165,0.2845,28.4,62.2
2,Division 1,76-100,473,136,0.2875,28.8,86.9
2,Division 1,101-125,365,105,0.2877,28.8,111.7
2,Division 1,126-150,257,66,0.2568,25.7,137.1
2,Division 1,151-175,156,33,0.2115,21.2,162.3
2,Division 1,176-200,100,25,0.25,25,185.6
2,Division 1,201-250,75,22,0.2933,29.3,219.5
2,Division 1,251-300,11,4,0.3636,36.4,269.1
2,Division 1,301-400,1,0,0,0,328.9
3,Division 2,0-25,600,160,0.2667,26.7,12.4
3,Division 2,26-50,551,151,0.274,27.4,37.4
3,Division 2,51-75,528,168,0.3182,31.8,62.1
3,Division 2,76-100,448,123,0.2746,27.5,87.4
3,Division 2,101-125,371,96,0.2588,25.9,111.8
3,Division 2,126-150,287,77,0.2683,26.8,136.1
3,Division 2,151-175,183,49,0.2678,26.8,161.9
3,Division 2,176-200,143,42,0.2937,29.4,185.7
3,Division 2,201-250,134,36,0.2687,26.9,221.3
3,Division 2,251-300,45,11,0.2444,24.4,268.2
3,Division 2,301-400,21,7,0.3333,33.3,340.3
3,Division 2,401+,1,0,0,0,424.7
3,League 1,0-25,2472,696,0.2816,28.2,12.6
3,League 1,26-50,2365,640,0.2706,27.1,37.2
3,League 1,51-75,1971,507,0.2572,25.7,62.1
3,League 1,76-100,1594,405,0.2541,25.4,87
3,League 1,101-125,1168,295,0.2526,25.3,111.9
3,League 1,126-150,886,224,0.2528,25.3,136.8
3,League 1,151-175,598,151,0.2525,25.3,161.4
3,League 1,176-200,381,85,0.2231,22.3,185.9
3,League 1,201-250,289,76,0.263,26.3,219.6
3,League 1,251-300,64,9,0.1406,14.1,269.1
3,League 1,301-400,8,2,0.25,25,324
4,Division 3,0-25,727,208,0.2861,28.6,12.2
4,Division 3,26-50,705,197,0.2794,27.9,37.1
4,Division 3,51-75,573,166,0.2897,29,62
4,Division 3,76-100,476,126,0.2647,26.5,86.7
4,Division 3,101-125,340,101,0.2971,29.7,111.8
4,Division 3,126-150,220,56,0.2545,25.5,137.1
4,Division 3,151-175,147,26,0.1769,17.7,163
4,Division 3,176-200,80,24,0.3,30,185.6
4,Division 3,201-250,37,7,0.1892,18.9,219.9
4,Division 3,251-300,7,2,0.2857,28.6,260.8
4,League 2,0-25,2846,809,0.2843,28.4,12.7
4,League 2,26-50,2639,711,0.2694,26.9,37.1
4,League 2,51-75,2203,602,0.2733,27.3,62.1
4,League 2,76-100,1656,454,0.2742,27.4,86.6
4,League 2,101-125,1113,315,0.283,28.3,111.6
4,League 2,126-150,684,183,0.2675,26.8,136.7
4,League 2,151-175,387,84,0.2171,21.7,161.7
4,League 2,176-200,165,46,0.2788,27.9,184.7
4,League 2,201-250,60,14,0.2333,23.3,217.2
4,League 2,251-300,3,0,0,0,267.3
5,National League,0-25,2214,607,0.2742,27.4,12.6
5,National League,26-50,1948,523,0.2685,26.8,37.1
5,National League,51-75,1725,462,0.2678,26.8,62.2
5,National League,76-100,1432,354,0.2472,24.7,86.8
5,National League,101-125,1208,318,0.2632,26.3,111.7
5,National League,126-150,799,191,0.239,23.9,136.9
5,National League,151-175,643,143,0.2224,22.2,161.2
5,National League,176-200,399,100,0.2506,25.1,186.9
5,National League,201-250,418,90,0.2153,21.5,220.7
5,National League,251-300,125,21,0.168,16.8,271.1
5,National League,301-400,44,7,0.1591,15.9,331
5,National League,401+,8,2,0.25,25,444.6
