Tier,EloGapBand,Matches,Draws,DrawRate,DrawPct,AvgAbsEloDiff
1,0-25,2168,654,0.3017,30.2,12.2
1,26-50,2012,573,0.2848,28.5,37.4
1,51-75,1690,470,0.2781,27.8,61.9
1,76-100,1469,391,0.2662,26.6,87.1
1,101-125,1214,320,0.2636,26.4,112
1,126-150,990,261,0.2636,26.4,136.8
1,151-175,793,180,0.227,22.7,162.3
1,176-200,749,155,0.2069,20.7,187.1
1,201-250,1005,201,0.2,20,223.2
1,251-300,628,111,0.1768,17.7,271.6
1,301-400,426,57,0.1338,13.4,334.2
1,401+,22,3,0.1364,13.6,426.1
2,0-25,3216,918,0.2854,28.5,12.4
2,26-50,3182,871,0.2737,27.4,37.5
2,51-75,2622,711,0.2712,27.1,62
2,76-100,2124,575,0.2707,27.1,86.9
2,101-125,1622,475,0.2928,29.3,111.8
2,126-150,1130,295,0.2611,26.1,136.6
2,151-175,717,172,0.2399,24,161.4
2,176-200,442,111,0.2511,25.1,185.8
2,201-250,344,84,0.2442,24.4,218.5
2,251-300,65,15,0.2308,23.1,267.2
2,301-400,14,5,0.3571,35.7,318.6
3,0-25,3072,856,0.2786,27.9,12.6
3,26-50,2916,791,0.2713,27.1,37.3
3,51-75,2499,675,0.2701,27,62.1
3,76-100,2042,528,0.2586,25.9,87
3,101-125,1539,391,0.2541,25.4,111.9
3,126-150,1173,301,0.2566,25.7,136.6
3,151-175,781,200,0.2561,25.6,161.5
3,176-200,524,127,0.2424,24.2,185.8
3,201-250,423,112,0.2648,26.5,220.1
3,251-300,109,20,0.1835,18.3,268.7
3,301-400,29,9,0.3103,31,335.8
3,401+,1,0,0,0,424.7
4,0-25,3573,1017,0.2846,28.5,12.6
4,26-50,3344,908,0.2715,27.2,37.1
4,51-75,2776,768,0.2767,27.7,62.1
4,76-100,2132,580,0.272,27.2,86.7
4,101-125,1453,416,0.2863,28.6,111.6
4,126-150,904,239,0.2644,26.4,136.8
4,151-175,534,110,0.206,20.6,162.1
4,176-200,245,70,0.2857,28.6,185
4,201-250,97,21,0.2165,21.6,218.2
4,251-300,10,2,0.2,20,262.8
5,0-25,2214,607,0.2742,27.4,12.6
5,26-50,1948,523,0.2685,26.8,37.1
5,51-75,1725,462,0.2678,26.8,62.2
5,76-100,1432,354,0.2472,24.7,86.8
5,101-125,1208,318,0.2632,26.3,111.7
5,126-150,799,191,0.239,23.9,136.9
5,151-175,643,143,0.2224,22.2,161.2
5,176-200,399,100,0.2506,25.1,186.9
5,201-250,418,90,0.2153,21.5,220.7
5,251-300,125,21,0.168,16.8,271.1
5,301-400,44,7,0.1591,15.9,331
5,401+,8,2,0.25,25,444.6
