Team,Rating,Games,FirstLeague,FirstTier,FirstMatchDate,EntryRating,IsSeed,Pass,EntryMode,BaseK,NewK,NewGames,SeedModel,RetroGamesN
Bayern Munich,3045,660,Bundesliga,1,2010-08-20,2804.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Arsenal,3044,1391,Premier League,1,1992-08-15,2769.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Barcelona,3002,644,La Liga,1,2012-08-19,2929.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Paris Saint-Germain,2995,543,Ligue 1,1,2014-08-08,2847,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Manchester City,2982,1362,Premier League,1,1992-08-17,2734.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Real Madrid,2979,669,La Liga,1,2012-08-19,2911.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Inter Milan,2954,559,Serie A,1,2013-08-25,2702.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Aston Villa,2925,1355,Premier League,1,1992-08-15,2828.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Liverpool,2911,1400,Premier League,1,1992-08-16,2758.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Manchester United,2909,1377,Premier League,1,1992-08-15,2898.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
SL Benfica,2888,196,Primeira Liga,1,2018-08-10,2781.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Borussia Dortmund,2888,647,Bundesliga,1,2010-08-22,2809.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Sporting Clube de Portugal,2886,120,Primeira Liga,1,2023-08-12,2820.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Atlético Madrid,2876,635,La Liga,1,2012-08-19,2871.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Bournemouth,2875,1216,Division 2,3,1998-08-07,2398.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Bayer Leverkusen,2867,611,Bundesliga,1,2010-08-22,2770.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
FC Porto,2862,310,Primeira Liga,1,2018-08-11,2781.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Sport Lisboa e Benfica,2852,126,Primeira Liga,1,2023-08-14,2734.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Napoli,2850,556,Serie A,1,2013-08-25,2780,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
PSV,2846,126,Eredivisie,1,2023-08-12,2770.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Juventus,2844,582,Serie A,1,2013-08-24,2887.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Brighton & Hove Albion,2843,1220,Division 3,4,1998-08-07,2115.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Villarreal,2840,589,Segunda División,2,2012-08-17,2697.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Chelsea,2836,1369,Premier League,1,1992-08-15,2751.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Real Betis,2834,558,La Liga,1,2012-08-19,2695.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Brentford,2834,1247,Division 3,4,1998-08-07,2277.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Roma,2832,568,Serie A,1,2013-08-25,2803.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Newcastle United,2832,1293,Premier League,1,1993-08-14,2880.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Lens,2828,442,Ligue 1,1,2014-08-09,2546.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Lille,2824,472,Ligue 1,1,2014-08-09,2685.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
RB Leipzig,2824,459,2. Bundesliga,2,2014-08-02,2587.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Sporting CP,2822,204,Primeira Liga,1,2018-08-12,2679.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
VfB Stuttgart,2820,555,Bundesliga,1,2010-08-22,2682.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
Fulham,2815,1136,Division 2,3,1998-08-07,2529.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,20,20,100,CountrySpecific_Tier1AndTier2,50
