"SeasonFolder","File","League","Rows","Status"
"2015-16","1-premierleague.txt","Premier League",0,"missing"
"2015-16","2-division1.txt","Division 1",0,"missing"
"2015-16","2-championship.txt","Championship",0,"missing"
"2015-16","3-division2.txt","Division 2",0,"missing"
"2015-16","3-league1.txt","League 1",0,"missing"
"2015-16","4-division3.txt","Division 3",0,"missing"
"2015-16","4-league2.txt","League 2",0,"missing"
"2015-16","5-nationalleague.txt","National League",552,"parsed"
"2016-17","1-premierleague.txt","Premier League",0,"missing"
"2016-17","2-division1.txt","Division 1",0,"missing"
"2016-17","2-championship.txt","Championship",0,"missing"
"2016-17","3-division2.txt","Division 2",0,"missing"
"2016-17","3-league1.txt","League 1",0,"missing"
"2016-17","4-division3.txt","Division 3",0,"missing"
"2016-17","4-league2.txt","League 2",0,"missing"
"2016-17","5-nationalleague.txt","National League",552,"parsed"
"2017-18","1-premierleague.txt","Premier League",0,"missing"
"2017-18","2-division1.txt","Division 1",0,"missing"
"2017-18","2-championship.txt","Championship",0,"missing"
"2017-18","3-division2.txt","Division 2",0,"missing"
"2017-18","3-league1.txt","League 1",0,"missing"
"2017-18","4-division3.txt","Division 3",0,"missing"
"2017-18","4-league2.txt","League 2",0,"missing"
"2017-18","5-nationalleague.txt","National League",552,"parsed"
"2018-19","1-premierleague.txt","Premier League",0,"missing"
"2018-19","2-division1.txt","Division 1",0,"missing"
"2018-19","2-championship.txt","Championship",0,"missing"
"2018-19","3-division2.txt","Division 2",0,"missing"
"2018-19","3-league1.txt","League 1",0,"missing"
"2018-19","4-division3.txt","Division 3",0,"missing"
"2018-19","4-league2.txt","League 2",0,"missing"
"2018-19","5-nationalleague.txt","National League",552,"parsed"
"2019-20","1-premierleague.txt","Premier League",0,"missing"
"2019-20","2-division1.txt","Division 1",0,"missing"
"2019-20","2-championship.txt","Championship",0,"missing"
"2019-20","3-division2.txt","Division 2",0,"missing"
"2019-20","3-league1.txt","League 1",0,"missing"
"2019-20","4-division3.txt","Division 3",0,"missing"
"2019-20","4-league2.txt","League 2",0,"missing"
"2019-20","5-nationalleague.txt","National League",451,"parsed"
"2020-21","1-premierleague.txt","Premier League",0,"missing"
"2020-21","2-division1.txt","Division 1",0,"missing"
"2020-21","2-championship.txt","Championship",0,"missing"
"2020-21","3-division2.txt","Division 2",0,"missing"
"2020-21","3-league1.txt","League 1",0,"missing"
"2020-21","4-division3.txt","Division 3",0,"missing"
"2020-21","4-league2.txt","League 2",0,"missing"
"2020-21","5-nationalleague.txt","National League",462,"parsed"
"2021-22","1-premierleague.txt","Premier League",0,"missing"
"2021-22","2-division1.txt","Division 1",0,"missing"
"2021-22","2-championship.txt","Championship",0,"missing"
"2021-22","3-division2.txt","Division 2",0,"missing"
"2021-22","3-league1.txt","League 1",0,"missing"
"2021-22","4-division3.txt","Division 3",0,"missing"
"2021-22","4-league2.txt","League 2",0,"missing"
"2021-22","5-nationalleague.txt","National League",506,"parsed"
"2022-23","1-premierleague.txt","Premier League",0,"missing"
"2022-23","2-division1.txt","Division 1",0,"missing"
"2022-23","2-championship.txt","Championship",0,"missing"
"2022-23","3-division2.txt","Division 2",0,"missing"
"2022-23","3-league1.txt","League 1",0,"missing"
"2022-23","4-division3.txt","Division 3",0,"missing"
"2022-23","4-league2.txt","League 2",0,"missing"
"2022-23","5-nationalleague.txt","National League",552,"parsed"
"2023-24","1-premierleague.txt","Premier League",0,"missing"
"2023-24","2-division1.txt","Division 1",0,"missing"
"2023-24","2-championship.txt","Championship",0,"missing"
"2023-24","3-division2.txt","Division 2",0,"missing"
"2023-24","3-league1.txt","League 1",0,"missing"
"2023-24","4-division3.txt","Division 3",0,"missing"
"2023-24","4-league2.txt","League 2",0,"missing"
"2023-24","5-nationalleague.txt","National League",552,"parsed"
"2024-25","1-premierleague.txt","Premier League",0,"missing"
"2024-25","2-division1.txt","Division 1",0,"missing"
"2024-25","2-championship.txt","Championship",0,"missing"
"2024-25","3-division2.txt","Division 2",0,"missing"
"2024-25","3-league1.txt","League 1",0,"missing"
"2024-25","4-division3.txt","Division 3",0,"missing"
"2024-25","4-league2.txt","League 2",0,"missing"
"2024-25","5-nationalleague.txt","National League",552,"parsed"
"2025-26","1-premierleague.txt","Premier League",380,"parsed"
"2025-26","2-division1.txt","Division 1",0,"missing"
"2025-26","2-championship.txt","Championship",557,"parsed"
"2025-26","3-division2.txt","Division 2",0,"missing"
"2025-26","3-league1.txt","League 1",356,"parsed"
"2025-26","4-division3.txt","Division 3",0,"missing"
"2025-26","4-league2.txt","League 2",276,"parsed"
"2025-26","5-nationalleague.txt","National League",296,"parsed"
