Country,SourceName,CanonicalName
England,AFC Bournemouth,Bournemouth
England,AFC Wimbledon,Wimbledon
England,Accrington,Accrington Stanley
England,Accrington Stanley,Accrington Stanley
England,Aldershot,Aldershot Town
England,Aldershot Town,Aldershot Town
England,Arsenal FC,Arsenal
England,Arsenal.FC,Arsenal
England,Aston Villa,Aston Villa
England,Aston Villa FC,Aston Villa
England,Barnet,Barnet
England,Barnet FC,Barnet
England,Barnsley,Barnsley
England,Barnsley FC,Barnsley
England,Barrow,Barrow
England,Barrow AFC,Barrow
England,Birmingham,Birmingham City
England,Birmingham City,Birmingham City
England,Birmingham City FC,Birmingham City
England,Blackburn,Blackburn Rovers
England,Blackburn Rovers,Blackburn Rovers
England,Blackburn Rovers FC,Blackburn Rovers
England,Blackpool,Blackpool
England,Blackpool FC,Blackpool
England,Bolton,Bolton Wanderers
England,Bolton Wanderers,Bolton Wanderers
England,Bolton Wanderers FC,Bolton Wanderers
England,Bournemouth,Bournemouth
England,Bradford,Bradford City
England,Bradford City,Bradford City
England,Brentford,Brentford
England,Brentford FC,Brentford
England,Brighton,Brighton & Hove Albion
England,Brighton & Hove Albion,Brighton & Hove Albion
England,Brighton & Hove Albion FC,Brighton & Hove Albion
England,Bristol City FC,Bristol City
England,Bristol Rovers,Bristol Rovers
England,Bristol Rvs,Bristol Rovers
England,Bromley,Bromley
England,Bromley FC,Bromley
England,Burnley,Burnley
England,Burnley FC,Burnley
England,Burton,Burton Albion
England,Burton Albion,Burton Albion
England,Bury,Bury
England,Cambridge,Cambridge United
England,Cambridge United,Cambridge United
England,Cambridge United FC,Cambridge United
England,Cambridge Utd,Cambridge United
England,Cardiff,Cardiff City
England,Cardiff City,Cardiff City
England,Cardiff City FC,Cardiff City
England,Carlisle,Carlisle United
England,Carlisle United,Carlisle United
England,Charlton,Charlton Athletic
England,Charlton Athletic,Charlton Athletic
England,Charlton Athletic FC,Charlton Athletic
England,Chelsea,Chelsea
England,Chelsea FC,Chelsea
England,Cheltenham,Cheltenham Town
England,Chester,Chester City
England,Chester City,Chester City
England,Chesterfield,Chesterfield
England,Chesterfield FC,Chesterfield
England,Colchester,Colchester United
England,Colchester United,Colchester United
England,Coventry,Coventry City
England,Coventry City FC,Coventry City
England,Crawley Town,Crawley Town
England,Crewe,Crewe Alexandra
