Country,PrevTier,Tier,Direction,Clubs,Clubs20,MeanChange20,MedianChange20,Clubs30,MeanChange30,MedianChange30
England,5,4,Promoted,40,40,45.2,40.5,38,58.4,59
England,4,3,Promoted,107,107,24,23.5,106,34.2,37.1
England,3,4,Relegated,107,107,-33.8,-34.9,103,-37.5,-41.8
France,1,2,Relegated,32,29,1.1,-1.6,27,-3,0.7
France,2,1,Promoted,28,28,-0.3,1.4,26,-3.4,2.7
Spain,2,1,Promoted,39,39,5.1,6.8,39,0.9,-0.7
Spain,1,2,Relegated,42,39,-1.1,-4.2,39,-2.1,-6.2
England,4,5,Relegated,38,38,-55.2,-57.1,36,-71.4,-84.4
Germany,2,1,Promoted,27,27,13.7,12.9,27,19.7,17.5
Germany,1,2,Relegated,30,28,-9.9,-5.3,28,-7.8,-1.3
England,1,2,Relegated,84,84,-12.2,-11.4,84,-15.5,-16.2
England,2,1,Promoted,81,81,-1.3,-2.7,81,-4.8,-6.1
England,2,3,Relegated,80,80,-20.7,-21.2,79,-25.9,-25.8
England,3,2,Promoted,81,81,4,4.7,81,6.3,9.7
Italy,2,1,Promoted,36,36,-3.4,0.2,33,-5.4,-3.3
Italy,1,2,Relegated,37,37,-11.3,-6.8,37,-5.2,5.2
