Year,ActiveTeams,TotalElo,MeanElo,MedianElo,P10,P25,P75,P90,P95,Top10Average
1888,12,33015,2751.2,2755.6,2641.9,2669.1,2796.4,2820.2,2890,2774.9
1889,12,33015,2751.2,2738.9,2641.1,2708.1,2827.1,2839.1,2891.8,2780.6
1890,23,60369,2624.7,2682.8,2372.8,2459.8,2751.1,2843.3,2862.1,2795.1
1891,24,63006,2625.3,2650.4,2360.3,2456,2767.3,2821.1,2889.5,2794.9
1892,27,70951,2627.8,2673.3,2349.2,2475.1,2755.4,2784.3,2882.7,2796.3
1893,30,78569,2619,2668.2,2345.6,2469.3,2765.4,2811.1,2834.1,2799.8
1894,29,76308,2631.3,2688.3,2392.1,2491.5,2757.1,2818.2,2876.9,2805.3
1895,28,74159,2648.6,2695.4,2387.7,2541.8,2749.8,2844.2,2889.1,2808.6
1896,28,74183,2649.4,2708,2392.9,2559.2,2757.3,2826.9,2836,2803.9
1897,28,74208,2650.3,2713.7,2378.8,2554.7,2768.8,2801.6,2828.9,2799.5
1898,28,74693,2667.6,2720.7,2374.6,2602.6,2769.3,2800.7,2835.5,2799.7
1899,31,82597,2664.4,2725,2389.2,2613,2765.9,2814.9,2845.7,2802.9
1900,42,109901,2616.7,2666.8,2413.5,2467.7,2775,2812.1,2824,2807
1901,40,105287,2632.2,2673.4,2429.7,2473.1,2770.2,2803.5,2822.2,2805.3
1902,34,90436,2659.9,2721.3,2409.3,2545.9,2774.6,2811,2817.5,2801.2
1903,34,89973,2646.3,2709.9,2372.6,2541.8,2769.3,2824.7,2845.6,2809
1904,45,117809,2618,2677.7,2379.7,2487.1,2746.6,2830.7,2836.9,2822
1905,47,122686,2610.3,2631.3,2399.4,2465,2765.8,2814.6,2841.6,2820.6
1906,51,132817,2604.3,2632.5,2386.2,2458.6,2770.9,2820.1,2832.1,2824.2
1907,51,132910,2606.1,2674.7,2385.5,2428.9,2762.3,2792.6,2841,2811.8
1908,52,135548,2606.7,2654.3,2375,2423.6,2761.8,2803.9,2842.6,2816.3
1909,53,138048,2604.7,2644.6,2358.2,2451.5,2744.6,2819.9,2836.3,2827.1
1910,54,140710,2605.7,2627.4,2362.3,2467.3,2764.5,2823.3,2828.8,2827
1911,53,138474,2612.7,2653.4,2400.8,2463,2764.1,2827,2851.5,2832.1
1912,54,140916,2609.6,2626.1,2411.7,2452,2769.3,2826.4,2831.1,2830.2
