EntryCountry,EntryTier,Team,EntryDate,EntryYear,InitialRating,EntryPeriod,R100,R20,R50,Change20,Change50,Change100,EntrySeasonStart,CoverageStartSeason,CoverageEntry
Austria,1,1. Simmeringer SC,1952-08-24,1952,2510,Before 1990,2533.92468494864,2483.18922452478,2479.95216066082,-26.81077547522,-30.04783933918,23.9246849486399,1952,1952,TRUE
Austria,1,Admira Wacker,1973-08-18,1973,2510,Before 1990,2576.91252717245,2527.69827953671,2557.45944274102,17.6982795367098,47.4594427410202,66.9125271724502,1973,1952,FALSE
Austria,1,Altach,2014-08-02,2014,2510,2010-2019,2592.84683640047,2565.82653053968,2580.17829383614,55.8265305396799,70.1782938361398,82.8468364004698,2014,1952,FALSE
Austria,1,Austria Klagenfurt,1962-08-26,1962,2510,Before 1990,2572.94339077595,2500.9761217484,2551.33104763346,-9.02387825159985,41.33104763346,62.9433907759499,1962,1952,FALSE
Austria,1,Austria Lustenau,1997-07-09,1997,2510,1990-1999,2463.53951778532,2505.87504614229,2506.03343280176,-4.1249538577099,-3.96656719824023,-46.4604822146798,1997,1952,FALSE
Austria,1,Austria Salzburg,1953-08-23,1953,2510,Before 1990,2437.2738336696,2473.22137129788,2490.92137408331,-36.7786287021199,-19.0786259166898,-72.7261663303998,1953,1952,FALSE
Austria,1,Austria Vienna,1952-08-24,1952,2510,Before 1990,2656.3957266924,2613.23099610977,2662.30273706188,103.23099610977,152.30273706188,146.3957266924,1952,1952,TRUE
Austria,1,Blau-Weiß Linz,1970-08-16,1970,2510,Before 1990,2652.0356288972,2567.49326782398,2642.90500394061,57.4932678239802,132.90500394061,142.0356288972,1970,1952,FALSE
Austria,1,Dsv Leoben,1984-08-25,1984,2510,Before 1990,2495.00648767905,2533.47887442002,2495.01340073165,23.47887442002,-14.9865992683499,-14.9935123209498,1984,1952,FALSE
Austria,1,ESV Austria Graz,1955-08-28,1955,2510,Before 1990,,2448.50187860219,,-61.4981213978099,,,1955,1952,FALSE
Austria,1,FC Alpe Adria,1983-08-20,1983,2510,Before 1990,,2490.35374302521,,-19.6462569747901,,,1983,1952,FALSE
Austria,1,FC Dornbirn 1913,1960-08-21,1960,2510,Before 1990,,2455.37435530167,2429.3213584721,-54.6256446983298,-80.6786415278998,,1960,1952,FALSE
Austria,1,FC Kaernten,1974-08-10,1974,2510,Before 1990,2541.188454032,2532.94903925224,2501.48096829587,22.9490392522398,-8.51903170413016,31.1884540320002,1974,1952,FALSE
Austria,1,FC Stadlau,1954-07-02,1954,2510,Before 1990,,2485.65278085002,2429.39099538045,-24.34721914998,-80.60900461955,,1954,1952,FALSE
Austria,1,FC Superfund,2002-07-10,2002,2510,2000-2009,,2568.36289518743,,58.3628951874298,,,2002,1952,FALSE
Austria,1,FC Vorarlberg,1973-08-18,1973,2510,Before 1990,,2457.13394990307,,-52.86605009693,,,1973,1952,FALSE
Austria,1,FC Wien,1952-08-23,1952,2510,Before 1990,2409.40127790963,2461.67242004492,2466.22562332073,-48.3275799550802,-43.7743766792701,-100.59872209037,1952,1952,TRUE
Austria,1,Favoritner AC,1952-08-23,1952,2510,Before 1990,2468.00249195655,2529.42361211025,2388.24376212722,19.4236121102499,-121.75623787278,-41.9975080434501,1952,1952,TRUE
Austria,1,First Vienna FC,1952-08-23,1952,2510,Before 1990,2702.65110325199,2605.19482023754,2587.27992444856,95.1948202375402,77.27992444856,192.65110325199,1952,1952,TRUE
Austria,1,Grazer AK,1952-08-23,1952,2510,Before 1990,2552.61167228425,2510.08989724579,2537.18061956989,0.0898972457898708,27.18061956989,42.6116722842498,1952,1952,TRUE
Austria,1,Grazer SC Straßenbahn,1952-08-24,1952,2510,Before 1990,,2438.81349742871,,-71.18650257129,,,1952,1952,TRUE
Austria,1,Grödig,2013-08-03,2013,2510,2010-2019,2481.06657794929,2562.03155373069,2580.85926426329,52.0315537306901,70.8592642632898,-28.9334220507099,2013,1952,FALSE
Austria,1,Hartberg,2018-08-05,2018,2510,2010-2019,2561.96138387377,2522.83030704405,2543.56716241342,12.8303070440502,33.5671624134202,51.9613838737701,2018,1952,FALSE
Austria,1,Kapfenberg,1954-08-29,1954,2510,Before 1990,2522.01800446736,2521.9603598217,2470.17364254533,11.9603598217,-39.82635745467,12.0180044673598,1954,1952,FALSE
Austria,1,Kremser SC,1956-08-26,1956,2510,Before 1990,2538.1415144147,2510.81445172296,2507.85195497661,0.814451722959802,-2.14804502338984,28.1415144146999,1956,1952,FALSE
Austria,1,LASK,1952-08-24,1952,2510,Before 1990,2516.92934232825,2457.31561595842,2481.81498411298,-52.68438404158,-28.1850158870202,6.92934232825019,1952,1952,TRUE
Austria,1,Mattersburg,2003-07-23,2003,2510,2000-2009,2565.86650140917,2523.3888675473,2518.00121199193,13.3888675472999,8.00121199193018,55.8665014091698,2003,1952,FALSE
Austria,1,Rapid,1952-08-24,1952,2510,Before 1990,2723.20641080269,2587.72984026375,2653.46621997151,77.7298402637498,143.46621997151,213.20641080269,1952,1952,TRUE
Austria,1,Rapid Vienna,2010-08-01,2010,2510,2010-2019,2610.04231808637,2574.8685509834,2582.39975662997,64.8685509833999,72.3997566299699,100.04231808637,2010,1952,FALSE
Austria,1,Red Bull Salzburg,2010-08-01,2010,2510,2010-2019,2718.42248042585,2581.59808975019,2592.09997519155,71.59808975019,82.0999751915501,208.42248042585,2010,1952,FALSE
Austria,1,Rheindorf Altach,2006-07-19,2006,2510,2000-2009,2500.30675557753,2546.84126605773,2527.63315154534,36.8412660577301,17.6331515453398,-9.69324442246989,2006,1952,FALSE
Austria,1,Ried,1995-08-02,1995,2510,1990-1999,2595.66434489192,2577.53569823496,2577.93342860643,67.5356982349599,67.93342860643,85.6643448919199,1995,1952,FALSE
Austria,1,SC Eisenstadt,1967-08-19,1967,2510,Before 1990,2502.57443812627,2502.29464366391,2501.03744895081,-7.70535633609006,-8.9625510491901,-7.4255618737302,1967,1952,FALSE
Austria,1,SC Neusiedl See 1919,1982-08-20,1982,2510,Before 1990,,2459.81621402541,2379.66460148021,-50.1837859745901,-130.33539851979,,1982,1952,FALSE
Austria,1,SC Wacker Wien,1952-08-23,1952,2510,Before 1990,2710.13724768874,2615.23225144197,2620.33161912782,105.23225144197,110.33161912782,200.13724768874,1952,1952,TRUE
Austria,1,SK Admira Vienna,1952-08-24,1952,2510,Before 1990,2512.80588087125,2509.99383216062,2555.54963965008,-0.00616783937994114,45.5496396500798,2.80588087124988,1952,1952,TRUE
