"home","away","date","gh","ga","competition","level","Country"
"Bolton Wanderers","Derby County",1888-09-08,3,6,"england","national","England"
"Everton","Accrington FC",1888-09-08,2,1,"england","national","England"
"Preston North End","Burnley FC",1888-09-08,5,2,"england","national","England"
"Stoke City","West Bromwich Albion",1888-09-08,0,2,"england","national","England"
"Wolverhampton Wanderers","Aston Villa",1888-09-08,1,1,"england","national","England"
"Aston Villa","Stoke City",1888-09-15,5,1,"england","national","England"
"Blackburn Rovers","Accrington FC",1888-09-15,5,5,"england","national","England"
"Bolton Wanderers","Burnley FC",1888-09-15,3,4,"england","national","England"
"Derby County","West Bromwich Albion",1888-09-15,1,2,"england","national","England"
"Everton","Notts County",1888-09-15,2,1,"england","national","England"
"Wolverhampton Wanderers","Preston North End",1888-09-15,0,4,"england","national","England"
"Aston Villa","Everton",1888-09-22,2,1,"england","national","England"
"Arenas De Getxo","Atlético Madrid",1929-02-10,2,3,"spain","national","Spain"
"Espanyol","Real Union",1929-02-10,3,2,"spain","national","Spain"
"Real Madrid","Ce Europa",1929-02-10,5,0,"spain","national","Spain"
"Real Sociedad","Athletic Club",1929-02-10,1,1,"spain","national","Spain"
"Racing Santander","FC Barcelona",1929-02-12,0,2,"spain","national","Spain"
"Athletic Club","Espanyol",1929-02-17,9,0,"spain","national","Spain"
"Atlético Madrid","Real Sociedad",1929-02-17,0,3,"spain","national","Spain"
"Ce Europa","Arenas De Getxo",1929-02-17,5,2,"spain","national","Spain"
"FC Barcelona","Real Madrid",1929-02-17,1,2,"spain","national","Spain"
"Real Union","Racing Santander",1929-02-17,3,1,"spain","national","Spain"
"Arenas De Getxo","Real Union",1929-02-24,1,1,"spain","national","Spain"
"Espanyol","Ce Europa",1929-02-24,3,1,"spain","national","Spain"
"As Livorno","Inter",1929-10-06,1,2,"italy","national","Italy"
"Calcio Padova","Modena FC",1929-10-06,1,3,"italy","national","Italy"
"Juventus FC","Napoli",1929-10-06,3,2,"italy","national","Italy"
"Lazio","Bologna",1929-10-06,3,0,"italy","national","Italy"
"Milan","Brescia Calcio",1929-10-06,4,1,"italy","national","Italy"
"Pro Patria","US Cremonese",1929-10-06,4,2,"italy","national","Italy"
"Pro Vercelli","Genoa",1929-10-06,3,3,"italy","national","Italy"
"Unione Triestina","Torino",1929-10-06,0,1,"italy","national","Italy"
