"Country","CountryKey","Season","SeasonStartYear","Matches","Teams","FirstDate","LastDate","UniqueDates","MaxMatchesOnOneDate","MaxShareOneDatePct","MissingDateRows","MissingTeamRows","MissingScoreRows","SelfMatches","DuplicateFixtureDateKeys","ConflictingFixtureDateKeys","TeamDoubleBookedDates","Status","Reason"
"England","england","1915-16",1915,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1916-17",1916,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1917-18",1917,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1918-19",1918,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1939-40",1939,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1940-41",1940,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1941-42",1941,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1942-43",1942,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1943-44",1943,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1944-45",1944,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"England","england","1945-46",1945,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"Spain","spain","1936-37",1936,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"Spain","spain","1937-38",1937,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"Spain","spain","1938-39",1938,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"Italy","italy","1934-35",1934,240,16,1934-09-30,1935-06-02,29,16,6.7,0,0,0,0,0,0,16,"CHECK","TEAM_DOUBLE_BOOKED"
"Italy","italy","1943-44",1943,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"Italy","italy","1944-45",1944,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"Italy","italy","1945-46",1945,332,25,1945-10-14,1946-06-30,37,12,3.6,0,0,0,0,0,0,4,"CHECK","TEAM_DOUBLE_BOOKED"
"Italy","italy","1991-92",1991,306,18,1991-09-01,1992-05-24,36,18,5.9,0,0,0,0,0,0,18,"CHECK","TEAM_DOUBLE_BOOKED"
"France","france","1932-33",1932,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"France","france","1933-34",1933,182,14,1933-07-01,1933-07-01,1,182,100,0,0,0,0,0,0,14,"CHECK","TEAM_DOUBLE_BOOKED;TOO_FEW_UNIQUE_DATES;PLACEHOLDER_DATE_CONCENTRATION"
"France","france","1934-35",1934,240,16,1934-07-01,1934-07-01,1,240,100,0,0,0,0,0,0,16,"CHECK","TEAM_DOUBLE_BOOKED;TOO_FEW_UNIQUE_DATES;PLACEHOLDER_DATE_CONCENTRATION"
"France","france","1935-36",1935,240,16,1935-07-01,1935-07-01,1,240,100,0,0,0,0,0,0,16,"CHECK","TEAM_DOUBLE_BOOKED;TOO_FEW_UNIQUE_DATES;PLACEHOLDER_DATE_CONCENTRATION"
"France","france","1936-37",1936,240,16,1936-07-01,1936-07-01,1,240,100,0,0,0,0,0,0,16,"CHECK","TEAM_DOUBLE_BOOKED;TOO_FEW_UNIQUE_DATES;PLACEHOLDER_DATE_CONCENTRATION"
"France","france","1937-38",1937,240,15,1937-07-01,1937-07-01,1,240,100,0,0,0,2,29,24,15,"CHECK","SELF_MATCH;DUPLICATE_FIXTURE_DATE;CONFLICTING_SCORE;TEAM_DOUBLE_BOOKED;TOO_FEW_UNIQUE_DATES;PLACEHOLDER_DATE_CONCENTRATION"
"France","france","1938-39",1938,240,15,1938-09-04,1939-05-07,30,8,3.3,0,0,0,2,0,0,30,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1939-40",1939,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"France","france","1940-41",1940,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"France","france","1941-42",1941,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"France","france","1942-43",1942,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"France","france","1943-44",1943,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"France","france","1944-45",1944,0,0,,,0,0,,0,0,0,0,0,0,0,"MISSING","NO_ROWS"
"France","france","1945-46",1945,316,22,1945-08-26,1946-06-02,34,19,6,0,0,0,2,0,0,48,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1946-47",1946,330,19,1946-08-18,1947-05-18,33,10,3,0,0,0,2,0,0,33,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1949-50",1949,306,17,1949-08-21,1950-05-21,49,9,2.9,0,0,0,2,0,0,31,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1950-51",1950,306,17,1950-08-26,1951-05-27,44,9,2.9,0,0,0,2,0,0,31,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1951-52",1951,306,17,1951-08-26,1952-05-25,39,9,2.9,0,0,0,2,0,0,32,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1952-53",1952,306,17,1952-08-24,1953-05-24,40,9,2.9,0,0,0,2,0,0,33,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1954-55",1954,306,17,1954-08-22,1955-05-22,43,9,2.9,0,0,0,2,0,0,32,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1955-56",1955,306,17,1955-08-21,1956-06-03,37,9,2.9,0,0,0,2,0,0,34,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1956-57",1956,306,17,1956-08-19,1957-05-19,39,9,2.9,0,0,0,2,0,0,33,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1957-58",1957,306,17,1957-08-18,1958-05-11,44,9,2.9,0,0,0,2,0,0,33,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1958-59",1958,380,19,1958-07-21,1959-05-31,59,10,2.6,0,0,0,2,0,0,35,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1959-60",1959,380,19,1959-08-15,1960-05-29,64,10,2.6,0,0,0,2,0,0,30,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1960-61",1960,380,19,1960-08-20,1961-06-04,72,10,2.6,0,0,0,2,0,0,28,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1961-62",1961,380,19,1961-08-19,1962-05-20,69,10,2.6,0,0,0,2,0,0,29,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1962-63",1962,380,19,1962-08-18,1963-05-30,69,10,2.6,0,0,0,2,1,1,30,"CHECK","SELF_MATCH;DUPLICATE_FIXTURE_DATE;CONFLICTING_SCORE;TEAM_DOUBLE_BOOKED"
"France","france","1963-64",1963,306,17,1963-09-01,1964-06-07,66,9,2.9,0,0,0,2,0,0,27,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1969-70",1969,306,18,1969-08-05,1970-06-23,84,9,2.9,0,0,0,0,0,0,1,"CHECK","TEAM_DOUBLE_BOOKED"
"France","france","1970-71",1970,380,20,1970-08-12,1971-06-26,78,12,3.2,0,0,0,0,0,0,4,"CHECK","TEAM_DOUBLE_BOOKED"
"France","france","1977-78",1977,380,20,1977-08-03,1978-05-12,68,10,2.6,0,0,0,0,0,0,1,"CHECK","TEAM_DOUBLE_BOOKED"
"France","france","1984-85",1984,380,19,1984-08-17,1985-05-28,66,10,2.6,0,0,0,2,0,0,30,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1986-87",1986,380,20,1986-08-05,1987-06-05,56,10,2.6,0,0,0,1,0,0,22,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"France","france","1988-89",1988,380,20,1988-07-15,1989-05-31,61,10,2.6,0,0,0,1,0,0,12,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"Portugal","portugal","1939-40",1939,90,10,1940-01-14,1940-05-19,22,5,5.6,0,0,0,0,0,0,1,"CHECK","TEAM_DOUBLE_BOOKED"
"Portugal","portugal","1957-58",1957,182,14,1957-09-08,1958-03-23,26,8,4.4,0,0,0,0,0,0,2,"CHECK","TEAM_DOUBLE_BOOKED"
"Netherlands","netherlands","1956-57",1956,306,17,1956-09-02,1957-06-02,41,9,2.9,0,0,0,2,0,0,33,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"Netherlands","netherlands","1975-76",1975,306,17,1975-08-17,1976-06-07,39,9,2.9,0,0,0,2,0,0,34,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
"Netherlands","netherlands","1976-77",1976,306,17,1976-08-22,1977-05-15,36,9,2.9,0,0,0,2,0,0,33,"CHECK","SELF_MATCH;TEAM_DOUBLE_BOOKED"
