"Country","Season","SeasonStartYear","Matches","Teams","FirstDate","LastDate","UniqueDates","MaxMatchesOnOneDate","MaxShareOneDatePct","TeamDoubleBookedDates","MissingDateRows","SuspiciousDates","Status"
"England","1888-89",1888,132,12,1888-09-08,1889-04-20,36,6,4.5,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1889-90",1889,132,12,1889-09-07,1890-03-31,43,6,4.5,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1890-91",1890,132,12,1890-09-06,1891-04-18,39,6,4.5,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1891-92",1891,182,14,1891-09-05,1892-04-30,49,7,3.8,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1892-93",1892,240,16,1892-09-03,1893-04-17,58,8,3.3,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1893-94",1893,240,16,1893-09-02,1894-04-23,62,8,3.3,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1894-95",1894,240,16,1894-09-01,1895-04-24,61,8,3.3,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1895-96",1895,240,16,1895-09-02,1896-04-29,57,8,3.3,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1896-97",1896,240,16,1896-09-01,1897-04-26,58,8,3.3,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1897-98",1897,240,16,1897-09-01,1898-04-30,56,8,3.3,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1898-99",1898,306,18,1898-09-01,1899-04-29,59,9,2.9,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1899-00",1899,306,18,1899-09-02,1900-04-30,59,9,2.9,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
"England","1900-01",1900,306,18,1900-09-01,1901-04-30,56,9,2.9,0,0,FALSE,"DATE_STRUCTURE_LOOKS_PLAUSIBLE"
