"home","away","date","gh","ga","competition","level","SeasonStartYear"
"Bolton Wanderers","Derby County",1888-09-08,3,6,"england","national",1888
"Everton","Accrington FC",1888-09-08,2,1,"england","national",1888
"Preston North End","Burnley FC",1888-09-08,5,2,"england","national",1888
"Stoke City","West Bromwich Albion",1888-09-08,0,2,"england","national",1888
"Wolverhampton Wanderers","Aston Villa",1888-09-08,1,1,"england","national",1888
"Aston Villa","Stoke City",1888-09-15,5,1,"england","national",1888
"Blackburn Rovers","Accrington FC",1888-09-15,5,5,"england","national",1888
"Bolton Wanderers","Burnley FC",1888-09-15,3,4,"england","national",1888
"Derby County","West Bromwich Albion",1888-09-15,1,2,"england","national",1888
"Everton","Notts County",1888-09-15,2,1,"england","national",1888
"Wolverhampton Wanderers","Preston North End",1888-09-15,0,4,"england","national",1888
"Aston Villa","Everton",1888-09-22,2,1,"england","national",1888
"Arenas De Getxo","Atlético Madrid",1929-02-10,2,3,"spain","national",1928
"Espanyol","Real Union",1929-02-10,3,2,"spain","national",1928
"Real Madrid","Ce Europa",1929-02-10,5,0,"spain","national",1928
"Real Sociedad","Athletic Club",1929-02-10,1,1,"spain","national",1928
"Racing Santander","FC Barcelona",1929-02-12,0,2,"spain","national",1928
"Athletic Club","Espanyol",1929-02-17,9,0,"spain","national",1928
"Atlético Madrid","Real Sociedad",1929-02-17,0,3,"spain","national",1928
"Ce Europa","Arenas De Getxo",1929-02-17,5,2,"spain","national",1928
"FC Barcelona","Real Madrid",1929-02-17,1,2,"spain","national",1928
"Real Union","Racing Santander",1929-02-17,3,1,"spain","national",1928
"Arenas De Getxo","Real Union",1929-02-24,1,1,"spain","national",1928
"Espanyol","Ce Europa",1929-02-24,3,1,"spain","national",1928
"As Livorno","Inter",1929-10-06,1,2,"italy","national",1929
"Calcio Padova","Modena FC",1929-10-06,1,3,"italy","national",1929
"Juventus FC","Napoli",1929-10-06,3,2,"italy","national",1929
"Lazio","Bologna",1929-10-06,3,0,"italy","national",1929
"Milan","Brescia Calcio",1929-10-06,4,1,"italy","national",1929
"Pro Patria","US Cremonese",1929-10-06,4,2,"italy","national",1929
"Pro Vercelli","Genoa",1929-10-06,3,3,"italy","national",1929
"Unione Triestina","Torino",1929-10-06,0,1,"italy","national",1929
"US Alessandria 1912","Roma",1929-10-06,3,1,"italy","national",1929
"As Livorno","Juventus FC",1929-10-13,1,5,"italy","national",1929
"Bologna","Unione Triestina",1929-10-13,2,2,"italy","national",1929
"Genoa","Lazio",1929-10-13,2,0,"italy","national",1929
"1 FC Nuernberg","Bayern München",1945-11-04,2,1,"germany","national",1945
"1 FC Schweinfurt 05","Spvgg Greuther Fuerth",1945-11-04,0,0,"germany","national",1945
"FSV Frankfurt","Waldhof Mannheim",1945-11-04,1,1,"germany","national",1945
"Karlsruher SC","Eintracht Frankfurt",1945-11-04,2,2,"germany","national",1945
"Stuttgart","Karlsruher FV",1945-11-04,3,1,"germany","national",1945
"TSV 1860 Muenchen","Augsburg",1945-11-04,2,1,"germany","national",1945
"TSV Schwaben Augsburg","Stuttgarter Kickers",1945-11-04,2,2,"germany","national",1945
"VFR Mannheim","Kickers Offenbach",1945-11-04,2,1,"germany","national",1945
"Augsburg","Stuttgart",1945-11-11,1,5,"germany","national",1945
"Bayern München","TSV Schwaben Augsburg",1945-11-11,2,2,"germany","national",1945
"Eintracht Frankfurt","1 FC Nuernberg",1945-11-11,1,4,"germany","national",1945
"Karlsruher FV","VFR Mannheim",1945-11-11,4,3,"germany","national",1945
"As Cannes","CA Paris Alt",1933-07-01,3,1,"france","national",1933
"As Cannes","Excelsior Roubaix",1933-07-01,1,0,"france","national",1933
"As Cannes","FC Sete",1933-07-01,4,1,"france","national",1933
"As Cannes","FC Sochaux",1933-07-01,4,0,"france","national",1933
"As Cannes","Lens",1933-07-01,6,2,"france","national",1933
"As Cannes","Lille",1933-07-01,2,0,"france","national",1933
"As Cannes","Montpellier",1933-07-01,3,1,"france","national",1933
"As Cannes","Nantes",1933-07-01,1,0,"france","national",1933
"As Cannes","Nice",1933-07-01,2,2,"france","national",1933
"As Cannes","Nimes Olympique",1933-07-01,1,1,"france","national",1933
"As Cannes","Olympique Marseille",1933-07-01,1,1,"france","national",1933
"As Cannes","Rennes",1933-07-01,0,2,"france","national",1933
