"Country","Season","StartYear","PageTitle","URL","DownloadStatus","ExpectedMatches","DatedFootballBoxes","DatedTableRows","UndatedScoreRows","BestDatedCount","CoveragePct","Assessment"
"England","1888-89",1888,"1888–89 Football League","https://en.wikipedia.org/wiki/1888%E2%80%9389_Football_League","cached",132,0,3,12,3,2.3,"SOME_DATED_MATCHES"
"England","1889-90",1889,"1889–90 Football League","https://en.wikipedia.org/wiki/1889%E2%80%9390_Football_League","cached",132,0,3,12,3,2.3,"SOME_DATED_MATCHES"
"England","1890-91",1890,"1890–91 Football League","https://en.wikipedia.org/wiki/1890%E2%80%9391_Football_League","cached",132,0,3,12,3,2.3,"SOME_DATED_MATCHES"
"England","1891-92",1891,"1891–92 Football League","https://en.wikipedia.org/wiki/1891%E2%80%9392_Football_League","cached",182,0,3,14,3,1.6,"SOME_DATED_MATCHES"
"England","1892-93",1892,"1892–93 Football League","https://en.wikipedia.org/wiki/1892%E2%80%9393_Football_League","cached",240,0,8,28,8,3.3,"SOME_DATED_MATCHES"
"England","1893-94",1893,"1893–94 Football League","https://en.wikipedia.org/wiki/1893%E2%80%9394_Football_League","cached",240,0,8,31,8,3.3,"SOME_DATED_MATCHES"
"England","1894-95",1894,"1894–95 Football League","https://en.wikipedia.org/wiki/1894%E2%80%9395_Football_League","cached",240,0,8,32,8,3.3,"SOME_DATED_MATCHES"
"England","1895-96",1895,"1895–96 Football League","https://en.wikipedia.org/wiki/1895%E2%80%9396_Football_League","cached",240,0,12,32,12,5,"SOME_DATED_MATCHES"
"England","1896-97",1896,"1896–97 Football League","https://en.wikipedia.org/wiki/1896%E2%80%9397_Football_League","cached",240,0,12,32,12,5,"SOME_DATED_MATCHES"
"England","1897-98",1897,"1897–98 Football League","https://en.wikipedia.org/wiki/1897%E2%80%9398_Football_League","cached",240,0,12,32,12,5,"SOME_DATED_MATCHES"
"England","1898-99",1898,"1898–99 Football League","https://en.wikipedia.org/wiki/1898%E2%80%9399_Football_League","cached",306,0,8,36,8,2.6,"SOME_DATED_MATCHES"
"England","1899-00",1899,"1899–00 Football League","https://en.wikipedia.org/wiki/1899%E2%80%9300_Football_League","download_failed",,,,,,,"PAGE_MISSING_OR_FAILED"
"England","1900-01",1900,"1900–01 Football League","https://en.wikipedia.org/wiki/1900%E2%80%9301_Football_League","cached",306,0,8,36,8,2.6,"SOME_DATED_MATCHES"
"England","1901-02",1901,"1901–02 Football League","https://en.wikipedia.org/wiki/1901%E2%80%9302_Football_League","cached",306,0,8,36,8,2.6,"SOME_DATED_MATCHES"
"England","1902-03",1902,"1902–03 Football League","https://en.wikipedia.org/wiki/1902%E2%80%9303_Football_League","cached",306,0,8,36,8,2.6,"SOME_DATED_MATCHES"
"England","1903-04",1903,"1903–04 Football League","https://en.wikipedia.org/wiki/1903%E2%80%9304_Football_League","cached",306,0,8,36,8,2.6,"SOME_DATED_MATCHES"
"England","1904-05",1904,"1904–05 Football League","https://en.wikipedia.org/wiki/1904%E2%80%9305_Football_League","cached",306,0,8,36,8,2.6,"SOME_DATED_MATCHES"
"England","1905-06",1905,"1905–06 Football League","https://en.wikipedia.org/wiki/1905%E2%80%9306_Football_League","cached",380,0,8,40,8,2.1,"SOME_DATED_MATCHES"
"England","1906-07",1906,"1906–07 Football League","https://en.wikipedia.org/wiki/1906%E2%80%9307_Football_League","cached",380,0,8,40,8,2.1,"SOME_DATED_MATCHES"
"England","1907-08",1907,"1907–08 Football League","https://en.wikipedia.org/wiki/1907%E2%80%9308_Football_League","cached",380,0,3,40,3,0.8,"SOME_DATED_MATCHES"
"England","1908-09",1908,"1908–09 Football League","https://en.wikipedia.org/wiki/1908%E2%80%9309_Football_League","cached",380,0,6,40,6,1.6,"SOME_DATED_MATCHES"
"England","1909-10",1909,"1909–10 Football League","https://en.wikipedia.org/wiki/1909%E2%80%9310_Football_League","cached",380,0,6,40,6,1.6,"SOME_DATED_MATCHES"
"England","1910-11",1910,"1910–11 Football League","https://en.wikipedia.org/wiki/1910%E2%80%9311_Football_League","cached",380,0,6,40,6,1.6,"SOME_DATED_MATCHES"
"England","1911-12",1911,"1911–12 Football League","https://en.wikipedia.org/wiki/1911%E2%80%9312_Football_League","cached",380,0,6,40,6,1.6,"SOME_DATED_MATCHES"
"England","1912-13",1912,"1912–13 Football League","https://en.wikipedia.org/wiki/1912%E2%80%9313_Football_League","cached",380,0,6,20,6,1.6,"SOME_DATED_MATCHES"
"England","1913-14",1913,"1913–14 Football League","https://en.wikipedia.org/wiki/1913%E2%80%9314_Football_League","cached",380,0,6,40,6,1.6,"SOME_DATED_MATCHES"
"England","1914-15",1914,"1914–15 Football League","https://en.wikipedia.org/wiki/1914%E2%80%9315_Football_League","cached",380,0,6,40,6,1.6,"SOME_DATED_MATCHES"
"England","1919-20",1919,"1919–20 Football League","https://en.wikipedia.org/wiki/1919%E2%80%9320_Football_League","cached",462,0,6,45,6,1.3,"SOME_DATED_MATCHES"
