Country,master_rows,master_scored_rows,master_latest_date,master_teams,master_recent_rows,master_recent_teams,elo_rows,elo_latest_date,elo_teams,elo_recent_rows,elo_recent_teams,future_fixture_rows,future_fixture_latest_date,future_fixture_teams,json_teams,master_to_elo_gap_days,likely_visibility_problem
Austria,12957,12956,2026-05-25,69,166,12,12956,2026-05-25,60,166,12,0,NA,0,12,0,
Belgium,21476,21357,2026-07-27,88,202,16,21357,2026-07-27,73,83,16,0,NA,0,16,0,
Czechia,7136,7136,2025-07-28,50,0,0,7136,2025-07-28,36,0,0,0,NA,0,0,0,CHECK: historical data exists but no teams are currently visible
England,69446,67847,2027-05-30,200,3224,119,67847,2026-09-04,136,1625,116,862,2027-05-30,44,116,268,
France,24454,23977,2027-05-29,106,855,46,23977,2026-08-30,78,378,36,287,2027-05-29,18,36,272,
Germany,21974,21470,2027-05-22,90,864,40,21470,2026-08-30,66,360,36,297,2027-05-22,18,36,265,
Greece,9425,9306,2026-03-21,64,168,14,9306,2025-11-03,58,49,14,0,NA,0,14,138,
Italy,31776,31344,2027-05-30,123,1100,54,31344,2026-08-31,79,669,40,360,2027-05-30,20,40,272,
Netherlands,19973,19700,2027-05-23,70,577,21,19700,2026-08-30,53,304,21,273,2027-05-23,18,21,266,
Portugal,20831,20559,2027-05-16,95,577,20,20559,2026-08-31,71,305,20,272,2027-05-16,18,20,258,
Scotland,30776,30641,2026-04-11,70,176,12,30641,2025-11-01,46,41,12,0,NA,0,12,161,
Spain,31791,31101,2027-05-30,115,1158,54,31101,2026-08-31,81,477,42,349,2027-05-30,20,42,272,
Switzerland,14833,14833,2026-05-17,76,200,12,14605,2025-07-28,61,0,0,0,NA,0,0,293,YES: master is recent but Elo/fixtures do not provide JSON eligibility
Turkey,19346,19135,2026-05-17,84,276,18,19135,2025-11-03,75,69,18,0,NA,0,18,195,
Ukraine,7444,7444,2025-05-25,60,0,0,7444,2025-05-25,52,0,0,0,NA,0,0,0,CHECK: historical data exists but no teams are currently visible
