"Competition","Season","WikipediaRows","ImportedRows","WikipediaCache","RSSSFCache","Status","Message","ElapsedSeconds"
"swiss_super_league","2022/23",NA,NA,"","","FAIL","input string 1 is invalid in this locale",11.6
"swiss_super_league","2025/26",NA,NA,"","","FAIL","input string 1 is invalid in this locale",11.3
"belgian_pro_league","2021/22",NA,NA,"","","FAIL","file name conversion problem -- name too long?",11.5
"belgian_pro_league","2022/23",NA,NA,"","","FAIL","file name conversion problem -- name too long?",11.4
"scottish_premiership","2021/22",NA,NA,"","","FAIL","file name conversion problem -- name too long?",11.2
"scottish_premiership","2022/23",228,228,"downloaded","downloaded","PASS","",284.4
"super_lig","2021/22",NA,NA,"","","FAIL","input string 1 is invalid in this locale",12.2
"super_lig","2022/23",NA,NA,"","","FAIL","file name conversion problem -- name too long?",13.3
"super_league_greece","2021/22",NA,NA,"","","FAIL","Only 90 of 182 Wikipedia results could be given dates from RSSSF.",12.6
"super_league_greece","2022/23",NA,NA,"","","FAIL","Only 117 of 239 Wikipedia results could be given dates from RSSSF.",18.5
"czech_first_league","2019/20",NA,NA,"","","FAIL","file name conversion problem -- name too long?",11.2
"czech_first_league","2021/22",NA,NA,"","","FAIL","file name conversion problem -- name too long?",11.8
"czech_first_league","2022/23",NA,NA,"","","FAIL","file name conversion problem -- name too long?",11.2
"czech_first_league","2025/26",NA,NA,"","","FAIL","file name conversion problem -- name too long?",11.2
"ukrainian_premier_league","2022/23",NA,NA,"","","FAIL","embedded nul in string: '\xff\xfe<\0!\0D\0O\0C\0T\0Y\0P\0E\0 \0H\0T\0M\0L\0 \0P\0U\0B\0L\0I\0C\0 \0""\0-\0/\0/\0W\03\0C\0/\0/\0D\0T\0D\0 \0H\0T\0M\0L\0 \03\0.\02\0 \0F\0i\0n\0a\0l\0/\0/\0E\0N\0""\0>\0\r\0\n\0<\0H\0T\0M\0L\0>\0\r\0\n\0<\0H\0E\0A\0D\0>\0\r\0\n\0<\0T\0I\0T\0L\0E\0>\0U\0k\0r\0a\0i\0n\0e\0 \02\00\02\02\0/\02\03\0<\0/\0T\0I\0T\0L\0E\0>\0\r\0\n\0<\0/\0H\0E\0A\0D\0>\0\r\0\n\0<\0B\0O\0D\0Y\0>\0\r\0\n\0<\0H\02\0>\0U\0k\0r\0a\0i\0n\0e\0 \02\00\02\02\0/\02\03\0<\0/\0H\02\0>\0\r\0\n\0<\0p\0>\0\r\0\n\0<\0h\0r\0>\0\r\0\n\0<\0a\0 \0h\0r\0e\0f\0=\0""\0#\0u\0p\0l\0""\0>\0U\0k\0r\0a\0i\0n\0i\0a\0n\0 \0P\0r\0e\0m\0i\0e\0r\0 \0L\0e\0a\0g\0u\0e\0<\0/\0a\0>\0<\0b\0r\0>\0\r\0\n\0<\0a\0 \0h\0r\0e\0f\0=\0""\0#\0p\0e\0r\0s\0h\0a\0""\0>\0U\0k\0r\0a\0i\0n\0i\0a\0n\0 \0F\0i\0r\0s\0t\0 \0L\0e\0a\0g\0u\0e\0 \0(\0P\0e\0r\0s\0h\0a\0 \0L\0i\0h\0a\0)\0<\0/\0a\0>\0<\0b\0r\0>\0\r\0\n\0<\0a\0 \0h\0r\0e\0f\0=\0""\0#\0d\0r\0u\0g\0a\0""\0>\0U\0k\0r\0a\0i\0n\0i\0a\0n\0 \0S\0e\0c\0o\0n\0d\0 \0L\0e\0a\0g\0u\0e\0 \0(\0D\",11.4
"ukrainian_premier_league","2025/26",NA,NA,"","","FAIL","embedded nul in string: '\xff\xfe<\0!\0D\0O\0C\0T\0Y\0P\0E\0 \0H\0T\0M\0L\0 \0P\0U\0B\0L\0I\0C\0 \0""\0-\0/\0/\0W\03\0C\0/\0/\0D\0T\0D\0 \0H\0T\0M\0L\0 \03\0.\02\0 \0F\0i\0n\0a\0l\0/\0/\0E\0N\0""\0>\0\r\0\n\0<\0H\0T\0M\0L\0>\0\r\0\n\0<\0H\0E\0A\0D\0>\0\r\0\n\0<\0T\0I\0T\0L\0E\0>\0U\0k\0r\0a\0i\0n\0e\0 \02\00\02\05\0/\02\06\0<\0/\0T\0I\0T\0L\0E\0>\0\r\0\n\0<\0/\0H\0E\0A\0D\0>\0\r\0\n\0<\0B\0O\0D\0Y\0>\0\r\0\n\0<\0H\02\0>\0U\0k\0r\0a\0i\0n\0e\0 \02\00\02\05\0/\02\06\0<\0/\0H\02\0>\0\r\0\n\0<\0p\0>\0\r\0\n\0<\0h\0r\0>\0\r\0\n\0<\0a\0 \0h\0r\0e\0f\0=\0""\0#\0u\0p\0l\0""\0>\0U\0k\0r\0a\0i\0n\0i\0a\0n\0 \0P\0r\0e\0m\0i\0e\0r\0 \0L\0e\0a\0g\0u\0e\0<\0/\0a\0>\0<\0b\0r\0>\0\r\0\n\0<\0a\0 \0h\0r\0e\0f\0=\0""\0#\0k\0u\0b\0o\0k\0""\0>\0U\0k\0r\0a\0i\0n\0i\0a\0n\0 \0C\0u\0p\0<\0/\0a\0>\0<\0b\0r\0>\0\r\0\n\0<\0a\0 \0h\0r\0e\0f\0=\0""\0#\0p\0e\0r\0s\0h\0a\0""\0>\0U\0k\0r\0a\0i\0n\0i\0a\0n\0 \0F\0i\0r\0s\0t\0 \0L\0e\0a\0g\0u\0e\0 \0(\0P\0e\0r\0s\0h\0a\0 \0L\0i\0h\0a\0)\0<\0/\0a\0>\0<\0b\0r\0>\0\r\0\n\0<\0a\0",11.4
