Country,Competition,Season,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,PrevRows,NextRows,NeighbourMedian,RowRatio,Status
Austria,austrian_bundesliga,2010/11,180,180,0,10,2010-08-01,2011-07-31,NA,180,180,1,OK
Austria,austrian_bundesliga,2011/12,180,180,0,10,2011-08-13,2012-07-31,180,180,180,1,OK
Austria,austrian_bundesliga,2012/13,180,180,0,10,2012-08-04,2013-07-29,180,180,180,1,OK
Austria,austrian_bundesliga,2013/14,180,180,0,10,2013-08-03,2014-07-28,180,180,180,1,OK
Austria,austrian_bundesliga,2014/15,180,180,0,10,2014-08-02,2015-07-27,180,180,180,1,OK
Austria,austrian_bundesliga,2015/16,180,180,0,10,2015-08-01,2016-07-26,180,180,180,1,OK
Austria,austrian_bundesliga,2016/17,180,180,0,10,2016-08-06,2017-07-31,180,180,180,1,OK
Austria,austrian_bundesliga,2017/18,180,180,0,10,2017-07-22,2018-07-30,180,195,187.5,0.96,OK
Austria,austrian_bundesliga,2018/19,195,195,0,12,2018-08-04,2019-07-29,180,195,187.5,1.04,OK
Austria,austrian_bundesliga,2019/20,195,195,0,12,2019-08-03,2020-07-28,195,195,195,1,OK
Austria,austrian_bundesliga,2020/21,195,195,0,12,2020-09-11,2021-05-30,195,195,195,1,OK
Austria,austrian_bundesliga,2021/22,195,195,0,12,2021-08-01,2022-07-31,195,195,195,1,OK
Austria,austrian_bundesliga,2022/23,195,195,0,12,2022-08-06,2023-07-31,195,195,195,1,OK
Austria,austrian_bundesliga,2023/24,195,195,0,12,2023-08-05,2024-07-30,195,195,195,1,OK
Austria,austrian_bundesliga,2024/25,195,194,1,12,2024-08-02,2025-06-01,195,195,195,1,OK
Austria,austrian_bundesliga,2025/26,195,195,0,12,2025-08-01,2026-05-25,195,NA,195,1,OK
Belgium,belgian_pro_league,2018/19,270,270,0,16,2018-07-27,2019-07-29,NA,232,232,1.1637931034482758,OK
Belgium,belgian_pro_league,2019/20,232,232,0,16,2019-07-26,2020-07-28,270,330,300,0.7733333333333333,OK
Belgium,belgian_pro_league,2020/21,330,330,0,18,2020-08-08,2021-05-23,232,0,232,1.4224137931034482,OK
Belgium,belgian_pro_league,2021/22,0,0,0,0,NA,NA,330,0,330,0,MISSING
Belgium,belgian_pro_league,2022/23,0,0,0,0,NA,NA,0,313,313,0,MISSING
Belgium,belgian_pro_league,2023/24,313,313,0,16,2023-07-28,2024-07-30,0,313,313,1,OK
Belgium,belgian_pro_league,2024/25,313,313,0,16,2024-07-26,2025-07-28,313,240,276.5,1.132007233273056,OK
Belgium,belgian_pro_league,2025/26,240,121,119,16,2025-07-25,2026-07-27,313,NA,313,0.7667731629392971,OK
Czechia,czech_first_league,2018/19,277,277,0,16,2018-07-20,2019-07-30,NA,0,NA,NA,OK
Czechia,czech_first_league,2019/20,0,0,0,0,NA,NA,277,306,291.5,0,MISSING
Czechia,czech_first_league,2020/21,306,306,0,18,2020-08-21,2021-05-29,0,0,NA,NA,OK
Czechia,czech_first_league,2021/22,0,0,0,0,NA,NA,306,0,306,0,MISSING
Czechia,czech_first_league,2022/23,0,0,0,0,NA,NA,0,277,277,0,MISSING
Czechia,czech_first_league,2023/24,277,277,0,16,2023-07-22,2024-07-30,0,276,276,1.0036231884057971,OK
Czechia,czech_first_league,2024/25,276,276,0,16,2024-07-19,2025-07-28,277,0,277,0.9963898916967509,OK
Czechia,czech_first_league,2025/26,0,0,0,0,NA,NA,276,NA,276,0,MISSING
England,championship,2018/19,552,552,0,24,2018-08-03,2019-05-05,NA,552,552,1,OK
England,championship,2019/20,552,552,0,24,2019-08-02,2020-07-22,552,552,552,1,OK
England,championship,2020/21,552,552,0,24,2020-09-11,2021-05-08,552,557,554.5,0.9954914337240758,OK
England,championship,2021/22,557,557,0,24,2021-08-06,2022-05-29,552,557,554.5,1.0045085662759243,OK
England,championship,2022/23,557,557,0,24,2022-08-01,2023-07-31,557,557,557,1,OK
England,championship,2023/24,557,557,0,24,2023-08-04,2024-05-26,557,557,557,1,OK
England,championship,2024/25,557,557,0,24,2024-08-09,2025-05-24,557,557,557,1,OK
England,championship,2025/26,557,557,0,24,2025-08-08,2026-05-23,557,NA,557,1,OK
England,league_1,2018/19,552,552,0,24,2018-08-04,2019-05-04,NA,400,400,1.38,OK
England,league_1,2019/20,400,400,0,23,2019-08-03,2020-03-10,552,552,552,0.7246376811594203,OK
England,league_1,2020/21,552,552,0,24,2020-09-12,2021-05-09,400,552,476,1.1596638655462186,OK
England,league_1,2021/22,552,552,0,24,2021-08-07,2022-04-30,552,552,552,1,OK
England,league_1,2022/23,552,552,0,24,2022-08-06,2023-07-30,552,552,552,1,OK
England,league_1,2023/24,552,552,0,24,2023-08-05,2024-04-27,552,552,552,1,OK
England,league_1,2024/25,552,552,0,24,2024-08-09,2025-05-03,552,550,551,1.0018148820326678,OK
England,league_1,2025/26,550,356,194,24,2025-08-01,2026-05-02,552,NA,552,0.9963768115942029,OK
England,league_2,2018/19,552,552,0,24,2018-08-04,2019-05-04,NA,440,440,1.2545454545454546,OK
England,league_2,2019/20,440,440,0,24,2019-08-03,2020-03-10,552,552,552,0.7971014492753623,OK
England,league_2,2020/21,552,552,0,24,2020-09-12,2021-05-08,440,552,496,1.1129032258064515,OK
England,league_2,2021/22,552,552,0,24,2021-08-07,2022-05-07,552,552,552,1,OK
England,league_2,2022/23,552,552,0,24,2022-08-06,2023-07-30,552,552,552,1,OK
England,league_2,2023/24,552,552,0,24,2023-08-05,2024-04-27,552,552,552,1,OK
England,league_2,2024/25,552,552,0,24,2024-08-09,2025-05-03,552,552,552,1,OK
England,league_2,2025/26,552,276,276,24,2025-08-02,2026-05-02,552,NA,552,1,OK
England,national_league,2018/19,552,552,0,24,2018-08-04,2019-04-27,NA,451,451,1.2239467849223946,OK
England,national_league,2019/20,451,451,0,24,2019-08-03,2020-03-14,552,462,507,0.8895463510848126,OK
England,national_league,2020/21,462,462,0,22,2020-10-03,2021-05-29,451,506,478.5,0.9655172413793104,OK
England,national_league,2021/22,506,506,0,23,2021-08-21,2022-05-15,462,552,507,0.9980276134122288,OK
England,national_league,2022/23,552,552,0,24,2022-08-06,2023-04-29,506,552,529,1.0434782608695652,OK
England,national_league,2023/24,552,552,0,24,2023-08-05,2024-04-20,552,552,552,1,OK
England,national_league,2024/25,552,552,0,24,2024-08-10,2025-05-05,552,551,551.5,1.0009066183136899,OK
England,national_league,2025/26,551,296,255,24,2025-08-09,2026-04-25,552,NA,552,0.9981884057971014,OK
England,premier_league,1992/93,462,462,0,22,1992-08-15,1993-05-11,NA,462,462,1,OK
England,premier_league,1993/94,462,462,0,22,1993-08-14,1994-05-08,462,462,462,1,OK
England,premier_league,1994/95,462,462,0,22,1994-08-20,1995-05-14,462,380,421,1.0973871733966747,OK
England,premier_league,1995/96,380,380,0,20,1995-08-19,1996-05-04,462,380,421,0.9026128266033254,OK
England,premier_league,1996/97,380,380,0,20,1996-08-17,1997-05-11,380,380,380,1,OK
England,premier_league,1997/98,380,380,0,20,1997-08-09,1998-05-10,380,380,380,1,OK
England,premier_league,1998/99,380,380,0,20,1998-08-15,1999-05-16,380,380,380,1,OK
England,premier_league,1999/00,380,380,0,20,1999-08-06,2000-05-13,380,380,380,1,OK
England,premier_league,2000/01,380,380,0,20,2000-08-19,2001-05-19,380,380,380,1,OK
England,premier_league,2001/02,380,380,0,20,2001-08-18,2002-05-11,380,380,380,1,OK
England,premier_league,2002/03,380,380,0,20,2002-08-17,2003-05-11,380,380,380,1,OK
England,premier_league,2003/04,380,380,0,20,2003-08-16,2004-05-15,380,380,380,1,OK
England,premier_league,2004/05,380,380,0,20,2004-08-14,2005-05-15,380,380,380,1,OK
England,premier_league,2005/06,380,380,0,20,2005-08-13,2006-05-07,380,380,380,1,OK
England,premier_league,2006/07,380,380,0,20,2006-08-19,2007-05-13,380,380,380,1,OK
England,premier_league,2007/08,380,380,0,20,2007-08-11,2008-05-11,380,380,380,1,OK
England,premier_league,2008/09,380,380,0,20,2008-08-16,2009-05-24,380,380,380,1,OK
England,premier_league,2009/10,380,380,0,20,2009-08-15,2010-05-09,380,380,380,1,OK
England,premier_league,2010/11,380,380,0,20,2010-08-14,2011-05-22,380,380,380,1,OK
England,premier_league,2011/12,380,380,0,20,2011-08-13,2012-05-13,380,380,380,1,OK
England,premier_league,2012/13,380,380,0,20,2012-08-18,2013-05-19,380,380,380,1,OK
England,premier_league,2013/14,380,380,0,20,2013-08-17,2014-05-11,380,380,380,1,OK
England,premier_league,2014/15,380,380,0,20,2014-08-16,2015-05-24,380,380,380,1,OK
England,premier_league,2015/16,380,380,0,20,2015-08-08,2016-05-17,380,380,380,1,OK
England,premier_league,2016/17,380,380,0,20,2016-08-13,2017-05-21,380,380,380,1,OK
England,premier_league,2017/18,380,380,0,20,2017-08-11,2018-05-13,380,380,380,1,OK
England,premier_league,2018/19,380,380,0,20,2018-08-10,2019-05-12,380,380,380,1,OK
England,premier_league,2019/20,380,380,0,20,2019-08-09,2020-07-26,380,380,380,1,OK
England,premier_league,2020/21,380,380,0,20,2020-09-12,2021-05-23,380,380,380,1,OK
England,premier_league,2021/22,380,380,0,20,2021-08-13,2022-05-22,380,380,380,1,OK
England,premier_league,2022/23,380,380,0,20,2022-08-05,2023-05-28,380,380,380,1,OK
England,premier_league,2023/24,380,380,0,20,2023-08-11,2024-05-19,380,380,380,1,OK
England,premier_league,2024/25,380,380,0,20,2024-08-16,2025-05-25,380,380,380,1,OK
England,premier_league,2025/26,380,380,0,20,2025-08-15,2026-05-24,380,NA,380,1,OK
France,ligue_1,2014/15,380,380,0,20,2014-08-08,2015-05-23,NA,380,380,1,OK
France,ligue_1,2015/16,380,380,0,20,2015-08-07,2016-05-14,380,380,380,1,OK
France,ligue_1,2016/17,380,380,0,20,2016-08-12,2017-05-20,380,380,380,1,OK
France,ligue_1,2017/18,380,380,0,20,2017-08-04,2018-05-19,380,380,380,1,OK
France,ligue_1,2018/19,380,380,0,20,2018-08-10,2019-05-24,380,279,329.5,1.1532625189681336,OK
France,ligue_1,2019/20,279,279,0,20,2019-08-09,2020-03-08,380,380,380,0.7342105263157894,OK
France,ligue_1,2020/21,380,380,0,20,2020-08-21,2021-05-23,279,380,329.5,1.1532625189681336,OK
France,ligue_1,2021/22,380,380,0,20,2021-08-06,2022-05-21,380,380,380,1,OK
France,ligue_1,2022/23,380,380,0,20,2022-08-05,2023-06-03,380,306,343,1.1078717201166182,OK
France,ligue_1,2023/24,306,306,0,18,2023-08-11,2024-05-19,380,306,343,0.892128279883382,OK
France,ligue_1,2024/25,306,306,0,18,2024-08-16,2025-05-17,306,306,306,1,OK
France,ligue_1,2025/26,306,306,0,18,2025-08-15,2026-05-17,306,NA,306,1,OK
France,ligue_2,2018/19,380,380,0,20,2018-07-27,2019-07-30,NA,280,280,1.3571428571428572,OK
France,ligue_2,2019/20,280,280,0,20,2019-07-26,2020-07-29,380,380,380,0.7368421052631579,OK
France,ligue_2,2020/21,380,380,0,20,2020-08-22,2021-05-15,280,380,330,1.1515151515151516,OK
France,ligue_2,2021/22,380,380,0,20,2021-07-24,2022-07-31,380,380,380,1,OK
France,ligue_2,2022/23,380,380,0,20,2022-07-30,2023-06-02,380,380,380,1,OK
France,ligue_2,2023/24,380,380,0,20,2023-08-05,2024-05-17,380,306,343,1.1078717201166182,OK
France,ligue_2,2024/25,306,306,0,18,2024-08-16,2025-05-10,380,305,342.5,0.8934306569343066,OK
France,ligue_2,2025/26,305,116,189,18,2025-08-09,2026-05-08,306,NA,306,0.9967320261437909,OK
Germany,bundesliga,2010/11,306,306,0,18,2010-08-20,2011-05-14,NA,306,306,1,OK
Germany,bundesliga,2011/12,306,306,0,18,2011-08-05,2012-05-05,306,306,306,1,OK
Germany,bundesliga,2012/13,306,306,0,18,2012-08-24,2013-05-18,306,306,306,1,OK
Germany,bundesliga,2013/14,306,306,0,18,2013-08-09,2014-05-10,306,306,306,1,OK
Germany,bundesliga,2014/15,306,306,0,18,2014-08-22,2015-05-23,306,306,306,1,OK
Germany,bundesliga,2015/16,306,306,0,18,2015-08-14,2016-05-14,306,306,306,1,OK
Germany,bundesliga,2016/17,306,306,0,18,2016-08-26,2017-05-20,306,306,306,1,OK
Germany,bundesliga,2017/18,306,306,0,18,2017-08-18,2018-05-12,306,306,306,1,OK
Germany,bundesliga,2018/19,306,306,0,18,2018-08-24,2019-05-18,306,306,306,1,OK
Germany,bundesliga,2019/20,306,306,0,18,2019-08-16,2020-06-27,306,306,306,1,OK
Germany,bundesliga,2020/21,306,306,0,18,2020-09-18,2021-05-22,306,306,306,1,OK
