Country,Competition,League,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,ConflictingFixtureKeys,Status
Austria,austrian_bundesliga,Austrian Bundesliga,195,195,0,12,2025-08-01,2026-05-25,0,0,PRESENT
Belgium,belgian_pro_league,Belgian Pro League,240,121,119,16,2025-07-25,2026-07-27,0,0,PARTIAL
Czechia,czech_first_league,Czech First League,0,0,0,0,NA,NA,0,0,MISSING
England,championship,Championship,557,557,0,24,2025-08-08,2026-05-23,0,0,PRESENT
England,league_one,League One,0,0,0,0,NA,NA,0,0,MISSING
England,league_two,League Two,0,0,0,0,NA,NA,0,0,MISSING
England,national_league,National League,551,296,255,24,2025-08-09,2026-04-25,0,0,PARTIAL
England,premier_league,Premier League,380,380,0,20,2025-08-15,2026-05-24,0,0,PRESENT
France,ligue_1,Ligue 1,306,306,0,18,2025-08-15,2026-05-17,0,0,PRESENT
France,ligue_2,Ligue 2,305,116,189,18,2025-08-09,2026-05-08,0,0,PARTIAL
Germany,bundesliga,Bundesliga,306,306,0,18,2025-08-22,2026-05-16,0,0,PRESENT
Germany,bundesliga_2,2. Bundesliga,306,99,207,18,2025-08-01,2026-05-17,0,0,PARTIAL
Greece,super_league_greece,Super League Greece,181,62,119,14,2025-08-23,2026-03-21,0,0,PARTIAL
Italy,serie_a,Serie A,380,380,0,20,2025-08-23,2026-05-24,0,0,PRESENT
Italy,serie_b,Serie B,380,309,71,20,2025-08-22,2026-05-09,0,0,PARTIAL
Netherlands,eredivisie,Eredivisie,305,305,0,18,2025-08-08,2026-05-17,0,0,PRESENT
Portugal,primeira_liga,Primeira Liga,306,306,0,18,2025-08-08,2026-05-16,0,0,PRESENT
Scotland,scottish_premiership,Scottish Premiership,198,63,135,12,2025-08-02,2026-04-11,0,0,PARTIAL
Spain,la_liga,La Liga,380,380,0,20,2025-08-15,2026-05-24,0,0,PRESENT
Spain,segunda_division,Segunda Division,0,0,0,0,NA,NA,0,0,MISSING
Switzerland,swiss_super_league,Swiss Super League,228,228,0,12,2025-07-25,2026-05-17,0,0,PRESENT
Turkey,super_lig,Süper Lig,306,99,207,18,2025-08-08,2026-05-17,0,0,PARTIAL
Ukraine,ukrainian_premier_league,Ukrainian Premier League,0,0,0,0,NA,NA,0,0,MISSING
