Country,Competition,League,Date,Home,Away,Result,Score,Source
Belgium,belgian_pro_league,Belgian Pro League,2025-11-29,FCV Dender EH,KVC Westerlo,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-11-29,SV Zulte Waregem,Cercle Brugge,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-11-29,Sporting Charleroi,RAAL La Louviére,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-11-30,Club Brugge KV,Royal Antwerp FC,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-11-30,KAA Gent,Sint-Truidense VV,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-11-30,KRC Genk,Oud-Heverlee Leuven,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-11-30,RSC Anderlecht,Union Saint-Gilloise,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-12-05,RAAL La Louviére,FCV Dender EH,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-12-06,KVC Westerlo,RSC Anderlecht,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-12-06,Sint-Truidense VV,Club Brugge KV,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-12-06,Union Saint-Gilloise,KAA Gent,NA,NA,openfootball
Belgium,belgian_pro_league,Belgian Pro League,2025-12-07,Cercle Brugge,Standard Liège,NA,NA,openfootball
England,league_1,League 1,2025-11-04,Rotherham United,Burton Albion,NA,NA,openfootball
England,league_1,League 1,2025-11-25,Luton Town,Huddersfield Town,NA,NA,openfootball
England,league_1,League 1,2025-11-25,Peterborough United,Stevenage FC,NA,NA,openfootball
England,league_1,League 1,2026-01-04,Doncaster Rovers,Luton Town,NA,NA,openfootball
England,league_1,League 1,2026-01-04,Port Vale FC,Barnsley FC,NA,NA,openfootball
England,league_1,League 1,2026-01-04,Rotherham United,Mansfield Town,NA,NA,openfootball
England,league_1,League 1,2026-01-04,Stevenage FC,Leyton Orient,NA,NA,openfootball
England,league_1,League 1,2026-01-10,AFC Wimbledon,Blackpool FC,NA,NA,openfootball
England,league_1,League 1,2026-01-10,Barnsley FC,Wycombe Wanderers,NA,NA,openfootball
England,league_1,League 1,2026-01-10,Bradford City,Rotherham United,NA,NA,openfootball
England,league_1,League 1,2026-01-10,Exeter City,Lincoln City,NA,NA,openfootball
England,league_1,League 1,2026-01-10,Mansfield Town,Reading FC,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Barnet FC,Crawley Town,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Barrow AFC,Salford City,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Bromley FC,Newport County,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Cambridge United,Walsall FC,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Colchester United,Milton Keynes Dons,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Crewe Alexandra,Cheltenham Town,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Fleetwood Town,Grimsby Town,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Harrogate Town,Tranmere Rovers,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Notts County,Accrington Stanley,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Oldham Athletic,Chesterfield FC,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Shrewsbury Town,Bristol Rovers,NA,NA,openfootball
England,league_2,League 2,2026-01-01,Swindon Town,Gillingham FC,NA,NA,openfootball
England,national_league,National League,2025-11-11,York City,Rochdale AFC,NA,NA,openfootball
England,national_league,National League,2025-11-18,Morecambe FC,Brackley Town,NA,NA,openfootball
England,national_league,National League,2025-11-18,Rochdale AFC,Southend United,NA,NA,openfootball
England,national_league,National League,2026-01-03,Aldershot Town,Solihull Moors,NA,NA,openfootball
England,national_league,National League,2026-01-03,Altrincham FC,Morecambe FC,NA,NA,openfootball
England,national_league,National League,2026-01-03,Boreham Wood,York City,NA,NA,openfootball
England,national_league,National League,2026-01-03,Boston United,Eastleigh FC,NA,NA,openfootball
England,national_league,National League,2026-01-03,Carlisle United,Wealdstone FC,NA,NA,openfootball
England,national_league,National League,2026-01-03,Forest Green Rovers,Halifax Town,NA,NA,openfootball
England,national_league,National League,2026-01-03,Rochdale AFC,Brackley Town,NA,NA,openfootball
England,national_league,National League,2026-01-03,Scunthorpe United,Sutton United,NA,NA,openfootball
England,national_league,National League,2026-01-03,Southend United,Truro City,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-07,AS Nancy Lorraine,Stade Lavallois,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-07,Clermont Foot 63,Amiens SC,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-07,Grenoble Foot 38,Rodez AF,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-07,Montpellier HSC,FC Annecy,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-07,SC Bastia,Stade de Reims,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-07,USL Dunkerque,US Boulogne,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-08,EA Guingamp,Pau FC,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-08,ESTAC Troyes,AS Saint-Étienne,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-08,Le Mans FC,Red Star FC,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-21,FC Annecy,SC Bastia,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-21,Pau FC,Le Mans FC,NA,NA,openfootball
France,ligue_2,Ligue 2,2025-11-21,Rodez AF,USL Dunkerque,NA,NA,openfootball
Germany,bundesliga_2,2. Bundesliga,2025-11-07,Dynamo Dresden,1. FC Nürnberg,NA,NA,openfootball
Germany,bundesliga_2,2. Bundesliga,2025-11-07,SpVgg Greuther Fürth,Preußen Münster,NA,NA,openfootball
Germany,bundesliga_2,2. Bundesliga,2025-11-08,1. FC Kaiserslautern,Hertha BSC,NA,NA,openfootball
Germany,bundesliga_2,2. Bundesliga,2025-11-08,Arminia Bielefeld,Karlsruher SC,NA,NA,openfootball
