Country,Competition,League,Source,Rows,Scored,BlankScore,EarliestDate,LatestDate,Teams
Belgium,belgian_pro_league,Belgian Pro League,openfootball,240,121,119,2025-07-25,2026-07-27,16
England,league_1,League 1,openfootball,550,356,194,2025-08-01,2026-05-02,24
England,league_2,League 2,openfootball,552,276,276,2025-08-02,2026-05-02,24
England,national_league,National League,openfootball,551,296,255,2025-08-09,2026-04-25,24
France,ligue_2,Ligue 2,openfootball,305,116,189,2025-08-09,2026-05-08,18
Germany,bundesliga_2,2. Bundesliga,openfootball,306,99,207,2025-08-01,2026-05-17,18
Greece,super_league_greece,Super League Greece,openfootball,181,62,119,2025-08-23,2026-03-21,14
Italy,serie_b,Serie B,openfootball,380,309,71,2025-08-22,2026-05-09,20
Scotland,scottish_premiership,Scottish Premiership,openfootball,198,63,135,2025-08-02,2026-04-11,12
Spain,segunda_division,Segunda División,openfootball,462,131,331,2025-08-15,2026-05-31,22
Turkey,super_lig,Süper Lig,openfootball,306,99,207,2025-08-08,2026-05-17,18
