Country,Competition,Season,League,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,Status
Austria,austrian_bundesliga,2019/20,Austrian Bundesliga,195,195,0,12,2019-08-03,2020-07-28,0,PRESENT
Austria,austrian_bundesliga,2020/21,Austrian Bundesliga,195,195,0,12,2020-09-11,2021-05-30,0,PRESENT
Austria,austrian_bundesliga,2021/22,Austrian Bundesliga,195,195,0,12,2021-08-01,2022-07-31,0,PRESENT
Austria,austrian_bundesliga,2022/23,Austrian Bundesliga,195,195,0,12,2022-08-06,2023-07-31,0,PRESENT
Austria,austrian_bundesliga,2023/24,Austrian Bundesliga,195,195,0,12,2023-08-05,2024-07-30,0,PRESENT
Austria,austrian_bundesliga,2024/25,Austrian Bundesliga,195,194,1,12,2024-08-02,2025-06-01,0,PARTIAL
Austria,austrian_bundesliga,2025/26,Austrian Bundesliga,195,195,0,12,2025-08-01,2026-05-25,0,PRESENT
Belgium,belgian_pro_league,2019/20,Belgian Pro League,232,232,0,16,2019-07-26,2020-07-28,0,PRESENT
Belgium,belgian_pro_league,2020/21,Belgian Pro League,330,330,0,18,2020-08-08,2021-05-23,0,PRESENT
Belgium,belgian_pro_league,2021/22,,0,0,0,0,NA,NA,0,MISSING
Belgium,belgian_pro_league,2022/23,,0,0,0,0,NA,NA,0,MISSING
Belgium,belgian_pro_league,2023/24,Belgian Pro League,313,313,0,16,2023-07-28,2024-07-30,0,PRESENT
Belgium,belgian_pro_league,2024/25,Belgian Pro League,313,313,0,16,2024-07-26,2025-07-28,0,PRESENT
Belgium,belgian_pro_league,2025/26,Belgian Pro League,240,121,119,16,2025-07-25,2026-07-27,0,PARTIAL
Czechia,czech_first_league,2019/20,,0,0,0,0,NA,NA,0,MISSING
Czechia,czech_first_league,2020/21,Czech First League,306,306,0,18,2020-08-21,2021-05-29,0,PRESENT
Czechia,czech_first_league,2021/22,,0,0,0,0,NA,NA,0,MISSING
Czechia,czech_first_league,2022/23,,0,0,0,0,NA,NA,0,MISSING
Czechia,czech_first_league,2023/24,Czech First League,277,277,0,16,2023-07-22,2024-07-30,0,PRESENT
Czechia,czech_first_league,2024/25,Czech First League,276,276,0,16,2024-07-19,2025-07-28,0,PRESENT
Czechia,czech_first_league,2025/26,,0,0,0,0,NA,NA,0,MISSING
England,championship,2019/20,Championship,552,552,0,24,2019-08-02,2020-07-22,0,PRESENT
England,championship,2020/21,Championship,552,552,0,24,2020-09-11,2021-05-08,0,PRESENT
England,championship,2021/22,Championship,557,557,0,24,2021-08-06,2022-05-29,0,PRESENT
England,championship,2022/23,Championship,557,557,0,24,2022-08-01,2023-07-31,0,PRESENT
England,championship,2023/24,Championship,557,557,0,24,2023-08-04,2024-05-26,0,PRESENT
England,championship,2024/25,Championship,557,557,0,24,2024-08-09,2025-05-24,0,PRESENT
England,championship,2025/26,Championship,557,557,0,24,2025-08-08,2026-05-23,0,PRESENT
England,league_1,2019/20,League 1,400,400,0,23,2019-08-03,2020-03-10,0,PRESENT
England,league_1,2020/21,League 1,552,552,0,24,2020-09-12,2021-05-09,0,PRESENT
England,league_1,2021/22,League 1,552,552,0,24,2021-08-07,2022-04-30,0,PRESENT
England,league_1,2022/23,League 1,552,552,0,24,2022-08-06,2023-07-30,0,PRESENT
England,league_1,2023/24,League 1,552,552,0,24,2023-08-05,2024-04-27,0,PRESENT
England,league_1,2024/25,League 1,552,552,0,24,2024-08-09,2025-05-03,0,PRESENT
England,league_1,2025/26,League 1,550,356,194,24,2025-08-01,2026-05-02,0,PARTIAL
England,league_2,2019/20,League 2,440,440,0,24,2019-08-03,2020-03-10,0,PRESENT
England,league_2,2020/21,League 2,552,552,0,24,2020-09-12,2021-05-08,0,PRESENT
England,league_2,2021/22,League 2,552,552,0,24,2021-08-07,2022-05-07,0,PRESENT
England,league_2,2022/23,League 2,552,552,0,24,2022-08-06,2023-07-30,0,PRESENT
England,league_2,2023/24,League 2,552,552,0,24,2023-08-05,2024-04-27,0,PRESENT
England,league_2,2024/25,League 2,552,552,0,24,2024-08-09,2025-05-03,0,PRESENT
England,league_2,2025/26,League 2,552,276,276,24,2025-08-02,2026-05-02,0,PARTIAL
England,national_league,2019/20,National League,451,451,0,24,2019-08-03,2020-03-14,0,PRESENT
England,national_league,2020/21,National League,462,462,0,22,2020-10-03,2021-05-29,0,PRESENT
England,national_league,2021/22,National League,506,506,0,23,2021-08-21,2022-05-15,0,PRESENT
England,national_league,2022/23,National League,552,552,0,24,2022-08-06,2023-04-29,0,PRESENT
England,national_league,2023/24,National League,552,552,0,24,2023-08-05,2024-04-20,0,PRESENT
