Country,Competition,League,Season,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate,DuplicateFixtureKeys,Status
Austria,austrian_bundesliga,Austrian Bundesliga,2024/25,195,194,1,12,2024-08-02,2025-06-01,0,PARTIAL
Belgium,belgian_pro_league,,2021/22,0,0,0,0,NA,NA,0,MISSING
Belgium,belgian_pro_league,,2022/23,0,0,0,0,NA,NA,0,MISSING
Belgium,belgian_pro_league,Belgian Pro League,2025/26,240,121,119,16,2025-07-25,2026-07-27,0,PARTIAL
Czechia,czech_first_league,,2021/22,0,0,0,0,NA,NA,0,MISSING
Czechia,czech_first_league,,2022/23,0,0,0,0,NA,NA,0,MISSING
Czechia,czech_first_league,,2025/26,0,0,0,0,NA,NA,0,MISSING
England,league_1,League 1,2025/26,550,356,194,24,2025-08-01,2026-05-02,0,PARTIAL
England,league_2,League 2,2025/26,552,276,276,24,2025-08-02,2026-05-02,0,PARTIAL
England,national_league,National League,2025/26,551,296,255,24,2025-08-09,2026-04-25,0,PARTIAL
France,ligue_2,Ligue 2,2025/26,305,116,189,18,2025-08-09,2026-05-08,0,PARTIAL
Germany,bundesliga_2,2. Bundesliga,2025/26,306,99,207,18,2025-08-01,2026-05-17,0,PARTIAL
Greece,super_league_greece,,2021/22,0,0,0,0,NA,NA,0,MISSING
Greece,super_league_greece,,2022/23,0,0,0,0,NA,NA,0,MISSING
Greece,super_league_greece,Super League Greece,2025/26,181,62,119,14,2025-08-23,2026-03-21,0,PARTIAL
Italy,serie_b,Serie B,2024/25,388,387,1,20,2024-08-16,2025-06-01,0,PARTIAL
Italy,serie_b,Serie B,2025/26,380,309,71,20,2025-08-22,2026-05-09,0,PARTIAL
Scotland,scottish_premiership,Scottish Premiership,2025/26,198,63,135,12,2025-08-02,2026-04-11,0,PARTIAL
Spain,segunda_division,Segunda División,2024/25,462,453,9,22,2024-08-15,2025-06-01,0,PARTIAL
Spain,segunda_division,Segunda División,2025/26,462,131,331,22,2025-08-15,2026-05-31,0,PARTIAL
Turkey,super_lig,,2021/22,0,0,0,0,NA,NA,0,MISSING
Turkey,super_lig,,2022/23,0,0,0,0,NA,NA,0,MISSING
Turkey,super_lig,Süper Lig,2024/25,342,338,4,19,2024-08-09,2025-06-01,0,PARTIAL
Turkey,super_lig,Süper Lig,2025/26,306,99,207,18,2025-08-08,2026-05-17,0,PARTIAL
Ukraine,ukrainian_premier_league,,2022/23,0,0,0,0,NA,NA,0,MISSING
Ukraine,ukrainian_premier_league,,2025/26,0,0,0,0,NA,NA,0,MISSING
