Country,Competition,Season,Rows,Scored,BlankScore,Teams,EarliestDate,LatestDate
Belgium,belgian_pro_league,2021/22,0,0,0,0,NA,NA
Belgium,belgian_pro_league,2022/23,0,0,0,0,NA,NA
Czechia,czech_first_league,2021/22,0,0,0,0,NA,NA
Czechia,czech_first_league,2022/23,0,0,0,0,NA,NA
Czechia,czech_first_league,2025/26,0,0,0,0,NA,NA
Greece,super_league_greece,2021/22,0,0,0,0,NA,NA
Greece,super_league_greece,2022/23,0,0,0,0,NA,NA
Turkey,super_lig,2021/22,0,0,0,0,NA,NA
Turkey,super_lig,2022/23,0,0,0,0,NA,NA
Ukraine,ukrainian_premier_league,2022/23,0,0,0,0,NA,NA
Ukraine,ukrainian_premier_league,2025/26,0,0,0,0,NA,NA
