SourceName,CanonicalName,Method,Status
Aberdeen F.C.,Aberdeen,unique_existing_elo_name,ADD
Celtic F.C.,Celtic,unique_existing_elo_name,ADD
Dundee F.C.,Dundee,unique_existing_elo_name,ADD
Dundee United F.C.,Dundee United,unique_existing_elo_name,ADD
Heart of Midlothian F.C.,Hearts,unique_existing_elo_name,ADD
Hibernian F.C.,Hibernian,unique_existing_elo_name,ADD
Kilmarnock F.C.,Kilmarnock,unique_existing_elo_name,ADD
Livingston F.C.,Livingston,unique_existing_elo_name,ADD
Motherwell F.C.,Motherwell,unique_existing_elo_name,ADD
Rangers F.C.,Rangers,unique_existing_elo_name,ADD
Ross County F.C.,Ross County,unique_existing_elo_name,ADD
St Johnstone F.C.,St. Johnstone,unique_existing_elo_name,ADD
St Mirren F.C.,St. Mirren,unique_existing_elo_name,ADD
