Year,Country,League,Tier,AverageElo,MedianElo,Teams
1888,England,First Division,1,2551.2,2555.6,12
1889,England,First Division,1,2551.2,2538.9,12
1890,England,First Division,1,2562.1,2540.4,13
1890,Scotland,Scottish Premiership,1,2246.1,2257.1,10
1891,England,First Division,1,2553.2,2549.6,14
1891,Scotland,Scottish Premiership,1,2246.1,2236.3,10
1892,England,First Division,1,2543,2544.2,17
1892,Scotland,Scottish Premiership,1,2232,2217.1,10
1893,England,First Division,1,2542.7,2541.1,18
1893,Scotland,Scottish Premiership,1,2233.3,2237.1,12
1894,England,First Division,1,2546.2,2541.5,18
1894,Scotland,Scottish Premiership,1,2243.3,2238.9,11
1895,England,First Division,1,2564.8,2548.8,17
1895,Scotland,Scottish Premiership,1,2268.9,2252.5,11
1896,England,First Division,1,2564.8,2547.2,17
1896,Scotland,Scottish Premiership,1,2271.1,2241.3,11
1897,England,First Division,1,2566.2,2562.8,17
1897,Scotland,Scottish Premiership,1,2271.1,2246.7,11
1898,England,First Division,1,2565.2,2566.7,18
1898,Scotland,Scottish Premiership,1,2292,2276.8,10
1899,England,First Division,1,2560.1,2553.6,20
1899,Scotland,Scottish Premiership,1,2290.4,2268.5,11
1900,England,First Division,1,2560.1,2576.4,20
1900,Belgium,Belgian Pro League,1,2301.3,2294.3,9
1900,Scotland,Scottish Premiership,1,2276,2258.5,13
1901,England,First Division,1,2562.5,2571.4,20
1901,Scotland,Scottish Premiership,1,2302.4,2273,11
1901,Belgium,Belgian Pro League,1,2301.3,2273.1,9
1902,England,First Division,1,2565.5,2569.3,20
1902,Belgium,Belgian Pro League,1,2412.4,2412.4,2
1902,Scotland,Scottish Premiership,1,2291.7,2292.8,12
1903,England,First Division,1,2565.5,2562.6,20
1903,Scotland,Scottish Premiership,1,2275.9,2244,14
1904,England,First Division,1,2566.7,2547.8,20
1904,Belgium,Belgian Pro League,1,2328.3,2301.6,11
1904,Scotland,Scottish Premiership,1,2275.9,2286.5,14
1905,England,First Division,1,2566.7,2571.2,20
1905,Belgium,Belgian Pro League,1,2328.3,2290.6,11
1905,Scotland,Scottish Premiership,1,2271.2,2243,16
1906,England,First Division,1,2560.8,2577.5,22
1906,Belgium,Belgian Pro League,1,2337.6,2269.2,11
1906,Scotland,Scottish Premiership,1,2253.6,2243.9,18
1907,England,First Division,1,2565.1,2567.2,22
1907,Belgium,Belgian Pro League,1,2337.6,2290.1,11
1907,Scotland,Scottish Premiership,1,2253.6,2231.9,18
1908,England,First Division,1,2570,2565.2,22
1908,Belgium,Belgian Pro League,1,2336.9,2307.2,12
1908,Scotland,Scottish Premiership,1,2253.6,2235.3,18
1909,England,First Division,1,2570.8,2575.2,22
1909,Belgium,Belgian Pro League,1,2332.7,2303.4,13
1909,Scotland,Scottish Premiership,1,2253.6,2258.9,18
1910,England,First Division,1,2576.7,2576.2,22
1910,Belgium,Belgian Pro League,1,2341.8,2305.6,13
1910,Scotland,Scottish Premiership,1,2251.5,2255.7,19
1911,England,First Division,1,2575.4,2567.5,22
1911,Belgium,Belgian Pro League,1,2345.5,2289.7,13
1911,Scotland,Scottish Premiership,1,2262.4,2262.4,18
1912,England,First Division,1,2577.3,2576.9,22
1912,Belgium,Belgian Pro League,1,2335.2,2276.8,14
1912,Scotland,Scottish Premiership,1,2262.4,2252.6,18
1913,England,First Division,1,2579.8,2572.7,22
1913,Belgium,Belgian Pro League,1,2342.2,2328.1,14
1913,Scotland,Scottish Premiership,1,2257,2234.5,20
1914,England,First Division,1,2584.9,2590,22
1914,Belgium,Belgian Pro League,1,2377.5,2336.4,12
1914,Scotland,Scottish Premiership,1,2257,2219.8,20
1915,England,First Division,1,2590.7,2601.2,20
1915,Scotland,Scottish Premiership,1,2257,2228.4,20
1917,Scotland,Scottish Premiership,1,2264.8,2248.5,18
1918,Scotland,Scottish Premiership,1,2264.8,2226.3,18
1919,England,First Division,1,2582.9,2583.6,22
1919,Belgium,Belgian Pro League,1,2380.1,2339.9,12
1919,Scotland,Scottish Premiership,1,2252.4,2238.1,22
1920,England,First Division,1,2579.3,2588.8,24
1920,Belgium,Belgian Pro League,1,2380.1,2357.1,12
1920,Scotland,Scottish Premiership,1,2252.4,2237.7,22
1921,England,First Division,1,2584.9,2593.1,24
1921,Belgium,Belgian Pro League,1,2356.3,2303.8,15
1921,Scotland,Scottish Premiership,1,2252.4,2243.3,22
1922,England,First Division,1,2585,2584.5,24
1922,Belgium,Belgian Pro League,1,2353.3,2332.8,16
