Country,Competition,CompetitionType,Tier,League,Season,Date,Home,Away,Result,Score,Source
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-07-28,B 1903 København,Silkeborg IF,1-0,4-0,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-07-28,Brøndby IF,Lyngby BK,1-0,1-0,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-07-28,Næstved BK,Aarhus GF,1-0,2-0,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-07-28,Odense BK,BK Frem København,0-1,2-5,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-07-28,Vejle BK,Aalborg BK,0-1,1-2,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-04,Aalborg BK,Næstved BK,1-0,2-1,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-04,Aarhus GF,Brøndby IF,0.5-0.5,1-1,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-04,BK Frem København,B 1903 København,0-1,1-3,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-04,Lyngby BK,Odense BK,1-0,3-1,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-04,Silkeborg IF,Vejle BK,0-1,1-2,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-11,Brøndby IF,Aalborg BK,0.5-0.5,1-1,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-11,Lyngby BK,BK Frem København,1-0,2-1,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-11,Næstved BK,Silkeborg IF,0-1,0-1,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-11,Odense BK,Aarhus GF,0.5-0.5,0-0,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-11,Vejle BK,B 1903 København,1-0,4-2,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-14,Aalborg BK,Odense BK,0.5-0.5,4-4,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-14,Aarhus GF,Lyngby BK,0-1,0-3,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-14,B 1903 København,Næstved BK,0.5-0.5,0-0,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-14,BK Frem København,Vejle BK,1-0,1-0,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-14,Silkeborg IF,Brøndby IF,0.5-0.5,1-1,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-18,Aarhus GF,BK Frem København,1-0,2-0,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-18,Brøndby IF,B 1903 København,0.5-0.5,2-2,weltfussball_manual
Denmark,danish_superliga,league,1,Danish Superliga,1991/92,1991-08-18,Lyngby BK,Aalborg BK,0.5-0.5,1-1,weltfussball_manual
