MatchKey,Occurrence,TableNumber,Home,Away,HG,AG,HomeKey,AwayKey,WikiID,FDID,Date
aalesund|||honefoss bk|||4|||3,1,8,Aalesund,Hønefoss BK,4,3,aalesund,honefoss bk,3,,
aalesund|||sandnes ulf|||2|||3,1,8,Aalesund,Sandnes Ulf,2,3,aalesund,sandnes ulf,8,,
brann|||honefoss bk|||0|||0,1,8,Brann,Hønefoss BK,0,0,brann,honefoss bk,18,,
brann|||sandnes ulf|||6|||1,1,8,Brann,Sandnes Ulf,6,1,brann,sandnes ulf,23,,
haugesund|||honefoss bk|||1|||0,1,8,Haugesund,Hønefoss BK,1,0,haugesund,honefoss bk,33,,
haugesund|||sandnes ulf|||3|||1,1,8,Haugesund,Sandnes Ulf,3,1,haugesund,sandnes ulf,38,,
honefoss bk|||aalesund|||2|||5,1,8,Hønefoss BK,Aalesund,2,5,honefoss bk,aalesund,46,,
honefoss bk|||brann|||1|||1,1,8,Hønefoss BK,Brann,1,1,honefoss bk,brann,47,,
honefoss bk|||haugesund|||0|||1,1,8,Hønefoss BK,Haugesund,0,1,honefoss bk,haugesund,48,,
honefoss bk|||lillestrom|||1|||0,1,8,Hønefoss BK,Lillestrøm,1,0,honefoss bk,lillestrom,49,,
honefoss bk|||molde|||0|||1,1,8,Hønefoss BK,Molde,0,1,honefoss bk,molde,50,,
honefoss bk|||odd|||1|||1,1,8,Hønefoss BK,Odd,1,1,honefoss bk,odd,51,,
honefoss bk|||rosenborg|||1|||2,1,8,Hønefoss BK,Rosenborg,1,2,honefoss bk,rosenborg,52,,
honefoss bk|||sandnes ulf|||0|||1,1,8,Hønefoss BK,Sandnes Ulf,0,1,honefoss bk,sandnes ulf,53,,
honefoss bk|||sarpsborg 08|||3|||1,1,8,Hønefoss BK,Sarpsborg 08,3,1,honefoss bk,sarpsborg 08,54,,
honefoss bk|||sogndal|||3|||1,1,8,Hønefoss BK,Sogndal,3,1,honefoss bk,sogndal,55,,
honefoss bk|||start|||0|||1,1,8,Hønefoss BK,Start,0,1,honefoss bk,start,56,,
honefoss bk|||stromsgodset|||2|||0,1,8,Hønefoss BK,Strømsgodset,2,0,honefoss bk,stromsgodset,57,,
