MatchKey,Occurrence,Away,Home,TableNumber,HG,AG,FDHome,FDAway,WikiID,FDID,Date
Aalesund|||Bodo/Glimt|||2|||1,1,Bodø/Glimt,Aalesund,7,2,1,Aalesund,Bodo/Glimt,16,141,2014-08-03
Aalesund|||Brann|||0|||1,1,Brann,Aalesund,7,0,1,Aalesund,Brann,31,58,2014-05-10
Aalesund|||Haugesund|||3|||0,1,Haugesund,Aalesund,7,3,0,Aalesund,Haugesund,46,155,2014-08-16
Aalesund|||Lillestrom|||1|||1,1,Lillestrøm,Aalesund,7,1,1,Aalesund,Lillestrom,61,129,2014-07-26
Aalesund|||Molde|||0|||1,1,Molde,Aalesund,7,0,1,Aalesund,Molde,76,113,2014-07-11
Aalesund|||Odd|||2|||2,1,Odd,Aalesund,7,2,2,Aalesund,Odd,91,202,2014-10-04
Aalesund|||Rosenborg|||1|||1,1,Rosenborg,Aalesund,7,1,1,Aalesund,Rosenborg,106,11,2014-04-05
Aalesund|||Sandnes|||3|||0,1,Sandnes Ulf,Aalesund,7,3,0,Aalesund,Sandnes,121,101,2014-06-12
Aalesund|||Sarpsborg 08|||0|||0,1,Sarpsborg 08,Aalesund,7,0,0,Aalesund,Sarpsborg 08,136,84,2014-05-25
Aalesund|||Sogndal|||2|||2,1,Sogndal,Aalesund,7,2,2,Aalesund,Sogndal,151,65,2014-05-16
Aalesund|||Stabaek|||3|||0,1,Stabæk,Aalesund,7,3,0,Aalesund,Stabaek,166,189,2014-09-21
Aalesund|||Start|||1|||2,1,Start,Aalesund,7,1,2,Aalesund,Start,181,25,2014-04-21
Aalesund|||Stromsgodset|||2|||0,1,Strømsgodset,Aalesund,7,2,0,Aalesund,Stromsgodset,196,170,2014-08-30
Aalesund|||Valerenga|||4|||1,1,Vålerenga,Aalesund,7,4,1,Aalesund,Valerenga,226,225,2014-11-02
Aalesund|||Viking|||1|||2,1,Viking,Aalesund,7,1,2,Aalesund,Viking,211,43,2014-05-01
Bodo/Glimt|||Aalesund|||1|||1,1,Aalesund,Bodø/Glimt,7,1,1,Bodo/Glimt,Aalesund,1,4,2014-03-30
Bodo/Glimt|||Brann|||2|||1,1,Brann,Bodø/Glimt,7,2,1,Bodo/Glimt,Brann,32,224,2014-10-26
Bodo/Glimt|||Haugesund|||2|||1,1,Haugesund,Bodø/Glimt,7,2,1,Bodo/Glimt,Haugesund,47,57,2014-05-10
Bodo/Glimt|||Lillestrom|||1|||2,1,Lillestrøm,Bodø/Glimt,7,1,2,Bodo/Glimt,Lillestrom,62,44,2014-05-01
Bodo/Glimt|||Molde|||1|||1,1,Molde,Bodø/Glimt,7,1,1,Bodo/Glimt,Molde,77,97,2014-06-12
Bodo/Glimt|||Odd|||0|||3,1,Odd,Bodø/Glimt,7,0,3,Bodo/Glimt,Odd,92,115,2014-07-12
Bodo/Glimt|||Rosenborg|||2|||2,1,Rosenborg,Bodø/Glimt,7,2,2,Bodo/Glimt,Rosenborg,107,32,2014-04-21
Bodo/Glimt|||Sandnes|||1|||1,1,Sandnes Ulf,Bodø/Glimt,7,1,1,Bodo/Glimt,Sandnes,122,157,2014-08-17
Bodo/Glimt|||Sarpsborg 08|||3|||4,1,Sarpsborg 08,Bodø/Glimt,7,3,4,Bodo/Glimt,Sarpsborg 08,137,132,2014-07-27
Bodo/Glimt|||Sogndal|||4|||2,1,Sogndal,Bodø/Glimt,7,4,2,Bodo/Glimt,Sogndal,152,21,2014-04-13
Bodo/Glimt|||Stabaek|||1|||1,1,Stabæk,Bodø/Glimt,7,1,1,Bodo/Glimt,Stabaek,167,205,2014-10-05
Bodo/Glimt|||Start|||2|||1,1,Start,Bodø/Glimt,7,2,1,Bodo/Glimt,Start,182,75,2014-05-20
Bodo/Glimt|||Stromsgodset|||0|||4,1,Strømsgodset,Bodø/Glimt,7,0,4,Bodo/Glimt,Stromsgodset,197,186,2014-09-20
Bodo/Glimt|||Valerenga|||4|||3,1,Vålerenga,Bodø/Glimt,7,4,3,Bodo/Glimt,Valerenga,227,171,2014-08-30
Bodo/Glimt|||Viking|||3|||2,1,Viking,Bodø/Glimt,7,3,2,Bodo/Glimt,Viking,212,233,2014-11-09
Brann|||Aalesund|||1|||0,1,Aalesund,Brann,7,1,0,Brann,Aalesund,2,145,2014-08-08
Brann|||Bodo/Glimt|||1|||2,1,Bodø/Glimt,Brann,7,1,2,Brann,Bodo/Glimt,17,66,2014-05-16
Brann|||Haugesund|||1|||3,1,Haugesund,Brann,7,1,3,Brann,Haugesund,48,41,2014-04-30
Brann|||Lillestrom|||2|||0,1,Lillestrøm,Brann,7,2,0,Brann,Lillestrom,63,28,2014-04-21
Brann|||Mjondalen|||1|||1,1,,,,,,,,,241,2014-11-23
Brann|||Molde|||0|||1,1,Molde,Brann,7,0,1,Brann,Molde,78,176,2014-08-31
Brann|||Odd|||0|||1,1,Odd,Brann,7,0,1,Brann,Odd,93,98,2014-06-12
Brann|||Rosenborg|||3|||1,1,Rosenborg,Brann,7,3,1,Brann,Rosenborg,108,158,2014-08-17
Brann|||Sandnes|||1|||1,1,Sandnes Ulf,Brann,7,1,1,Brann,Sandnes,123,185,2014-09-19
Brann|||Sarpsborg 08|||1|||2,1,Sarpsborg 08,Brann,7,1,2,Brann,Sarpsborg 08,138,209,2014-10-17
