MatchKey,Occurrence,Away,Home,TableNumber,HG,AG,FDHome,FDAway,WikiID,FDID,Date
Aalesund|||Ham-Kam|||0|||2,1,,,,,,,,,140,2023-08-13
Aalesund|||Molde|||3|||1,1,,,,,,,,,52,2023-05-16
Bodo/Glimt|||Ham-Kam|||3|||0,1,,,,,,,,,77,2023-06-11
Brann|||Ham-Kam|||2|||1,1,,,,,,,,,92,2023-07-02
Ham-Kam|||Aalesund|||2|||1,1,,,,,,,,,98,2023-07-07
Ham-Kam|||Bodo/Glimt|||4|||4,1,,,,,,,,,162,2023-09-03
Ham-Kam|||Brann|||0|||2,1,,,,,,,,,132,2023-08-06
Ham-Kam|||Lillestrom|||0|||0,1,,,,,,,,,67,2023-05-29
Ham-Kam|||Molde|||0|||4,1,,,,,,,,,38,2023-05-07
Ham-Kam|||Odd|||0|||1,1,,,,,,,,,85,2023-06-25
Ham-Kam|||Rosenborg|||3|||0,1,,,,,,,,,146,2023-08-20
Ham-Kam|||Sandefjord|||2|||0,1,,,,,,,,,3,2023-04-10
Ham-Kam|||Stabaek|||3|||2,1,,,,,,,,,116,2023-07-23
Ham-Kam|||Stromsgodset|||2|||0,1,,,,,,,,,19,2023-04-23
Ham-Kam|||Tromso|||1|||2,1,,,,,,,,,46,2023-05-13
Haugesund|||Ham-Kam|||3|||2,1,,,,,,,,,10,2023-04-16
Kristiansund|||Valerenga|||0|||2,1,,,,,,,,,241,2023-12-06
Lillestrom|||Ham-Kam|||3|||1,1,,,,,,,,,127,2023-07-30
Rosenborg|||Ham-Kam|||4|||0,1,,,,,,,,,70,2023-06-04
Sarpsborg 08|||Ham-Kam|||2|||3,1,,,,,,,,,111,2023-07-16
Valerenga|||Ham-Kam|||3|||0,1,,,,,,,,,58,2023-05-16
Valerenga|||Kristiansund|||0|||2,1,,,,,,,,,242,2023-12-10
Viking|||Ham-Kam|||7|||3,1,,,,,,,,,30,2023-04-30
