Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,ParsedDate,MatchKey,Occurrence,FDID
Norway,Eliteserien,2023,10/04/2023,16:00,Ham-Kam,Sandefjord,2,0,H,1.93,3.69,4.19,1.95,3.75,4.2,1.89,3.57,4,,,,,,,2023-04-10,Ham-Kam|||Sandefjord|||2|||0,1,3
Norway,Eliteserien,2023,16/04/2023,16:00,Haugesund,Ham-Kam,3,2,H,2.09,3.37,3.95,2.1,3.6,3.95,2.03,3.36,3.69,,,,,,,2023-04-16,Haugesund|||Ham-Kam|||3|||2,1,10
Norway,Eliteserien,2023,23/04/2023,16:00,Ham-Kam,Stromsgodset,2,0,H,2.24,3.56,3.33,2.24,3.75,3.76,2.05,3.5,3.47,,,,,,,2023-04-23,Ham-Kam|||Stromsgodset|||2|||0,1,19
Norway,Eliteserien,2023,30/04/2023,16:00,Viking,Ham-Kam,7,3,H,1.68,4.08,5.3,1.68,4.1,5.5,1.64,3.91,5.06,,,,,,,2023-04-30,Viking|||Ham-Kam|||7|||3,1,30
Norway,Eliteserien,2023,07/05/2023,16:00,Ham-Kam,Molde,0,4,A,5.25,4.15,1.67,5.4,4.2,1.7,4.91,3.98,1.64,,,,,,,2023-05-07,Ham-Kam|||Molde|||0|||4,1,38
Norway,Eliteserien,2023,13/05/2023,16:00,Ham-Kam,Tromso,1,2,A,2.01,3.36,4.25,2.07,3.46,4.26,1.99,3.26,3.94,,,,,,,2023-05-13,Ham-Kam|||Tromso|||1|||2,1,46
Norway,Eliteserien,2023,16/05/2023,17:00,Aalesund,Molde,3,1,H,5.3,3.82,1.72,6.5,4.4,1.72,5.17,3.79,1.66,,,,,,,2023-05-16,Aalesund|||Molde|||3|||1,1,52
Norway,Eliteserien,2023,16/05/2023,17:00,Valerenga,Ham-Kam,3,0,H,1.72,4.07,4.88,1.78,4.07,5.5,1.72,3.84,4.51,,,,,,,2023-05-16,Valerenga|||Ham-Kam|||3|||0,1,58
Norway,Eliteserien,2023,29/05/2023,18:15,Ham-Kam,Lillestrom,0,0,D,3.72,3.55,2.09,3.78,3.65,2.1,3.54,3.48,2.03,,,,,,,2023-05-29,Ham-Kam|||Lillestrom|||0|||0,1,67
Norway,Eliteserien,2023,04/06/2023,16:00,Rosenborg,Ham-Kam,4,0,H,1.67,3.99,5.53,1.71,4,5.7,1.66,3.77,5.11,,,,,,,2023-06-04,Rosenborg|||Ham-Kam|||4|||0,1,70
