Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2012-03-23,2012,Norway,Eliteserien,1,Domestic,Molde,Strømsgodset,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-03-24,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Lillestrøm,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-03-25,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Sogndal,0,4,score,0-4,A,wikipedia,wikipedia,football-data
2012-03-25,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Brann,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-03-25,2012,Norway,Eliteserien,1,Domestic,Stabæk,Aalesund,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-03-25,2012,Norway,Eliteserien,1,Domestic,Tromsø,Fredrikstad,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-03-25,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Haugesund,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-03-26,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Viking,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2012-03-30,2012,Norway,Eliteserien,1,Domestic,Brann,Sandnes Ulf,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-03-31,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Vålerenga,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2012-04-01,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Stabæk,5,1,score,5-1,H,wikipedia,wikipedia,football-data
2012-04-01,2012,Norway,Eliteserien,1,Domestic,Haugesund,Molde,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-04-01,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Rosenborg,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2012-04-01,2012,Norway,Eliteserien,1,Domestic,Sogndal,Hønefoss BK,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-04-01,2012,Norway,Eliteserien,1,Domestic,Viking,Odd Grenland,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-04-02,2012,Norway,Eliteserien,1,Domestic,Aalesund,Tromsø,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-04-09,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Fredrikstad,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-04-09,2012,Norway,Eliteserien,1,Domestic,Molde,Brann,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-04-09,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Lillestrøm,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-04-09,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Sogndal,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-04-09,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Aalesund,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-04-09,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Haugesund,3,3,score,3-3,D,wikipedia,wikipedia,football-data
2012-04-09,2012,Norway,Eliteserien,1,Domestic,Tromsø,Stabæk,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2012-04-10,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Viking,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-04-13,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Rosenborg,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-04-15,2012,Norway,Eliteserien,1,Domestic,Aalesund,Odd Grenland,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-04-15,2012,Norway,Eliteserien,1,Domestic,Brann,Strømsgodset,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-04-15,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Vålerenga,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-04-15,2012,Norway,Eliteserien,1,Domestic,Sogndal,Haugesund,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-04-15,2012,Norway,Eliteserien,1,Domestic,Tromsø,Sandnes Ulf,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-04-16,2012,Norway,Eliteserien,1,Domestic,Stabæk,Hønefoss BK,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-04-16,2012,Norway,Eliteserien,1,Domestic,Viking,Molde,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-04-20,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Sogndal,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-04-21,2012,Norway,Eliteserien,1,Domestic,Haugesund,Brann,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-04-22,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Aalesund,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-04-22,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Fredrikstad,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-04-22,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Tromsø,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2012-04-22,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Stabæk,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-04-22,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Viking,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-04-23,2012,Norway,Eliteserien,1,Domestic,Molde,Lillestrøm,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2012-04-27,2012,Norway,Eliteserien,1,Domestic,Aalesund,Rosenborg,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2012-04-28,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Sandnes Ulf,3,4,score,3-4,A,wikipedia,wikipedia,football-data
2012-04-28,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Strømsgodset,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2012-04-28,2012,Norway,Eliteserien,1,Domestic,Sogndal,Molde,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-04-28,2012,Norway,Eliteserien,1,Domestic,Stabæk,Odd Grenland,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-04-28,2012,Norway,Eliteserien,1,Domestic,Tromsø,Hønefoss BK,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-04-28,2012,Norway,Eliteserien,1,Domestic,Viking,Haugesund,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-04-29,2012,Norway,Eliteserien,1,Domestic,Brann,Vålerenga,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-05-04,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Stabæk,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-05-05,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Tromsø,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2012-05-06,2012,Norway,Eliteserien,1,Domestic,Haugesund,Lillestrøm,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-05-06,2012,Norway,Eliteserien,1,Domestic,Molde,Aalesund,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2012-05-06,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Hønefoss BK,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-06,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Sogndal,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2012-05-06,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Fredrikstad,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2012-05-07,2012,Norway,Eliteserien,1,Domestic,Brann,Viking,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-12,2012,Norway,Eliteserien,1,Domestic,Stabæk,Molde,0,5,score,0-5,A,wikipedia,wikipedia,football-data
2012-05-12,2012,Norway,Eliteserien,1,Domestic,Tromsø,Vålerenga,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-05-13,2012,Norway,Eliteserien,1,Domestic,Aalesund,Strømsgodset,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2012-05-13,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Haugesund,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-13,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Odd Grenland,1,4,score,1-4,A,wikipedia,wikipedia,football-data
2012-05-13,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Brann,3,4,score,3-4,A,wikipedia,wikipedia,football-data
2012-05-13,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Rosenborg,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-05-13,2012,Norway,Eliteserien,1,Domestic,Sogndal,Viking,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Brann,Sogndal,5,0,score,5-0,H,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Haugesund,Aalesund,4,2,score,4-2,H,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Molde,Fredrikstad,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Odd Grenland,Sandnes Ulf,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Hønefoss BK,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Tromsø,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-16,2012,Norway,Eliteserien,1,Domestic,Viking,Lillestrøm,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2012-05-19,2012,Norway,Eliteserien,1,Domestic,Fredrikstad,Strømsgodset,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2012-05-19,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Vålerenga,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Aalesund,Brann,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Sogndal,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Rosenborg,Odd Grenland,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Molde,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Stabæk,Haugesund,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-05-20,2012,Norway,Eliteserien,1,Domestic,Tromsø,Viking,5,1,score,5-1,H,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Brann,Fredrikstad,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Sogndal,Sandnes Ulf,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Strømsgodset,Odd Grenland,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Viking,Stabæk,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2012-05-23,2012,Norway,Eliteserien,1,Domestic,Vålerenga,Rosenborg,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-24,2012,Norway,Eliteserien,1,Domestic,Haugesund,Hønefoss BK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-05-24,2012,Norway,Eliteserien,1,Domestic,Lillestrøm,Aalesund,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2012-05-24,2012,Norway,Eliteserien,1,Domestic,Molde,Tromsø,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Hønefoss BK,Molde,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Sandnes Ulf,Haugesund,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Stabæk,Lillestrøm,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2012-05-28,2012,Norway,Eliteserien,1,Domestic,Tromsø,Brann,2,0,score,2-0,H,wikipedia,wikipedia,football-data
