Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2020-06-16,2020,Norway,Eliteserien,1,Domestic,Aalesund,Molde,1,4,1-4,A,wikipedia,wikipedia,football-data
2020-06-16,2020,Norway,Eliteserien,1,Domestic,Odd,Sandefjord,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-06-16,2020,Norway,Eliteserien,1,Domestic,Rosenborg,Kristiansund,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-06-16,2020,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Vålerenga,0,1,0-1,A,wikipedia,wikipedia,football-data
2020-06-16,2020,Norway,Eliteserien,1,Domestic,Stabæk,Mjøndalen,0,0,0-0,D,wikipedia,wikipedia,football-data
2020-06-16,2020,Norway,Eliteserien,1,Domestic,Viking,Bodø/Glimt,2,4,2-4,A,wikipedia,wikipedia,football-data
2020-06-17,2020,Norway,Eliteserien,1,Domestic,Haugesund,Brann,1,2,1-2,A,wikipedia,wikipedia,football-data
2020-06-17,2020,Norway,Eliteserien,1,Domestic,Start,Strømsgodset,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-20,2020,Norway,Eliteserien,1,Domestic,Mjøndalen,Sarpsborg 08,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-06-20,2020,Norway,Eliteserien,1,Domestic,Molde,Rosenborg,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-06-21,2020,Norway,Eliteserien,1,Domestic,Bodø/Glimt,Haugesund,6,1,6-1,H,wikipedia,wikipedia,football-data
2020-06-21,2020,Norway,Eliteserien,1,Domestic,Brann,Viking,3,0,3-0,H,wikipedia,wikipedia,football-data
2020-06-21,2020,Norway,Eliteserien,1,Domestic,Kristiansund,Aalesund,7,2,7-2,H,wikipedia,wikipedia,football-data
2020-06-21,2020,Norway,Eliteserien,1,Domestic,Sandefjord,Start,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-21,2020,Norway,Eliteserien,1,Domestic,Strømsgodset,Odd,1,0,1-0,H,wikipedia,wikipedia,football-data
2020-06-21,2020,Norway,Eliteserien,1,Domestic,Vålerenga,Stabæk,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-24,2020,Norway,Eliteserien,1,Domestic,Aalesund,Brann,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-24,2020,Norway,Eliteserien,1,Domestic,Haugesund,Kristiansund,2,2,2-2,D,wikipedia,wikipedia,football-data
2020-06-24,2020,Norway,Eliteserien,1,Domestic,Odd,Vålerenga,4,1,4-1,H,wikipedia,wikipedia,football-data
2020-06-24,2020,Norway,Eliteserien,1,Domestic,Stabæk,Sandefjord,2,0,2-0,H,wikipedia,wikipedia,football-data
2020-06-24,2020,Norway,Eliteserien,1,Domestic,Start,Molde,2,3,2-3,A,wikipedia,wikipedia,football-data
2020-06-24,2020,Norway,Eliteserien,1,Domestic,Viking,Mjøndalen,1,1,1-1,D,wikipedia,wikipedia,football-data
2020-06-25,2020,Norway,Eliteserien,1,Domestic,Rosenborg,Bodø/Glimt,2,3,2-3,A,wikipedia,wikipedia,football-data
2020-06-25,2020,Norway,Eliteserien,1,Domestic,Sarpsborg 08,Strømsgodset,2,3,2-3,A,wikipedia,wikipedia,football-data
2020-06-27,2020,Norway,Eliteserien,1,Domestic,Start,Odd,0,5,0-5,A,wikipedia,wikipedia,football-data
2020-06-27,2020,Norway,Eliteserien,1,Domestic,Vålerenga,Viking,2,1,2-1,H,wikipedia,wikipedia,football-data
