Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2012-08-17,2012/13,Poland,Ekstraklasa,1,domestic,Piast Gliwice,Górnik Zabrze,1,2,1-2,A,wikipedia,wikipedia,football-data
2012-08-17,2012/13,Poland,Ekstraklasa,1,domestic,Pogoń Szczecin,Zagłębie Lubin,4,0,4-0,H,wikipedia,wikipedia,football-data
2012-08-18,2012/13,Poland,Ekstraklasa,1,domestic,Jagiellonia Białystok,Podbeskidzie Bielsko-Biała,2,1,2-1,H,wikipedia,wikipedia,football-data
2012-08-18,2012/13,Poland,Ekstraklasa,1,domestic,Lech Poznań,Ruch Chorzów,4,0,4-0,H,wikipedia,wikipedia,football-data
2012-08-18,2012/13,Poland,Ekstraklasa,1,domestic,Widzew Łódź,Śląsk Wrocław,2,1,2-1,H,wikipedia,wikipedia,football-data
2012-08-19,2012/13,Poland,Ekstraklasa,1,domestic,Legia Warsaw,Korona Kielce,4,0,4-0,H,wikipedia,wikipedia,football-data
2012-08-19,2012/13,Poland,Ekstraklasa,1,domestic,Wisła Kraków,GKS Bełchatów,2,1,2-1,H,wikipedia,wikipedia,football-data
2012-08-20,2012/13,Poland,Ekstraklasa,1,domestic,Lechia Gdańsk,Polonia Warsaw,1,3,1-3,A,wikipedia,wikipedia,football-data
2012-08-24,2012/13,Poland,Ekstraklasa,1,domestic,Jagiellonia Białystok,Górnik Zabrze,1,1,1-1,D,wikipedia,wikipedia,football-data
2012-08-24,2012/13,Poland,Ekstraklasa,1,domestic,Zagłębie Lubin,Piast Gliwice,2,1,2-1,H,wikipedia,wikipedia,football-data
2012-08-25,2012/13,Poland,Ekstraklasa,1,domestic,Podbeskidzie Bielsko-Biała,Wisła Kraków,1,1,1-1,D,wikipedia,wikipedia,football-data
2012-08-25,2012/13,Poland,Ekstraklasa,1,domestic,Polonia Warsaw,Lech Poznań,1,2,1-2,A,wikipedia,wikipedia,football-data
2012-08-25,2012/13,Poland,Ekstraklasa,1,domestic,Widzew Łódź,Ruch Chorzów,2,0,2-0,H,wikipedia,wikipedia,football-data
2012-08-26,2012/13,Poland,Ekstraklasa,1,domestic,GKS Bełchatów,Legia Warsaw,0,2,0-2,A,wikipedia,wikipedia,football-data
