MatchKey,Occurrence,TableNumber,Home,Away,HG,AG,HomeKey,AwayKey,WikiID,FDID,Date
astra giurgiu|||botosani|||2|||0,1,6,Astra Giurgiu,Botoșani,2,0,astra giurgiu,botosani,20,,
astra giurgiu|||brasov|||5|||0,1,6,Astra Giurgiu,Brașov,5,0,astra giurgiu,brasov,19,,
astra giurgiu|||ceahlaul piatra neamt|||2|||1,1,6,Astra Giurgiu,Ceahlăul Piatra Neamț,2,1,astra giurgiu,ceahlaul piatra neamt,21,,
astra giurgiu|||cfr cluj|||0|||1,1,6,Astra Giurgiu,CFR Cluj,0,1,astra giurgiu,cfr cluj,22,,
astra giurgiu|||concordia chiajna|||2|||2,1,6,Astra Giurgiu,Concordia Chiajna,2,2,astra giurgiu,concordia chiajna,23,,
astra giurgiu|||dinamo bucuresti|||6|||1,1,6,Astra Giurgiu,Dinamo București,6,1,astra giurgiu,dinamo bucuresti,26,,
astra giurgiu|||fcsb|||0|||0,1,6,Astra Giurgiu,Steaua București,0,0,astra giurgiu,fcsb,32,,
astra giurgiu|||gaz metan medias|||1|||2,1,6,Astra Giurgiu,Gaz Metan Mediaș,1,2,astra giurgiu,gaz metan medias,27,,
astra giurgiu|||otelul galati|||4|||1,1,6,Astra Giurgiu,Oțelul Galați,4,1,astra giurgiu,otelul galati,28,,
astra giurgiu|||pandurii targu jiu|||2|||1,1,6,Astra Giurgiu,Pandurii Târgu Jiu,2,1,astra giurgiu,pandurii targu jiu,29,,
astra giurgiu|||petrolul ploiesti|||0|||0,1,6,Astra Giurgiu,Petrolul Ploiești,0,0,astra giurgiu,petrolul ploiesti,30,,
astra giurgiu|||politehnica_iasi|||2|||1,1,6,Astra Giurgiu,CSMS Iași,2,1,astra giurgiu,politehnica_iasi,24,,
astra giurgiu|||rapid bucuresti|||2|||0,1,6,Astra Giurgiu,Rapid București,2,0,astra giurgiu,rapid bucuresti,31,,
astra giurgiu|||targu mures|||3|||1,1,6,Astra Giurgiu,Târgu Mureș,3,1,astra giurgiu,targu mures,18,,
astra giurgiu|||universitatea cluj|||1|||1,1,6,Astra Giurgiu,Universitatea Cluj,1,1,astra giurgiu,universitatea cluj,33,,
astra giurgiu|||universitatea_craiova|||5|||0,1,6,Astra Giurgiu,Universitatea Craiova,5,0,astra giurgiu,universitatea_craiova,25,,
astra giurgiu|||viitorul constanta|||0|||1,1,6,Astra Giurgiu,Viitorul Constanța,0,1,astra giurgiu,viitorul constanta,34,,
botosani|||astra giurgiu|||1|||0,1,6,Botoșani,Astra Giurgiu,1,0,botosani,astra giurgiu,53,,
botosani|||brasov|||0|||0,1,6,Botoșani,Brașov,0,0,botosani,brasov,54,,
botosani|||ceahlaul piatra neamt|||2|||0,1,6,Botoșani,Ceahlăul Piatra Neamț,2,0,botosani,ceahlaul piatra neamt,55,,
botosani|||cfr cluj|||0|||1,1,6,Botoșani,CFR Cluj,0,1,botosani,cfr cluj,56,,
botosani|||concordia chiajna|||3|||0,1,6,Botoșani,Concordia Chiajna,3,0,botosani,concordia chiajna,57,,
botosani|||dinamo bucuresti|||3|||2,1,6,Botoșani,Dinamo București,3,2,botosani,dinamo bucuresti,60,,
botosani|||fcsb|||0|||2,1,6,Botoșani,Steaua București,0,2,botosani,fcsb,66,,
botosani|||gaz metan medias|||0|||3,1,6,Botoșani,Gaz Metan Mediaș,0,3,botosani,gaz metan medias,61,,
botosani|||otelul galati|||1|||1,1,6,Botoșani,Oțelul Galați,1,1,botosani,otelul galati,62,,
botosani|||pandurii targu jiu|||1|||1,1,6,Botoșani,Pandurii Târgu Jiu,1,1,botosani,pandurii targu jiu,63,,
botosani|||petrolul ploiesti|||0|||1,1,6,Botoșani,Petrolul Ploiești,0,1,botosani,petrolul ploiesti,64,,
botosani|||politehnica_iasi|||0|||0,1,6,Botoșani,CSMS Iași,0,0,botosani,politehnica_iasi,58,,
botosani|||rapid bucuresti|||3|||0,1,6,Botoșani,Rapid București,3,0,botosani,rapid bucuresti,65,,
botosani|||targu mures|||1|||2,1,6,Botoșani,Târgu Mureș,1,2,botosani,targu mures,52,,
