Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,ParsedDate,HomeKey,AwayKey,MatchKey,Occurrence,FDID
Romania,Superliga,2017/2018,15/07/2017,16:30,Concordia,Poli Timisoara,0,1,A,2.66,3.13,2.99,2.95,3.2,2.99,2.61,3,2.72,,,,,,,2017-07-15,concordia,poli timisoara,concordia|||poli timisoara|||0|||1,1,2
Romania,Superliga,2017/2018,15/07/2017,19:00,Daco-Getica Bucuresti,Din. Bucuresti,0,3,A,6.66,3.87,1.61,7.2,3.87,1.66,5.75,3.69,1.58,,,,,,,2017-07-15,daco getica bucuresti,din bucuresti,daco getica bucuresti|||din bucuresti|||0|||3,1,3
Romania,Superliga,2017/2018,16/07/2017,16:30,Astra,Sepsi Sf. Gheorghe,1,0,H,1.69,3.76,5.73,1.75,3.92,6,1.65,3.59,5.14,,,,,,,2017-07-16,astra,sepsi,astra|||sepsi|||1|||0,1,4
Romania,Superliga,2017/2018,16/07/2017,19:00,FCSB,FC Voluntari,2,1,H,1.4,4.76,9.6,1.41,4.9,10.02,1.36,4.53,8.1,,,,,,,2017-07-16,fcsb,fc voluntari,fcsb|||fc voluntari|||2|||1,1,5
Romania,Superliga,2017/2018,17/07/2017,19:00,FC Botosani,CFR Cluj,1,1,D,4.8,3.41,1.89,5.9,3.54,1.9,4.75,3.31,1.76,,,,,,,2017-07-17,fc botosani,cfr cluj,fc botosani|||cfr cluj|||1|||1,1,7
Romania,Superliga,2017/2018,21/07/2017,16:30,Sepsi Sf. Gheorghe,Daco-Getica Bucuresti,2,1,H,3.07,3.25,2.52,3.13,3.25,2.68,2.84,3.08,2.45,,,,,,,2017-07-21,sepsi,daco getica bucuresti,sepsi|||daco getica bucuresti|||2|||1,1,8
Romania,Superliga,2017/2018,21/07/2017,19:00,Poli Timisoara,FCSB,0,1,A,4.42,3.49,1.93,4.55,3.55,2.08,3.86,3.27,1.94,,,,,,,2017-07-21,poli timisoara,fcsb,poli timisoara|||fcsb|||0|||1,1,9
Romania,Superliga,2017/2018,22/07/2017,16:30,U Craiova,Concordia,1,1,D,1.5,4.11,8.34,1.51,4.25,9.55,1.45,3.94,7.37,,,,,,,2017-07-22,universitatea_craiova,concordia,universitatea_craiova|||concordia|||1|||1,1,10
Romania,Superliga,2017/2018,23/07/2017,19:00,Din. Bucuresti,FC Botosani,0,1,A,1.44,4.57,8.59,1.48,4.65,9,1.43,4.18,7.22,,,,,,,2017-07-23,din bucuresti,fc botosani,din bucuresti|||fc botosani|||0|||1,1,13
Romania,Superliga,2017/2018,24/07/2017,19:00,FC Voluntari,Astra,3,1,H,2.74,3.3,2.75,2.8,3.3,2.8,2.63,3.1,2.62,,,,,,,2017-07-24,fc voluntari,astra,fc voluntari|||astra|||3|||1,1,14
Romania,Superliga,2017/2018,28/07/2017,16:30,FC Botosani,Sepsi Sf. Gheorghe,5,1,H,1.71,3.64,5.78,1.75,3.66,5.9,1.68,3.46,5.08,,,,,,,2017-07-28,fc botosani,sepsi,fc botosani|||sepsi|||5|||1,1,15
