WikiTeam,FDTeam,Method
Astra Giurgiu,Astra,canonical_exact
Botoșani,FC Botosani,substring
CFR Cluj,CFR Cluj,canonical_exact
Concordia Chiajna,Concordia,substring
Dinamo București,Din. Bucuresti,fuzzy
Dunărea Călărași,Calarasi,substring
FCSB,FCSB,canonical_exact
Gaz Metan Mediaș,Gaz Metan Medias,canonical_exact
Hermannstadt,FC Hermannstadt,substring
Politehnica Iași,Poli Iasi,canonical_exact
Sepsi OSK,Sepsi Sf. Gheorghe,canonical_exact
Universitatea Craiova,U Craiova,canonical_exact
Viitorul Constanța,Viitorul Constanta,canonical_exact
Voluntari,FC Voluntari,substring
