WikiTeam,FDKey,Method
Academica Clinceni,academica_clinceni,canonical
Astra Giurgiu,astra_giurgiu,canonical
Botoșani,botosani,canonical
CFR Cluj,cfr_cluj,canonical
Chindia Târgoviște,chindia_targoviste,canonical
Dinamo București,din bucuresti,fuzzy
FCSB,fcsb,canonical
Gaz Metan Mediaș,gaz_metan_medias,canonical
Hermannstadt,hermannstadt,canonical
Politehnica Iași,politehnica_iasi,canonical
Sepsi OSK,sepsi,canonical
Universitatea Craiova,universitatea_craiova,canonical
Viitorul Constanța,viitorul_constanta,canonical
Voluntari,voluntari,canonical
