WikiTeam,WikiKey,FDTeam,FDKey,Method
Academica Clinceni,academica clinceni,Academica Clinceni,academica clinceni,canonical
Argeș Pitești,arges_pitesti,FC Arges,arges_pitesti,canonical
Botoșani,botosani,FC Botosani,botosani,canonical
CFR Cluj,cfr cluj,CFR Cluj,cfr cluj,canonical
Chindia Târgoviște,chindia targoviste,Chindia Targoviste,chindia targoviste,canonical
Dinamo București,dinamo_bucuresti,Din. Bucuresti,dinamo_bucuresti,canonical
Farul Constanța,farul_constanta,Farul Constanta,farul_constanta,canonical
FC U Craiova 1948,fcu_1948_craiova,U Craiova 1948,fcu_1948_craiova,canonical
FCSB,fcsb,FCSB,fcsb,canonical
Gaz Metan Mediaș,gaz_metan_medias,Gaz Metan Medias,gaz_metan_medias,canonical
Mioveni,mioveni,Mioveni,mioveni,canonical
Rapid București,rapid_bucuresti,FC Rapid Bucuresti,rapid_bucuresti,canonical
Sepsi OSK,sepsi,Sepsi Sf. Gheorghe,sepsi,canonical
Universitatea Craiova,universitatea_craiova,Univ. Craiova,universitatea_craiova,canonical
UTA Arad,uta arad,UTA Arad,uta arad,canonical
Voluntari,voluntari,FC Voluntari,fc voluntari,fuzzy
