Country,League,Season,Wikipedia,FootballData,Matched,UnmatchedWiki,UnmatchedFD,Status,Note
Romania,Liga I,2012/13,306,307,0,0,0,FAIL,Unresolved teams: CSMS Iași; Steaua București
Romania,Liga I,2013/14,306,306,0,0,0,FAIL,Unresolved teams: Brașov; Steaua București
Romania,Liga I,2014/15,306,306,0,0,0,FAIL,Unresolved teams: CSMS Iași; Steaua București; Universitatea Craiova
Romania,Liga I,2015/16,268,272,0,0,0,FAIL,Unresolved teams: CSMS Iași; Steaua București
Romania,Liga I,2016/17,268,270,0,0,0,FAIL,Unresolved teams: CSM Politehnica Iași; FC Steaua București; Universitatea Craiova
Romania,Liga I,2017/18,268,270,0,0,0,FAIL,Unresolved teams: CS Universitatea Craiova; CSM Politehnica Iași; Juventus București; Sepsi OSK; Universitatea Craiova
Romania,Liga I,2018/19,268,270,0,0,0,FAIL,Unresolved teams: Politehnica Iași; Sepsi OSK; Universitatea Craiova
Romania,Liga I,2019/20,261,262,0,0,0,FAIL,Unresolved teams: Politehnica Iași; Sepsi OSK; Universitatea Craiova
Romania,Liga I,2020/21,240,321,0,0,0,FAIL,Unresolved teams: Politehnica Iași; Sepsi OSK; Universitatea Craiova
Romania,Liga I,2021/22,240,320,0,0,0,FAIL,Unresolved teams: Argeș Pitești; Universitatea Craiova
Romania,Liga I,2022/23,240,321,0,0,0,FAIL,Unresolved teams: Argeș Pitești; FCU 1948 Craiova; Universitatea Craiova
Romania,Liga I,2023/24,240,321,0,0,0,FAIL,Unresolved teams: FCU 1948 Craiova; Politehnica Iași; Sepsi OSK; Universitatea Craiova
Romania,Liga I,2024/25,240,315,0,0,0,FAIL,Unresolved teams: Politehnica Iași; Sepsi OSK; Universitatea Craiova
Romania,Liga I,2025/26,240,321,0,0,0,FAIL,Unresolved teams: Argeș Pitești; Csíkszereda Miercurea Ciuc; Universitatea Craiova
