Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2014-07-25,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Astra Giurgiu,0,2,0-2,A,wikipedia,wikipedia,football-data
2014-07-25,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Pandurii Târgu Jiu,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-07-26,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Steaua București,1,3,1-3,A,wikipedia,wikipedia,football-data
2014-07-26,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Universitatea Cluj,0,0,0-0,D,wikipedia,wikipedia,football-data
2014-07-27,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Gaz Metan Mediaș,0,3,0-3,A,wikipedia,wikipedia,football-data
2014-07-27,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Petrolul Ploiești,0,1,0-1,A,wikipedia,wikipedia,football-data
2014-07-27,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Ceahlăul Piatra Neamț,4,0,4-0,H,wikipedia,wikipedia,football-data
2014-07-28,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Viitorul Constanța,0,0,0-0,D,wikipedia,wikipedia,football-data
2014-07-28,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Oțelul Galați,4,0,4-0,H,wikipedia,wikipedia,football-data
2014-08-01,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Târgu Mureș,1,4,1-4,A,wikipedia,wikipedia,football-data
2014-08-01,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Rapid București,1,2,1-2,A,wikipedia,wikipedia,football-data
2014-08-02,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Concordia Chiajna,1,2,1-2,A,wikipedia,wikipedia,football-data
2014-08-02,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Universitatea Craiova,3,1,3-1,H,wikipedia,wikipedia,football-data
2014-08-03,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Brașov,5,0,5-0,H,wikipedia,wikipedia,football-data
2014-08-03,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,CFR Cluj,0,0,0-0,D,wikipedia,wikipedia,football-data
2014-08-03,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Botoșani,4,1,4-1,H,wikipedia,wikipedia,football-data
2014-08-04,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,CSMS Iași,0,0,0-0,D,wikipedia,wikipedia,football-data
2014-08-04,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Dinamo București,2,3,2-3,A,wikipedia,wikipedia,football-data
2014-08-08,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Gaz Metan Mediaș,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-08-08,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Viitorul Constanța,2,2,2-2,D,wikipedia,wikipedia,football-data
2014-08-09,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Târgu Mureș,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-08-09,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Ceahlăul Piatra Neamț,0,1,0-1,A,wikipedia,wikipedia,football-data
2014-08-10,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Astra Giurgiu,1,0,1-0,H,wikipedia,wikipedia,football-data
2014-08-10,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Steaua București,0,1,0-1,A,wikipedia,wikipedia,football-data
2014-08-10,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Petrolul Ploiești,1,5,1-5,A,wikipedia,wikipedia,football-data
2014-08-11,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Oțelul Galați,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-08-11,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Universitatea Cluj,0,2,0-2,A,wikipedia,wikipedia,football-data
2014-08-15,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Universitatea Craiova,1,0,1-0,H,wikipedia,wikipedia,football-data
2014-08-15,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Pandurii Târgu Jiu,6,0,6-0,H,wikipedia,wikipedia,football-data
2014-08-16,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,CSMS Iași,2,1,2-1,H,wikipedia,wikipedia,football-data
2014-08-16,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,Rapid București,0,0,0-0,D,wikipedia,wikipedia,football-data
2014-08-17,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Dinamo București,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-08-17,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Botoșani,0,1,0-1,A,wikipedia,wikipedia,football-data
2014-08-17,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Concordia Chiajna,2,0,2-0,H,wikipedia,wikipedia,football-data
2014-08-18,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,Brașov,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-08-18,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,CFR Cluj,0,2,0-2,A,wikipedia,wikipedia,football-data
2014-08-22,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Târgu Mureș,2,1,2-1,H,wikipedia,wikipedia,football-data
2014-08-22,2014/15,Romania,SuperLiga,1,Domestic,Concordia Chiajna,Dinamo București,0,0,0-0,D,wikipedia,wikipedia,football-data
2014-08-23,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Viitorul Constanța,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-08-23,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Ceahlăul Piatra Neamț,0,1,0-1,A,wikipedia,wikipedia,football-data
2014-08-24,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Universitatea Cluj,1,0,1-0,H,wikipedia,wikipedia,football-data
2014-08-24,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Astra Giurgiu,0,2,0-2,A,wikipedia,wikipedia,football-data
2014-08-24,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Petrolul Ploiești,0,2,0-2,A,wikipedia,wikipedia,football-data
2014-08-25,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Gaz Metan Mediaș,4,1,4-1,H,wikipedia,wikipedia,football-data
2014-08-25,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Oțelul Galați,0,0,0-0,D,wikipedia,wikipedia,football-data
2014-08-29,2014/15,Romania,SuperLiga,1,Domestic,Ceahlăul Piatra Neamț,Concordia Chiajna,2,0,2-0,H,wikipedia,wikipedia,football-data
2014-08-29,2014/15,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Pandurii Târgu Jiu,0,2,0-2,A,wikipedia,wikipedia,football-data
2014-08-30,2014/15,Romania,SuperLiga,1,Domestic,Dinamo București,Brașov,2,1,2-1,H,wikipedia,wikipedia,football-data
2014-08-30,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Steaua București,0,1,0-1,A,wikipedia,wikipedia,football-data
2014-08-31,2014/15,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Universitatea Craiova,5,0,5-0,H,wikipedia,wikipedia,football-data
2014-08-31,2014/15,Romania,SuperLiga,1,Domestic,Petrolul Ploiești,CFR Cluj,1,2,1-2,A,wikipedia,wikipedia,football-data
2014-08-31,2014/15,Romania,SuperLiga,1,Domestic,Târgu Mureș,Botoșani,2,1,2-1,H,wikipedia,wikipedia,football-data
2014-09-01,2014/15,Romania,SuperLiga,1,Domestic,Oțelul Galați,Rapid București,2,0,2-0,H,wikipedia,wikipedia,football-data
2014-09-01,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Cluj,CSMS Iași,2,0,2-0,H,wikipedia,wikipedia,football-data
2014-09-12,2014/15,Romania,SuperLiga,1,Domestic,Brașov,Concordia Chiajna,4,1,4-1,H,wikipedia,wikipedia,football-data
2014-09-12,2014/15,Romania,SuperLiga,1,Domestic,Steaua București,Gaz Metan Mediaș,3,1,3-1,H,wikipedia,wikipedia,football-data
2014-09-13,2014/15,Romania,SuperLiga,1,Domestic,CFR Cluj,Astra Giurgiu,4,1,4-1,H,wikipedia,wikipedia,football-data
2014-09-13,2014/15,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Ceahlăul Piatra Neamț,2,0,2-0,H,wikipedia,wikipedia,football-data
2014-09-14,2014/15,Romania,SuperLiga,1,Domestic,Botoșani,Dinamo București,3,2,3-2,H,wikipedia,wikipedia,football-data
2014-09-14,2014/15,Romania,SuperLiga,1,Domestic,CSMS Iași,Târgu Mureș,2,2,2-2,D,wikipedia,wikipedia,football-data
2014-09-14,2014/15,Romania,SuperLiga,1,Domestic,Rapid București,Universitatea Cluj,2,1,2-1,H,wikipedia,wikipedia,football-data
2014-09-15,2014/15,Romania,SuperLiga,1,Domestic,Pandurii Târgu Jiu,Petrolul Ploiești,1,1,1-1,D,wikipedia,wikipedia,football-data
2014-09-15,2014/15,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Oțelul Galați,1,0,1-0,H,wikipedia,wikipedia,football-data
