Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2019-07-12,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Sepsi OSK,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2019-07-13,2019/20,Romania,SuperLiga,1,Domestic,Astra Giurgiu,Botoșani,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2019-07-13,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Politehnica Iași,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2019-07-14,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Hermannstadt,4,3,score,4-3,H,wikipedia,wikipedia,football-data
2019-07-14,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Academica Clinceni,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2019-07-15,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Chindia Târgoviște,2,2,score,2-2,D,wikipedia,wikipedia,football-data
2019-07-15,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Dinamo București,5,0,score,5-0,H,wikipedia,wikipedia,football-data
2019-07-19,2019/20,Romania,SuperLiga,1,Domestic,Chindia Târgoviște,Viitorul Constanța,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2019-07-19,2019/20,Romania,SuperLiga,1,Domestic,Hermannstadt,Gaz Metan Mediaș,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2019-07-20,2019/20,Romania,SuperLiga,1,Domestic,Academica Clinceni,CFR Cluj,1,4,score,1-4,A,wikipedia,wikipedia,football-data
2019-07-20,2019/20,Romania,SuperLiga,1,Domestic,Botoșani,Voluntari,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2019-07-21,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Universitatea Craiova,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2019-07-21,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Astra Giurgiu,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2019-07-22,2019/20,Romania,SuperLiga,1,Domestic,Sepsi OSK,FCSB,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2019-07-26,2019/20,Romania,SuperLiga,1,Domestic,Politehnica Iași,Academica Clinceni,2,0,score,2-0,H,wikipedia,wikipedia,football-data
2019-07-26,2019/20,Romania,SuperLiga,1,Domestic,Voluntari,Astra Giurgiu,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2019-07-27,2019/20,Romania,SuperLiga,1,Domestic,CFR Cluj,Dinamo București,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2019-07-27,2019/20,Romania,SuperLiga,1,Domestic,Gaz Metan Mediaș,Sepsi OSK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2019-07-28,2019/20,Romania,SuperLiga,1,Domestic,Universitatea Craiova,Chindia Târgoviște,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2019-07-28,2019/20,Romania,SuperLiga,1,Domestic,Viitorul Constanța,Hermannstadt,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2019-07-29,2019/20,Romania,SuperLiga,1,Domestic,FCSB,Botoșani,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2019-08-02,2019/20,Romania,SuperLiga,1,Domestic,Dinamo București,Academica Clinceni,4,2,score,4-2,H,wikipedia,wikipedia,football-data
