Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,Baltika,Tekstilshchik K.,4,1,4-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,Chernomorets,Lada Togliatti,4,1,4-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,FK Rostov,Kamaz,4,5,4-5,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,Lok. Moscow,CSKA Moscow,1,2,1-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,R. Volgograd,Ural,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,Spartak Vladikavkaz,Lokomotiv N. Novgorod,3,1,3-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,Torpedo Moscow,Dyn. Moscow,2,5,2-5,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,Zenit,Sp. Moscow,1,2,1-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-11-03,Zhemchuzhina,Samara,2,2,2-2,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,CSKA Moscow,Chernomorets,1,3,1-3,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Dyn. Moscow,Ural,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Kamaz,Torpedo Moscow,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Lada Togliatti,Baltika,0,5,0-5,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Lok. Moscow,R. Volgograd,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Lokomotiv N. Novgorod,Zhemchuzhina,4,1,4-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Samara,Zenit,1,0,1-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Sp. Moscow,FK Rostov,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-25,Tekstilshchik K.,Spartak Vladikavkaz,0,2,0-2,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-21,Ural,Lok. Moscow,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-20,Spartak Vladikavkaz,Lada Togliatti,3,0,3-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-20,Torpedo Moscow,Sp. Moscow,3,4,3-4,0-1,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-19,Baltika,CSKA Moscow,2,1,2-1,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-19,Chernomorets,R. Volgograd,0,0,0-0,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-19,FK Rostov,Samara,1,0,1-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-19,Kamaz,Dyn. Moscow,3,2,3-2,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-19,Zenit,Lokomotiv N. Novgorod,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-19,Zhemchuzhina,Tekstilshchik K.,1,1,1-1,0.5-0.5,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
flashscore,Russia,russian_premier_league,league,1,Russian Premier League,1996,1996-10-12,CSKA Moscow,Spartak Vladikavkaz,2,0,2-0,1-0,https://www.flashscore.co.uk/football/russia/premier-league-1996/results/
