RawTeam,CanonicalMatches,Canonical,Status
Akhmat Grozny,1,Akhmat Grozny,RESOLVED
Akron Togliatti,1,Akron Togliatti,RESOLVED
Alania Vladikavkaz,1,Alania Vladikavkaz,RESOLVED
Amkar,1,Amkar,RESOLVED
Anzhi,1,Anzhi Makhachkala,RESOLVED
Arsenal Tula,1,Arsenal Tula,RESOLVED
Baltika,1,Baltika,RESOLVED
CSKA Moscow,1,CSKA Moscow,RESOLVED
Chernomorets,1,Chernomorets Novorossiysk,RESOLVED
Chernomorets Novorossijsk,1,Chernomorets Novorossiysk,RESOLVED
Dyn. Moscow,1,Dynamo Moscow,RESOLVED
Dynamo Makhachkala,1,Dynamo Makhachkala,RESOLVED
Dynamo Moscow,1,Dynamo Moscow,RESOLVED
Dynamo Stavropol,1,Dynamo Stavropol,RESOLVED
FC Moscow,1,FC Moscow,RESOLVED
FK Anzi Makhackala,1,Anzhi Makhachkala,RESOLVED
FK Elista,1,Uralan Elista,RESOLVED
FK Rostov,1,Rostov,RESOLVED
Fakel Voronezh,1,Fakel Voronezh,RESOLVED
Kamaz,1,Kamaz,RESOLVED
Khimki,1,Khimki,RESOLVED
Krasnodar,1,Krasnodar,RESOLVED
Krylya Sovetov,1,Krylya Sovetov,RESOLVED
Kuban,1,Kuban,RESOLVED
Lada Togliatti,1,Lada Togliatti,RESOLVED
Lok. Moscow,1,Lokomotiv Moscow,RESOLVED
Lokomotiv Moscow,1,Lokomotiv Moscow,RESOLVED
Lokomotiv N. Novgorod,1,Lokomotiv Nizhny Novgorod,RESOLVED
Luch,1,Luch,RESOLVED
Mordovia Saransk,1,Mordovia Saransk,RESOLVED
Okean Nakhodka,1,Okean Nakhodka,RESOLVED
Orenburg,1,Orenburg,RESOLVED
Pari NN,1,Pari Nizhny Novgorod,RESOLVED
Presnya,1,Presnya,RESOLVED
R. Volgograd,1,Rotor Volgograd,RESOLVED
Rubin Kazan,1,Rubin Kazan,RESOLVED
SKA Khabarovsk,1,SKA Khabarovsk,RESOLVED
Samara,1,Krylya Sovetov,RESOLVED
Saratov,1,Saratov,RESOLVED
Saturn Ramenskoye,1,Saturn Ramenskoye,RESOLVED
Shinnik Yaroslavl,1,Shinnik Yaroslavl,RESOLVED
Sibir Novosibirsk,1,Sibir Novosibirsk,RESOLVED
Sochi,1,Sochi,RESOLVED
Sp. Moscow,1,Spartak Moscow,RESOLVED
Spartak Moscow,1,Spartak Moscow,RESOLVED
Spartak Nalchik,1,Spartak Nalchik,RESOLVED
Spartak Vladikavkaz,1,Alania Vladikavkaz,RESOLVED
Tambov,1,Tambov,RESOLVED
Tekstilshchik K.,1,Tekstilshchik Kamyshin,RESOLVED
Tomsk,1,Tomsk,RESOLVED
Torpedo Moscow,1,Torpedo Moscow,RESOLVED
Tosno,1,Tosno,RESOLVED
Tyumen,1,Tyumen,RESOLVED
Ufa,1,Ufa,RESOLVED
Ural,1,Ural,RESOLVED
Volga N. Novgorod,1,Volga Nizhny Novgorod,RESOLVED
Yaroslavl,1,Shinnik Yaroslavl,RESOLVED
Yenisey,1,Yenisey,RESOLVED
Zenit,1,Zenit,RESOLVED
Zhemchuzhina,1,Zhemchuzhina Sochi,RESOLVED
