Season,ExpectedMatches,StagePages,ParsedMatches,DatedMatches,UniqueRawTeams,Status,Error
1992,368,4,284,284,20,COUNT_MISMATCH,
1993,306,1,306,306,18,OK,
1994,240,1,240,240,16,OK,
1995,240,1,240,240,16,OK,
1996,240,1,1,1,2,COUNT_MISMATCH,
1997,240,1,306,306,18,COUNT_MISMATCH,
1998,240,1,240,240,16,OK,
1999,240,1,240,240,16,OK,
2000,240,1,240,240,16,OK,
2001,240,1,240,240,16,OK,
2002,240,1,1,1,2,COUNT_MISMATCH,
2003,240,1,240,240,16,OK,
2004,240,1,240,240,16,OK,
2005,240,1,240,240,16,OK,
2006,240,1,240,240,16,OK,
2007,240,1,239,239,16,COUNT_MISMATCH,
2008,240,1,240,240,16,OK,
2009,240,1,240,240,16,OK,
2010,240,1,240,240,16,OK,
2011/12,352,5,351,351,16,COUNT_MISMATCH,
2012/13,240,1,239,239,16,COUNT_MISMATCH,
2013/14,240,1,239,239,16,COUNT_MISMATCH,
2014/15,240,1,240,240,16,OK,
2015/16,240,1,240,240,16,OK,
2016/17,240,1,240,240,16,OK,
2017/18,240,1,240,240,16,OK,
2018/19,240,1,240,240,16,OK,
2019/20,240,1,236,236,16,COUNT_MISMATCH,
2020/21,240,1,238,238,16,COUNT_MISMATCH,
2021/22,240,1,240,240,16,OK,
2022/23,240,1,239,239,16,COUNT_MISMATCH,
2023/24,240,1,240,240,16,OK,
2024/25,240,1,240,240,16,OK,
2025/26,240,1,240,240,16,OK,
