Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,Stage,SourceURL
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-03-29,Dynamo Stavropol,Dynamo Moscow,0,3,0-3,0-1,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-03-29,FK Rostov,Shinnik Yaroslavl,2,0,2-0,1-0,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-03-29,Fakel Voronezh,Ural,0,1,0-1,0-1,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-03-29,Kuban,Lokomotiv N. Novgorod,0,0,0-0,0.5-0.5,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-03-29,Spartak Moscow,Krylya Sovetov,5,0,5-0,1-0,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-03-29,Spartak Vladikavkaz,CSKA Moscow,2,0,2-0,1-0,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-03-29,Tekstilshchik K.,Tyumen,1,0,1-0,1-0,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-04-01,Dynamo Stavropol,CSKA Moscow,1,2,1-2,0-1,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-04-01,FK Rostov,Lokomotiv N. Novgorod,0,0,0-0,0.5-0.5,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
betexplorer,Russia,russian_premier_league,league,1,Russian Premier League,1992,1992-04-01,Fakel Voronezh,Tyumen,1,0,1-0,1-0,Main,https://www.betexplorer.com/football/russia/premier-league-1992/results/?stage=b7oeJ8RG
