RawTeam,FirstSeason,LastSeason,Appearances,ExistingCanonical,ExistingCountry,IsExistingCanonical,Status,SuggestedCanonical
Akhmat Grozny,2005,2025/26,584,,,FALSE,NEEDS_REVIEW,Akhmat Grozny
Akron Togliatti,2024/25,2025/26,60,,,FALSE,NEEDS_REVIEW,Akron Togliatti
Alania Vladikavkaz,1998,2012/13,300,,,FALSE,NEEDS_REVIEW,Alania Vladikavkaz
Amkar,2004,2017/18,434,,,FALSE,NEEDS_REVIEW,Amkar
Anzhi,2002,2002,30,,,FALSE,NEEDS_REVIEW,Anzhi
Arsenal Tula,2014/15,2021/22,210,,,FALSE,NEEDS_REVIEW,Arsenal Tula
Baltika,1996,2025/26,158,,,FALSE,NEEDS_REVIEW,Baltika
Chernomorets,1996,1996,34,,,FALSE,NEEDS_REVIEW,Chernomorets
Chernomorets Novorossijsk,1995,2003,214,,,FALSE,NEEDS_REVIEW,Chernomorets Novorossijsk
Dyn. Moscow,1996,2002,64,,,FALSE,NEEDS_REVIEW,Dyn. Moscow
Dynamo Makhachkala,2024/25,2025/26,60,,,FALSE,NEEDS_REVIEW,Dynamo Makhachkala
Dynamo Stavropol,1992,1994,94,,,FALSE,NEEDS_REVIEW,Dynamo Stavropol
FC Moscow,2001,2009,269,,,FALSE,NEEDS_REVIEW,FC Moscow
FK Anzi Makhackala,2000,2018/19,314,,,FALSE,NEEDS_REVIEW,FK Anzi Makhackala
FK Elista,1998,2003,150,,,FALSE,NEEDS_REVIEW,FK Elista
Fakel Voronezh,1992,2024/25,214,,,FALSE,NEEDS_REVIEW,Fakel Voronezh
Kamaz,1993,1997,162,,,FALSE,NEEDS_REVIEW,Kamaz
Khimki,2007,2024/25,210,,,FALSE,NEEDS_REVIEW,Khimki
Krylya Sovetov,1992,2025/26,891,,,FALSE,NEEDS_REVIEW,Krylya Sovetov
Kuban,1992,2015/16,284,,,FALSE,NEEDS_REVIEW,Kuban
