Season,Matches,DatedMatches,UniqueTeams,Sources
1992,284,284,20,betexplorer
1993,306,306,18,betexplorer
1994,240,240,16,betexplorer
1995,240,240,16,betexplorer
1996,306,306,18,flashscore
1997,306,306,18,betexplorer
1998,240,240,16,betexplorer
1999,240,240,16,betexplorer
2000,240,240,16,betexplorer
2001,240,240,16,betexplorer
2002,240,240,16,flashscore
2003,240,240,16,betexplorer
2004,240,240,16,betexplorer
2005,240,240,16,betexplorer
2006,240,240,16,betexplorer
2007,239,239,16,betexplorer
2008,240,240,16,betexplorer
2009,240,240,16,betexplorer
2010,240,240,16,betexplorer
2011/12,351,351,16,betexplorer
2012/13,239,239,16,betexplorer
2013/14,239,239,16,betexplorer
2014/15,240,240,16,betexplorer
2015/16,240,240,16,betexplorer
2016/17,240,240,16,betexplorer
2017/18,240,240,16,betexplorer
2018/19,240,240,16,betexplorer
2019/20,236,236,16,betexplorer
2020/21,238,238,16,betexplorer
2021/22,240,240,16,betexplorer
2022/23,239,239,16,betexplorer
2023/24,240,240,16,betexplorer
2024/25,240,240,16,betexplorer
2025/26,240,240,16,betexplorer
