Source,Country,Competition,CompetitionType,Tier,League,Season,Date,HomeRaw,AwayRaw,HomeGoals,AwayGoals,Score,Result,SourceURL,SourceLine,SourceText
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-17,Moskva,Amkar,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,25,Moskva    1-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-17,Torpedo,Tom,1,2,1-2,0-1,https://www.rsssf.org/tablesr/rus06.html,27,Torpedo   1-2 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-18,Spartak M,Luch-Ener,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,30,Spartak M 1-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-18,Dinamo,Shinnik,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,32,Dinamo    1-1 Shinnik
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-18,Spartak N,CSKA,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus06.html,34,Spartak N 0-1 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-19,Lokomotiv,Krylya S,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus06.html,37,Lokomotiv 0-1 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-19,Rubin,Rostov,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus06.html,39,Rubin     2-1 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-19,Zenit,Saturn,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,41,Zenit     1-1 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-26,CSKA,Shinnik,5,1,5-1,1-0,https://www.rsssf.org/tablesr/rus06.html,46,CSKA      5-1 Shinnik
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-26,Tom,Dinamo,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,48,Tom       1-0 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-26,Saturn,Torpedo,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,50,Saturn    0-0 Torpedo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-26,Amkar,Zenit,1,3,1-3,0-1,https://www.rsssf.org/tablesr/rus06.html,52,Amkar     1-3 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-26,Rostov,Moskva,4,0,4-0,1-0,https://www.rsssf.org/tablesr/rus06.html,54,Rostov    4-0 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-26,Luch-Ener,Lokomotiv,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,56,Luch-Ener 1-1 Lokomotiv
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-26,Spartak N,Spartak M,2,2,2-2,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,58,Spartak N 2-2 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-27,Krylya S,Rubin,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,61,Krylya S  0-0 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-31,Torpedo,Amkar,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,66,Torpedo   0-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-03-31,Dinamo,Saturn,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,68,Dinamo    1-1 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-01,Shinnik,Tom,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus06.html,71,Shinnik   0-1 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-01,Spartak M,CSKA,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,73,Spartak M 1-1 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-02,Rubin,Luch-Ener,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,76,Rubin     1-0 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-02,Moskva,Krylya S,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,78,Moskva    1-0 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-02,Lokomotiv,Spartak N,2,3,2-3,0-1,https://www.rsssf.org/tablesr/rus06.html,80,Lokomotiv 2-3 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-02,Zenit,Rostov,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,83,Zenit     1-1 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-08,CSKA,Tom,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus06.html,88,CSKA      2-0 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-08,Moskva,Luch-Ener,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus06.html,90,Moskva    2-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-08,Saturn,Shinnik,3,0,3-0,1-0,https://www.rsssf.org/tablesr/rus06.html,92,Saturn    3-0 Shinnik
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-08,Rostov,Torpedo,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,94,Rostov    1-1 Torpedo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-09,Spartak M,Lokomotiv,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus06.html,97,Spartak M 2-1 Lokomotiv
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-09,Amkar,Dinamo,3,2,3-2,1-0,https://www.rsssf.org/tablesr/rus06.html,99,Amkar     3-2 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-09,Krylya S,Zenit,3,2,3-2,1-0,https://www.rsssf.org/tablesr/rus06.html,102,Krylya S  3-2 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-09,Spartak N,Rubin,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus06.html,105,Spartak N 3-1 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-15,Zenit,Luch-Ener,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus06.html,111,Zenit     3-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-16,Lokomotiv,CSKA,3,2,3-2,1-0,https://www.rsssf.org/tablesr/rus06.html,115,Lokomotiv 3-2 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-16,Rubin,Spartak M,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus06.html,118,Rubin     2-0 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-16,Moskva,Spartak N,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,120,Moskva    1-1 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-16,Torpedo,Krylya S,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,122,Torpedo   1-1 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-16,Shinnik,Amkar,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,124,Shinnik   0-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-16,Tom,Saturn,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,126,Tom       0-0 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-17,Dinamo,Rostov,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus06.html,129,Dinamo    0-1 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-22,CSKA,Saturn,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,134,CSKA      1-0 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-22,Amkar,Tom,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,136,Amkar     0-0 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-22,Luch-Ener,Torpedo,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus06.html,138,Luch-Ener 2-0 Torpedo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-23,Spartak M,Moskva,3,3,3-3,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,141,Spartak M 3-3 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-23,Lokomotiv,Rubin,4,4,4-4,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,144,Lokomotiv 4-4 Rubin
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-23,Rostov,Shinnik,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,147,Rostov    0-0 Shinnik
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-23,Krylya S,Dinamo,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,149,Krylya S  1-0 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-23,Spartak N,Zenit,1,1,1-1,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,151,Spartak N 1-1 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-29,Rubin,CSKA,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,156,Rubin     1-0 CSKA
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-29,Torpedo,Spartak N,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus06.html,158,Torpedo   2-0 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-29,Dinamo,Luch-Ener,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus06.html,160,Dinamo    2-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Moskva,Lokomotiv,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus06.html,163,Moskva    0-1 Lokomotiv
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Zenit,Spartak M,1,4,1-4,0-1,https://www.rsssf.org/tablesr/rus06.html,165,Zenit     1-4 Spartak M
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Shinnik,Krylya S,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,168,Shinnik   1-0 Krylya S
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Tom,Rostov,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus06.html,170,Tom       3-1 Rostov
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Saturn,Amkar,0,0,0-0,0.5-0.5,https://www.rsssf.org/tablesr/rus06.html,172,Saturn    0-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,CSKA,Amkar,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus06.html,177,CSKA      2-0 Amkar
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Lokomotiv,Zenit,3,1,3-1,1-0,https://www.rsssf.org/tablesr/rus06.html,179,Lokomotiv 3-1 Zenit
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Rostov,Saturn,0,2,0-2,0-1,https://www.rsssf.org/tablesr/rus06.html,182,Rostov    0-2 Saturn
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Krylya S,Tom,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus06.html,184,Krylya S  2-1 Tom
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Spartak M,Torpedo,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus06.html,188,Spartak M 2-0 Torpedo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Rubin,Moskva,2,0,2-0,1-0,https://www.rsssf.org/tablesr/rus06.html,190,Rubin     2-0 Moskva
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Luch-Ener,Shinnik,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,192,Luch-Ener 1-0 Shinnik
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Spartak N,Dinamo,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,194,Spartak N 1-0 Dinamo
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Shinnik,Spartak N,0,1,0-1,0-1,https://www.rsssf.org/tablesr/rus06.html,199,Shinnik   0-1 Spartak N
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Tom,Luch-Ener,2,1,2-1,1-0,https://www.rsssf.org/tablesr/rus06.html,201,Tom       2-1 Luch-Ener
rsssf,Russia,russian_premier_league,league,1,Russian Premier League,2006,2006-04-30,Amkar,Rostov,1,0,1-0,1-0,https://www.rsssf.org/tablesr/rus06.html,203,Amkar     1-0 Rostov
