WikiTeam,FDKey,Method
AIK,aik,canonical
BK Häcken,hacken,canonical
Djurgårdens IF,djurgarden,canonical
Falkenbergs FF,falkenbergs,fuzzy
Gefle IF,gefle,canonical
GIF Sundsvall,sundsvall,canonical
Hammarby IF,hammarby,canonical
Helsingborgs IF,helsingborg,canonical
IF Elfsborg,elfsborg,canonical
IFK Göteborg,ifk_goteborg,canonical
IFK Norrköping,ifk_norrkoping,canonical
Jönköpings Södra IF,jonkopings_sodra,canonical
Kalmar FF,kalmar,canonical
Malmö FF,malmo,canonical
Örebro SK,orebro,canonical
Östersunds FK,ostersunds,canonical
