WikiTeam,FDTeam,Method
AFC Eskilstuna,AFC Eskilstuna,canonical_exact
AIK,AIK,canonical_exact
BK Häcken,Hacken,canonical_exact
Djurgårdens IF,Djurgarden,canonical_exact
Falkenbergs FF,Falkenbergs,substring
GIF Sundsvall,Sundsvall,canonical_exact
Hammarby,Hammarby,canonical_exact
Helsingborgs IF,Helsingborg,canonical_exact
IF Elfsborg,Elfsborg,canonical_exact
IFK Göteborg,Goteborg,canonical_exact
IFK Norrköping,Norrkoping,canonical_exact
IK Sirius,Sirius,substring
Kalmar FF,Kalmar,canonical_exact
Malmö FF,Malmo FF,canonical_exact
Örebro SK,Orebro,canonical_exact
Östersunds FK,Ostersunds,canonical_exact
