MatchKey,Occurrence,Away,Home,TableNumber,HG,AG,FDHome,FDAway,WikiID,FDID,Date
AIK|||Degerfors|||1|||1,1,Degerfors IF,AIK,9,1,1,AIK,Degerfors,31,183,2022-09-18
AIK|||Djurgarden|||1|||0,1,Djurgårdens IF,AIK,9,1,0,AIK,Djurgarden,46,33,2022-04-24
AIK|||Elfsborg|||0|||1,1,IF Elfsborg,AIK,9,0,1,AIK,Elfsborg,106,233,2022-11-06
AIK|||Goteborg|||1|||0,1,IFK Göteborg,AIK,9,1,0,AIK,Goteborg,121,50,2022-05-07
AIK|||Hacken|||1|||2,1,BK Häcken,AIK,9,1,2,AIK,Hacken,16,210,2022-10-19
AIK|||Hammarby|||2|||2,1,Hammarby,AIK,9,2,2,AIK,Hammarby,76,155,2022-08-28
AIK|||Helsingborg|||2|||0,1,Helsingborgs IF,AIK,9,2,0,AIK,Helsingborg,91,197,2022-10-09
AIK|||Kalmar|||1|||0,1,Kalmar FF,AIK,9,1,0,AIK,Kalmar,181,109,2022-07-17
AIK|||Malmo FF|||2|||0,1,Malmö FF,AIK,9,2,0,AIK,Malmo FF,196,58,2022-05-11
AIK|||Mjallby|||0|||1,1,Mjällby AIF,AIK,9,0,1,AIK,Mjallby,211,92,2022-07-02
AIK|||Norrkoping|||1|||0,1,IFK Norrköping,AIK,9,1,0,AIK,Norrkoping,136,13,2022-04-10
AIK|||Sirius|||2|||2,1,IK Sirius,AIK,9,2,2,AIK,Sirius,166,67,2022-05-21
AIK|||Sundsvall|||4|||0,1,GIF Sundsvall,AIK,9,4,0,AIK,Sundsvall,61,163,2022-09-04
AIK|||Varberg|||1|||0,1,Varbergs BoIS,AIK,9,1,0,AIK,Varberg,226,25,2022-04-20
AIK|||Varnamo|||2|||2,1,IFK Värnamo,AIK,9,2,2,AIK,Varnamo,151,138,2022-08-14
Degerfors|||AIK|||1|||1,1,AIK,Degerfors IF,9,1,1,Degerfors,AIK,2,83,2022-06-26
Degerfors|||Djurgarden|||3|||0,1,Djurgårdens IF,Degerfors IF,9,3,0,Degerfors,Djurgarden,48,186,2022-10-01
Degerfors|||Elfsborg|||0|||6,1,IF Elfsborg,Degerfors IF,9,0,6,Degerfors,Elfsborg,108,42,2022-05-01
Degerfors|||Goteborg|||3|||1,1,IFK Göteborg,Degerfors IF,9,3,1,Degerfors,Goteborg,123,214,2022-10-20
Degerfors|||Hacken|||1|||2,1,BK Häcken,Degerfors IF,9,1,2,Degerfors,Hacken,17,10,2022-04-09
Degerfors|||Hammarby|||0|||1,1,Hammarby,Degerfors IF,9,0,1,Degerfors,Hammarby,78,30,2022-04-21
Degerfors|||Helsingborg|||2|||1,1,Helsingborgs IF,Degerfors IF,9,2,1,Degerfors,Helsingborg,93,63,2022-05-15
Degerfors|||Kalmar|||2|||1,1,Kalmar FF,Degerfors IF,9,2,1,Degerfors,Kalmar,183,123,2022-07-30
Degerfors|||Malmo FF|||0|||2,1,Malmö FF,Degerfors IF,9,0,2,Degerfors,Malmo FF,198,78,2022-05-29
Degerfors|||Mjallby|||0|||0,1,Mjällby AIF,Degerfors IF,9,0,0,Degerfors,Mjallby,213,170,2022-09-10
Degerfors|||Norrkoping|||1|||1,1,IFK Norrköping,Degerfors IF,9,1,1,Degerfors,Norrkoping,138,100,2022-07-09
Degerfors|||Sirius|||0|||0,1,IK Sirius,Degerfors IF,9,0,0,Degerfors,Sirius,168,193,2022-10-08
Degerfors|||Sundsvall|||3|||1,1,GIF Sundsvall,Degerfors IF,9,3,1,Degerfors,Sundsvall,63,154,2022-08-27
Degerfors|||Varberg|||1|||1,1,Varbergs BoIS,Degerfors IF,9,1,1,Degerfors,Varberg,228,141,2022-08-14
Degerfors|||Varnamo|||0|||0,1,IFK Värnamo,Degerfors IF,9,0,0,Degerfors,Varnamo,153,225,2022-10-29
Djurgarden|||AIK|||1|||2,1,AIK,Djurgårdens IF,9,1,2,Djurgarden,AIK,3,206,2022-10-16
Djurgarden|||Degerfors|||3|||1,1,Degerfors IF,Djurgårdens IF,9,3,1,Djurgarden,Degerfors,33,8,2022-04-04
Djurgarden|||Elfsborg|||2|||1,1,IF Elfsborg,Djurgårdens IF,9,2,1,Djurgarden,Elfsborg,109,160,2022-08-29
Djurgarden|||Goteborg|||3|||0,1,IFK Göteborg,Djurgårdens IF,9,3,0,Djurgarden,Goteborg,124,184,2022-09-18
Djurgarden|||Hacken|||0|||1,1,BK Häcken,Djurgårdens IF,9,0,1,Djurgarden,Hacken,18,198,2022-10-09
Djurgarden|||Hammarby|||1|||0,1,Hammarby,Djurgårdens IF,9,1,0,Djurgarden,Hammarby,79,94,2022-07-03
Djurgarden|||Helsingborg|||2|||2,1,Helsingborgs IF,Djurgårdens IF,9,2,2,Djurgarden,Helsingborg,94,49,2022-05-05
Djurgarden|||Kalmar|||3|||2,1,Kalmar FF,Djurgårdens IF,9,3,2,Djurgarden,Kalmar,184,139,2022-08-14
Djurgarden|||Malmo FF|||4|||0,1,Malmö FF,Djurgårdens IF,9,4,0,Djurgarden,Malmo FF,199,66,2022-05-16
Djurgarden|||Mjallby|||0|||1,1,Mjällby AIF,Djurgårdens IF,9,0,1,Djurgarden,Mjallby,214,234,2022-11-06
Djurgarden|||Norrkoping|||2|||1,1,IFK Norrköping,Djurgårdens IF,9,2,1,Djurgarden,Norrkoping,139,18,2022-04-16
Djurgarden|||Sirius|||4|||0,1,IK Sirius,Djurgårdens IF,9,4,0,Djurgarden,Sirius,169,41,2022-04-30
Djurgarden|||Sundsvall|||4|||0,1,GIF Sundsvall,Djurgårdens IF,9,4,0,Djurgarden,Sundsvall,64,223,2022-10-24
