MatchKey,Occurrence,TableNumber,Home,Away,HG,AG,HomeKey,AwayKey,WikiID,FDID,Date
aik|||bk hacken|||1|||2,1,9,AIK,BK Häcken,1,2,aik,bk hacken,1,,
aik|||degerfors if|||1|||1,1,9,AIK,Degerfors IF,1,1,aik,degerfors if,2,,
aik|||djurgardens if|||1|||0,1,9,AIK,Djurgårdens IF,1,0,aik,djurgardens if,3,,
aik|||gif sundsvall|||4|||0,1,9,AIK,GIF Sundsvall,4,0,aik,gif sundsvall,4,,
aik|||helsingborgs if|||2|||0,1,9,AIK,Helsingborgs IF,2,0,aik,helsingborgs if,6,,
aik|||if elfsborg|||0|||1,1,9,AIK,IF Elfsborg,0,1,aik,if elfsborg,7,,
aik|||ifk goteborg|||1|||0,1,9,AIK,IFK Göteborg,1,0,aik,ifk goteborg,8,,
aik|||ifk norrkoping|||1|||0,1,9,AIK,IFK Norrköping,1,0,aik,ifk norrkoping,9,,
aik|||ifk varnamo|||2|||2,1,9,AIK,IFK Värnamo,2,2,aik,ifk varnamo,10,,
aik|||ik sirius|||2|||2,1,9,AIK,IK Sirius,2,2,aik,ik sirius,11,,
aik|||kalmar ff|||1|||0,1,9,AIK,Kalmar FF,1,0,aik,kalmar ff,12,,
aik|||mjallby aif|||0|||1,1,9,AIK,Mjällby AIF,0,1,aik,mjallby aif,14,,
aik|||varbergs bois|||1|||0,1,9,AIK,Varbergs BoIS,1,0,aik,varbergs bois,15,,
bk hacken|||aik|||4|||2,1,9,BK Häcken,AIK,4,2,bk hacken,aik,16,,
bk hacken|||degerfors if|||2|||2,1,9,BK Häcken,Degerfors IF,2,2,bk hacken,degerfors if,17,,
bk hacken|||djurgardens if|||1|||2,1,9,BK Häcken,Djurgårdens IF,1,2,bk hacken,djurgardens if,18,,
bk hacken|||gif sundsvall|||4|||1,1,9,BK Häcken,GIF Sundsvall,4,1,bk hacken,gif sundsvall,19,,
bk hacken|||hammarby|||1|||1,1,9,BK Häcken,Hammarby,1,1,bk hacken,hammarby,20,,
bk hacken|||helsingborgs if|||5|||0,1,9,BK Häcken,Helsingborgs IF,5,0,bk hacken,helsingborgs if,21,,
bk hacken|||if elfsborg|||1|||1,1,9,BK Häcken,IF Elfsborg,1,1,bk hacken,if elfsborg,22,,
bk hacken|||ifk goteborg|||0|||2,1,9,BK Häcken,IFK Göteborg,0,2,bk hacken,ifk goteborg,23,,
bk hacken|||ifk norrkoping|||3|||3,1,9,BK Häcken,IFK Norrköping,3,3,bk hacken,ifk norrkoping,24,,
bk hacken|||ifk varnamo|||4|||1,1,9,BK Häcken,IFK Värnamo,4,1,bk hacken,ifk varnamo,25,,
bk hacken|||ik sirius|||4|||3,1,9,BK Häcken,IK Sirius,4,3,bk hacken,ik sirius,26,,
bk hacken|||kalmar ff|||3|||1,1,9,BK Häcken,Kalmar FF,3,1,bk hacken,kalmar ff,27,,
bk hacken|||malmo ff|||2|||1,1,9,BK Häcken,Malmö FF,2,1,bk hacken,malmo ff,28,,
bk hacken|||mjallby aif|||1|||0,1,9,BK Häcken,Mjällby AIF,1,0,bk hacken,mjallby aif,29,,
bk hacken|||varbergs bois|||3|||1,1,9,BK Häcken,Varbergs BoIS,3,1,bk hacken,varbergs bois,30,,
degerfors if|||aik|||1|||1,1,9,Degerfors IF,AIK,1,1,degerfors if,aik,31,,
degerfors if|||bk hacken|||1|||2,1,9,Degerfors IF,BK Häcken,1,2,degerfors if,bk hacken,32,,
degerfors if|||djurgardens if|||3|||0,1,9,Degerfors IF,Djurgårdens IF,3,0,degerfors if,djurgardens if,33,,
degerfors if|||gif sundsvall|||3|||1,1,9,Degerfors IF,GIF Sundsvall,3,1,degerfors if,gif sundsvall,34,,
degerfors if|||hammarby|||0|||1,1,9,Degerfors IF,Hammarby,0,1,degerfors if,hammarby,35,,
degerfors if|||helsingborgs if|||2|||1,1,9,Degerfors IF,Helsingborgs IF,2,1,degerfors if,helsingborgs if,36,,
degerfors if|||if elfsborg|||0|||6,1,9,Degerfors IF,IF Elfsborg,0,6,degerfors if,if elfsborg,37,,
degerfors if|||ifk goteborg|||3|||1,1,9,Degerfors IF,IFK Göteborg,3,1,degerfors if,ifk goteborg,38,,
degerfors if|||ifk norrkoping|||1|||1,1,9,Degerfors IF,IFK Norrköping,1,1,degerfors if,ifk norrkoping,39,,
degerfors if|||ifk varnamo|||0|||0,1,9,Degerfors IF,IFK Värnamo,0,0,degerfors if,ifk varnamo,40,,
degerfors if|||ik sirius|||0|||0,1,9,Degerfors IF,IK Sirius,0,0,degerfors if,ik sirius,41,,
degerfors if|||kalmar ff|||2|||1,1,9,Degerfors IF,Kalmar FF,2,1,degerfors if,kalmar ff,42,,
