Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA,B365CH,B365CD,B365CA,ParsedDate,HomeKey,AwayKey,MatchKey,Occurrence,FDID
Sweden,Allsvenskan,2023,01/04/2023,14:00,Malmo FF,Kalmar,1,0,H,1.63,4.11,5.76,1.68,4.33,5.8,1.62,3.97,5.28,,,,,,,2023-04-01,malmo ff,kalmar,malmo ff|||kalmar|||1|||0,1,1
Sweden,Allsvenskan,2023,01/04/2023,16:30,Djurgarden,Brommapojkarna,3,1,H,1.32,5.91,9.28,1.32,6.4,11,1.28,5.7,9.78,,,,,,,2023-04-01,djurgarden,brommapojkarna,djurgarden|||brommapojkarna|||3|||1,1,2
Sweden,Allsvenskan,2023,02/04/2023,14:00,Hammarby,Degerfors,3,1,H,1.31,6.01,9.69,1.32,6.25,11,1.29,5.66,9.75,,,,,,,2023-04-02,hammarby,degerfors,hammarby|||degerfors|||3|||1,1,3
Sweden,Allsvenskan,2023,02/04/2023,14:00,Norrkoping,Sirius,1,1,D,1.93,3.71,4.14,1.95,4.02,4.2,1.88,3.65,3.94,,,,,,,2023-04-02,norrkoping,sirius,norrkoping|||sirius|||1|||1,1,4
Sweden,Allsvenskan,2023,02/04/2023,16:30,Goteborg,Varnamo,0,1,A,2.04,3.61,3.82,2.06,3.7,3.95,1.98,3.53,3.7,,,,,,,2023-04-02,goteborg,varnamo,goteborg|||varnamo|||0|||1,1,5
Sweden,Allsvenskan,2023,02/04/2023,16:30,Halmstad,AIK,2,1,H,3.26,3.19,2.46,3.69,3.4,2.46,3.27,3.16,2.29,,,,,,,2023-04-02,halmstad,aik,halmstad|||aik|||2|||1,1,6
Sweden,Allsvenskan,2023,03/04/2023,18:00,Mjallby,Varberg,2,2,D,1.68,3.67,6.04,1.9,3.68,6.04,1.69,3.51,5.46,,,,,,,2023-04-03,mjallby,varberg,mjallby|||varberg|||2|||2,1,7
Sweden,Allsvenskan,2023,03/04/2023,18:10,Elfsborg,Hacken,0,2,A,2.43,3.8,2.83,2.6,3.88,2.85,2.39,3.66,2.72,,,,,,,2023-04-03,elfsborg,hacken,elfsborg|||hacken|||0|||2,1,8
Sweden,Allsvenskan,2023,08/04/2023,14:00,Brommapojkarna,Malmo FF,1,2,A,7.44,4.79,1.47,7.7,4.9,1.47,6.75,4.63,1.44,,,,,,,2023-04-08,brommapojkarna,malmo ff,brommapojkarna|||malmo ff|||1|||2,1,9
Sweden,Allsvenskan,2023,08/04/2023,14:00,Degerfors,Halmstad,3,1,H,2.59,3.53,2.83,2.59,3.55,3,2.44,3.34,2.85,,,,,,,2023-04-08,degerfors,halmstad,degerfors|||halmstad|||3|||1,1,10
Sweden,Allsvenskan,2023,09/04/2023,14:00,Hacken,Hammarby,3,1,H,2.02,3.79,3.68,2.06,3.83,3.68,2,3.67,3.5,,,,,,,2023-04-09,hacken,hammarby,hacken|||hammarby|||3|||1,1,11
Sweden,Allsvenskan,2023,09/04/2023,16:30,Kalmar,Goteborg,2,0,H,2.05,3.38,4.03,2.08,3.53,4.3,1.99,3.32,3.93,,,,,,,2023-04-09,kalmar,goteborg,kalmar|||goteborg|||2|||0,1,12
Sweden,Allsvenskan,2023,09/04/2023,16:30,Sirius,Djurgarden,0,0,D,3.73,3.62,2.05,3.83,3.67,2.07,3.66,3.5,2,,,,,,,2023-04-09,sirius,djurgarden,sirius|||djurgarden|||0|||0,1,13
Sweden,Allsvenskan,2023,10/04/2023,12:00,Varnamo,Mjallby,0,1,A,2.94,3.25,2.63,2.96,3.31,2.65,2.83,3.18,2.54,,,,,,,2023-04-10,varnamo,mjallby,varnamo|||mjallby|||0|||1,1,14
Sweden,Allsvenskan,2023,10/04/2023,14:00,AIK,Norrkoping,0,3,A,1.72,3.81,5.11,1.75,4,5.4,1.7,3.76,4.9,,,,,,,2023-04-10,aik,norrkoping,aik|||norrkoping|||0|||3,1,15
Sweden,Allsvenskan,2023,10/04/2023,14:00,Varberg,Elfsborg,0,0,D,4.96,3.86,1.72,5.15,4.05,1.78,4.76,3.82,1.7,,,,,,,2023-04-10,varberg,elfsborg,varberg|||elfsborg|||0|||0,1,16
Sweden,Allsvenskan,2023,15/04/2023,14:00,Elfsborg,Brommapojkarna,5,0,H,1.38,5.62,7.77,1.4,6,8.8,1.35,5.37,7.77,,,,,,,2023-04-15,elfsborg,brommapojkarna,elfsborg|||brommapojkarna|||5|||0,1,17
Sweden,Allsvenskan,2023,15/04/2023,16:30,Hacken,Kalmar,1,3,A,1.67,4.15,5.3,1.68,4.33,5.3,1.64,4.05,4.98,,,,,,,2023-04-15,hacken,kalmar,hacken|||kalmar|||1|||3,1,18
Sweden,Allsvenskan,2023,16/04/2023,14:00,Norrkoping,Varnamo,2,1,H,1.72,3.96,5.04,1.74,4,5.1,1.7,3.82,4.8,,,,,,,2023-04-16,norrkoping,varnamo,norrkoping|||varnamo|||2|||1,1,20
Sweden,Allsvenskan,2023,16/04/2023,16:30,Halmstad,Djurgarden,2,0,H,3.79,3.4,2.13,3.89,3.55,2.16,3.6,3.37,2.07,,,,,,,2023-04-16,halmstad,djurgarden,halmstad|||djurgarden|||2|||0,1,21
Sweden,Allsvenskan,2023,16/04/2023,16:30,Mjallby,Degerfors,2,0,H,1.83,3.73,4.65,1.88,3.75,4.65,1.82,3.57,4.31,,,,,,,2023-04-16,mjallby,degerfors,mjallby|||degerfors|||2|||0,1,22
Sweden,Allsvenskan,2023,17/04/2023,18:00,Varberg,Sirius,1,1,D,3.58,3.37,2.21,3.73,3.37,2.23,3.53,3.23,2.14,,,,,,,2023-04-17,varberg,sirius,varberg|||sirius|||1|||1,1,23
Sweden,Allsvenskan,2023,17/04/2023,18:10,Goteborg,Malmo FF,0,1,A,4.67,3.94,1.78,5.15,3.94,1.8,4.61,3.74,1.74,,,,,,,2023-04-17,goteborg,malmo ff,goteborg|||malmo ff|||0|||1,1,24
Sweden,Allsvenskan,2023,22/04/2023,14:00,Hammarby,Varberg,2,0,H,1.3,5.87,10.94,1.33,6,12,1.28,5.5,10.44,,,,,,,2023-04-22,hammarby,varberg,hammarby|||varberg|||2|||0,1,25
Sweden,Allsvenskan,2023,22/04/2023,16:30,Degerfors,Elfsborg,1,2,A,3.68,3.76,2.04,3.72,3.95,2.08,3.51,3.67,2,,,,,,,2023-04-22,degerfors,elfsborg,degerfors|||elfsborg|||1|||2,1,26
Sweden,Allsvenskan,2023,23/04/2023,14:00,Djurgarden,Goteborg,1,0,H,1.53,4.4,6.6,1.55,4.6,7.5,1.5,4.3,6.41,,,,,,,2023-04-23,djurgarden,goteborg,djurgarden|||goteborg|||1|||0,1,27
Sweden,Allsvenskan,2023,23/04/2023,14:00,Kalmar,Halmstad,2,0,H,1.79,3.48,5.42,1.9,3.62,5.42,1.75,3.48,4.98,,,,,,,2023-04-23,kalmar,halmstad,kalmar|||halmstad|||2|||0,1,28
Sweden,Allsvenskan,2023,23/04/2023,16:30,Sirius,Hacken,1,4,A,3.74,3.86,1.99,3.75,3.86,2.12,3.46,3.67,2.01,,,,,,,2023-04-23,sirius,hacken,sirius|||hacken|||1|||4,1,29
Sweden,Allsvenskan,2023,24/04/2023,18:00,Brommapojkarna,Mjallby,2,0,H,3.16,3.34,2.43,3.2,3.37,2.54,3.03,3.24,2.38,,,,,,,2023-04-24,brommapojkarna,mjallby,brommapojkarna|||mjallby|||2|||0,1,30
