Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,DateMatchMethod,Score,Result,FixtureSource,ResultSource,DateSource
2016-04-02,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Jönköpings Södra IF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-04-02,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,IFK Norrköping,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-04-03,2016,Sweden,Allsvenskan,1,Domestic,AIK,GIF Sundsvall,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-04-03,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,IF Elfsborg,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-04-03,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,IFK Göteborg,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-04-03,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,Helsingborgs IF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-04-03,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Djurgårdens IF,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-04-04,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,Östersunds FK,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-04-06,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,BK Häcken,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-04-06,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Kalmar FF,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2016-04-06,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,Malmö FF,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2016-04-07,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Falkenbergs FF,5,0,score,5-0,H,wikipedia,wikipedia,football-data
2016-04-07,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Gefle IF,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-04-07,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Örebro SK,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2016-04-07,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Hammarby IF,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2016-04-07,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,AIK,0,2,score,0-2,A,wikipedia,wikipedia,football-data
2016-04-09,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,IFK Norrköping,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-04-10,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Östersunds FK,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-04-10,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,Djurgårdens IF,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-04-10,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,Helsingborgs IF,5,1,score,5-1,H,wikipedia,wikipedia,football-data
2016-04-10,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,IF Elfsborg,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2016-04-11,2016,Sweden,Allsvenskan,1,Domestic,AIK,IFK Göteborg,3,3,score,3-3,D,wikipedia,wikipedia,football-data
2016-04-11,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,GIF Sundsvall,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-04-11,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,Jönköpings Södra IF,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-04-15,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,BK Häcken,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-04-16,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Falkenbergs FF,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-04-17,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Kalmar FF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-04-17,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,AIK,4,1,score,4-1,H,wikipedia,wikipedia,football-data
2016-04-17,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,Gefle IF,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-04-18,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Örebro SK,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-04-18,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Malmö FF,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-04-19,2016,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Hammarby IF,1,3,score,1-3,A,wikipedia,wikipedia,football-data
2016-04-22,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,IFK Norrköping,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-04-23,2016,Sweden,Allsvenskan,1,Domestic,Gefle IF,Östersunds FK,0,0,score,0-0,D,wikipedia,wikipedia,football-data
2016-04-23,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,Jönköpings Södra IF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-04-24,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,GIF Sundsvall,0,1,score,0-1,A,wikipedia,wikipedia,football-data
2016-04-24,2016,Sweden,Allsvenskan,1,Domestic,Malmö FF,Djurgårdens IF,1,0,score,1-0,H,wikipedia,wikipedia,football-data
2016-04-24,2016,Sweden,Allsvenskan,1,Domestic,Örebro SK,IFK Göteborg,3,2,score,3-2,H,wikipedia,wikipedia,football-data
2016-04-25,2016,Sweden,Allsvenskan,1,Domestic,AIK,IF Elfsborg,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-04-25,2016,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Helsingborgs IF,2,3,score,2-3,A,wikipedia,wikipedia,football-data
2016-04-26,2016,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Hammarby IF,3,1,score,3-1,H,wikipedia,wikipedia,football-data
2016-04-27,2016,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Malmö FF,0,3,score,0-3,A,wikipedia,wikipedia,football-data
2016-04-27,2016,Sweden,Allsvenskan,1,Domestic,Jönköpings Södra IF,Falkenbergs FF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-04-27,2016,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Örebro SK,2,4,score,2-4,A,wikipedia,wikipedia,football-data
2016-04-28,2016,Sweden,Allsvenskan,1,Domestic,BK Häcken,Gefle IF,6,1,score,6-1,H,wikipedia,wikipedia,football-data
2016-04-28,2016,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Kalmar FF,1,1,score,1-1,D,wikipedia,wikipedia,football-data
2016-04-28,2016,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,AIK,2,1,score,2-1,H,wikipedia,wikipedia,football-data
2016-04-28,2016,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Djurgårdens IF,3,0,score,3-0,H,wikipedia,wikipedia,football-data
2016-05-01,2016,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,IF Elfsborg,1,2,score,1-2,A,wikipedia,wikipedia,football-data
2016-05-01,2016,Sweden,Allsvenskan,1,Domestic,Hammarby IF,GIF Sundsvall,1,1,score,1-1,D,wikipedia,wikipedia,football-data
