Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource
2019-03-31,2019,Sweden,Allsvenskan,1,Domestic,AFC Eskilstuna,IFK Göteborg,3,1,3-1,H,wikipedia,wikipedia,football-data
2019-03-31,2019,Sweden,Allsvenskan,1,Domestic,AIK,Östersunds FK,0,0,0-0,D,wikipedia,wikipedia,football-data
2019-03-31,2019,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,Örebro SK,1,0,1-0,H,wikipedia,wikipedia,football-data
2019-03-31,2019,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,IFK Norrköping,3,1,3-1,H,wikipedia,wikipedia,football-data
2019-03-31,2019,Sweden,Allsvenskan,1,Domestic,Kalmar FF,IK Sirius,0,2,0-2,A,wikipedia,wikipedia,football-data
2019-04-01,2019,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,GIF Sundsvall,2,2,2-2,D,wikipedia,wikipedia,football-data
2019-04-01,2019,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Hammarby,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-01,2019,Sweden,Allsvenskan,1,Domestic,Malmö FF,BK Häcken,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-06,2019,Sweden,Allsvenskan,1,Domestic,BK Häcken,Helsingborgs IF,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-06,2019,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Malmö FF,3,1,3-1,H,wikipedia,wikipedia,football-data
2019-04-07,2019,Sweden,Allsvenskan,1,Domestic,Hammarby,Kalmar FF,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-07,2019,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IF Elfsborg,3,0,3-0,H,wikipedia,wikipedia,football-data
2019-04-07,2019,Sweden,Allsvenskan,1,Domestic,Östersunds FK,Falkenbergs FF,3,2,3-2,H,wikipedia,wikipedia,football-data
2019-04-08,2019,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,AIK,0,0,0-0,D,wikipedia,wikipedia,football-data
2019-04-08,2019,Sweden,Allsvenskan,1,Domestic,IK Sirius,AFC Eskilstuna,3,2,3-2,H,wikipedia,wikipedia,football-data
2019-04-08,2019,Sweden,Allsvenskan,1,Domestic,Örebro SK,Djurgårdens IF,0,3,0-3,A,wikipedia,wikipedia,football-data
2019-04-12,2019,Sweden,Allsvenskan,1,Domestic,AFC Eskilstuna,Örebro SK,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-13,2019,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,BK Häcken,0,3,0-3,A,wikipedia,wikipedia,football-data
2019-04-13,2019,Sweden,Allsvenskan,1,Domestic,Kalmar FF,IFK Norrköping,2,2,2-2,D,wikipedia,wikipedia,football-data
2019-04-14,2019,Sweden,Allsvenskan,1,Domestic,AIK,IK Sirius,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-14,2019,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,GIF Sundsvall,3,1,3-1,H,wikipedia,wikipedia,football-data
2019-04-14,2019,Sweden,Allsvenskan,1,Domestic,Malmö FF,Östersunds FK,2,0,2-0,H,wikipedia,wikipedia,football-data
2019-04-15,2019,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IFK Göteborg,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-15,2019,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Hammarby,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-19,2019,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Falkenbergs FF,4,3,4-3,H,wikipedia,wikipedia,football-data
2019-04-19,2019,Sweden,Allsvenskan,1,Domestic,Örebro SK,AIK,2,1,2-1,H,wikipedia,wikipedia,football-data
2019-04-19,2019,Sweden,Allsvenskan,1,Domestic,Östersunds FK,IF Elfsborg,1,1,1-1,D,wikipedia,wikipedia,football-data
2019-04-20,2019,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Kalmar FF,1,2,1-2,A,wikipedia,wikipedia,football-data
2019-04-20,2019,Sweden,Allsvenskan,1,Domestic,IK Sirius,Malmö FF,0,1,0-1,A,wikipedia,wikipedia,football-data
2019-04-21,2019,Sweden,Allsvenskan,1,Domestic,BK Häcken,Djurgårdens IF,0,1,0-1,A,wikipedia,wikipedia,football-data
2019-04-21,2019,Sweden,Allsvenskan,1,Domestic,Hammarby,AFC Eskilstuna,3,1,3-1,H,wikipedia,wikipedia,football-data
2019-04-22,2019,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Helsingborgs IF,3,1,3-1,H,wikipedia,wikipedia,football-data
2019-04-24,2019,Sweden,Allsvenskan,1,Domestic,AFC Eskilstuna,Östersunds FK,0,1,0-1,A,wikipedia,wikipedia,football-data
2019-04-24,2019,Sweden,Allsvenskan,1,Domestic,AIK,BK Häcken,1,0,1-0,H,wikipedia,wikipedia,football-data
2019-04-24,2019,Sweden,Allsvenskan,1,Domestic,Falkenbergs FF,IK Sirius,0,0,0-0,D,wikipedia,wikipedia,football-data
2019-04-24,2019,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Örebro SK,4,2,4-2,H,wikipedia,wikipedia,football-data
2019-04-24,2019,Sweden,Allsvenskan,1,Domestic,Malmö FF,Hammarby,4,1,4-1,H,wikipedia,wikipedia,football-data
2019-04-25,2019,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,IFK Norrköping,1,1,1-1,D,wikipedia,wikipedia,football-data
