Date,Season,Country,League,Tier,CompetitionType,Home,Away,HomeScore,AwayScore,Score,Result,FixtureSource,ResultSource,DateSource,DateMatchMethod
2012-03-31,2012,Sweden,Allsvenskan,1,Domestic,GAIS,BK Häcken,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-03-31,2012,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Kalmar FF,0,1,0-1,A,wikipedia,wikipedia,football-data,
2012-03-31,2012,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,Djurgårdens IF,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-04-01,2012,Sweden,Allsvenskan,1,Domestic,AIK,Mjällby AIF,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-04-01,2012,Sweden,Allsvenskan,1,Domestic,Syrianska FC,IFK Göteborg,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-04-02,2012,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Helsingborgs IF,1,0,1-0,H,wikipedia,wikipedia,football-data,
2012-04-02,2012,Sweden,Allsvenskan,1,Domestic,Malmö FF,Gefle IF,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-04-02,2012,Sweden,Allsvenskan,1,Domestic,Örebro SK,Åtvidabergs FF,3,4,3-4,A,wikipedia,wikipedia,football-data,
2012-04-06,2012,Sweden,Allsvenskan,1,Domestic,Gefle IF,Syrianska FC,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-04-06,2012,Sweden,Allsvenskan,1,Domestic,Åtvidabergs FF,GAIS,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-04-07,2012,Sweden,Allsvenskan,1,Domestic,BK Häcken,Malmö FF,5,0,5-0,H,wikipedia,wikipedia,football-data,
2012-04-07,2012,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Örebro SK,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-04-08,2012,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,GIF Sundsvall,1,0,1-0,H,wikipedia,wikipedia,football-data,
2012-04-08,2012,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,IF Elfsborg,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-04-09,2012,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,IFK Norrköping,1,2,1-2,A,wikipedia,wikipedia,football-data,
2012-04-09,2012,Sweden,Allsvenskan,1,Domestic,Kalmar FF,AIK,1,2,1-2,A,wikipedia,wikipedia,football-data,
2012-04-10,2012,Sweden,Allsvenskan,1,Domestic,Åtvidabergs FF,Gefle IF,6,1,6-1,H,wikipedia,wikipedia,football-data,
2012-04-11,2012,Sweden,Allsvenskan,1,Domestic,GAIS,Djurgårdens IF,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-04-11,2012,Sweden,Allsvenskan,1,Domestic,Örebro SK,Helsingborgs IF,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-04-12,2012,Sweden,Allsvenskan,1,Domestic,AIK,IFK Göteborg,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-04-12,2012,Sweden,Allsvenskan,1,Domestic,BK Häcken,Mjällby AIF,4,2,4-2,H,wikipedia,wikipedia,football-data,
2012-04-12,2012,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Syrianska FC,4,0,4-0,H,wikipedia,wikipedia,football-data,
2012-04-12,2012,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,IFK Norrköping,2,0,2-0,H,wikipedia,wikipedia,football-data,
2012-04-13,2012,Sweden,Allsvenskan,1,Domestic,Malmö FF,Kalmar FF,2,0,2-0,H,wikipedia,wikipedia,football-data,
2012-04-15,2012,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Örebro SK,2,2,2-2,D,wikipedia,wikipedia,football-data,
2012-04-15,2012,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Åtvidabergs FF,2,0,2-0,H,wikipedia,wikipedia,football-data,
2012-04-15,2012,Sweden,Allsvenskan,1,Domestic,Syrianska FC,AIK,0,1,0-1,A,wikipedia,wikipedia,football-data,
2012-04-16,2012,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Malmö FF,2,3,2-3,A,wikipedia,wikipedia,football-data,
2012-04-16,2012,Sweden,Allsvenskan,1,Domestic,Gefle IF,IF Elfsborg,1,2,1-2,A,wikipedia,wikipedia,football-data,
2012-04-16,2012,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,GAIS,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-04-16,2012,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,GIF Sundsvall,2,2,2-2,D,wikipedia,wikipedia,football-data,
2012-04-16,2012,Sweden,Allsvenskan,1,Domestic,Kalmar FF,BK Häcken,3,1,3-1,H,wikipedia,wikipedia,football-data,
2012-04-20,2012,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Djurgårdens IF,4,3,4-3,H,wikipedia,wikipedia,football-data,
2012-04-21,2012,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Gefle IF,0,1,0-1,A,wikipedia,wikipedia,football-data,
2012-04-21,2012,Sweden,Allsvenskan,1,Domestic,Åtvidabergs FF,Helsingborgs IF,1,2,1-2,A,wikipedia,wikipedia,football-data,
2012-04-22,2012,Sweden,Allsvenskan,1,Domestic,AIK,GIF Sundsvall,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-04-22,2012,Sweden,Allsvenskan,1,Domestic,GAIS,IFK Norrköping,2,0,2-0,H,wikipedia,wikipedia,football-data,
2012-04-23,2012,Sweden,Allsvenskan,1,Domestic,BK Häcken,IFK Göteborg,1,2,1-2,A,wikipedia,wikipedia,football-data,
2012-04-23,2012,Sweden,Allsvenskan,1,Domestic,Malmö FF,Syrianska FC,2,0,2-0,H,wikipedia,wikipedia,football-data,
2012-04-23,2012,Sweden,Allsvenskan,1,Domestic,Örebro SK,IF Elfsborg,0,2,0-2,A,wikipedia,wikipedia,football-data,
2012-04-26,2012,Sweden,Allsvenskan,1,Domestic,Gefle IF,AIK,0,1,0-1,A,wikipedia,wikipedia,football-data,
2012-04-26,2012,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,GAIS,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-04-27,2012,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,Mjällby AIF,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-04-28,2012,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Åtvidabergs FF,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-04-28,2012,Sweden,Allsvenskan,1,Domestic,Syrianska FC,BK Häcken,1,2,1-2,A,wikipedia,wikipedia,football-data,
2012-04-29,2012,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Kalmar FF,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-04-29,2012,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Örebro SK,3,1,3-1,H,wikipedia,wikipedia,football-data,
2012-04-29,2012,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Malmö FF,3,2,3-2,H,wikipedia,wikipedia,football-data,
2012-05-02,2012,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,AIK,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-05-02,2012,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,GIF Sundsvall,2,0,2-0,H,wikipedia,wikipedia,football-data,
2012-05-02,2012,Sweden,Allsvenskan,1,Domestic,Syrianska FC,IF Elfsborg,1,4,1-4,A,wikipedia,wikipedia,football-data,
2012-05-02,2012,Sweden,Allsvenskan,1,Domestic,Åtvidabergs FF,BK Häcken,0,3,0-3,A,wikipedia,wikipedia,football-data,
2012-05-03,2012,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Örebro SK,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-05-03,2012,Sweden,Allsvenskan,1,Domestic,Gefle IF,IFK Norrköping,0,2,0-2,A,wikipedia,wikipedia,football-data,
2012-05-03,2012,Sweden,Allsvenskan,1,Domestic,Mjällby AIF,Malmö FF,2,2,2-2,D,wikipedia,wikipedia,football-data,
2012-05-04,2012,Sweden,Allsvenskan,1,Domestic,Kalmar FF,GAIS,2,2,2-2,D,wikipedia,wikipedia,football-data,
2012-05-05,2012,Sweden,Allsvenskan,1,Domestic,GIF Sundsvall,Helsingborgs IF,0,1,0-1,A,wikipedia,wikipedia,football-data,
2012-05-06,2012,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Syrianska FC,1,4,1-4,A,wikipedia,wikipedia,football-data,
2012-05-06,2012,Sweden,Allsvenskan,1,Domestic,Malmö FF,Åtvidabergs FF,2,1,2-1,H,wikipedia,wikipedia,football-data,
2012-05-07,2012,Sweden,Allsvenskan,1,Domestic,GAIS,Mjällby AIF,2,2,2-2,D,wikipedia,wikipedia,football-data,
2012-05-07,2012,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,IFK Göteborg,1,0,1-0,H,wikipedia,wikipedia,football-data,
2012-05-07,2012,Sweden,Allsvenskan,1,Domestic,Örebro SK,Kalmar FF,0,1,0-1,A,wikipedia,wikipedia,football-data,
2012-05-08,2012,Sweden,Allsvenskan,1,Domestic,AIK,Djurgårdens IF,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-05-10,2012,Sweden,Allsvenskan,1,Domestic,BK Häcken,Gefle IF,3,0,3-0,H,wikipedia,wikipedia,football-data,
2012-05-10,2012,Sweden,Allsvenskan,1,Domestic,Malmö FF,Helsingborgs IF,3,0,3-0,H,wikipedia,wikipedia,football-data,
2012-05-11,2012,Sweden,Allsvenskan,1,Domestic,Syrianska FC,GAIS,2,0,2-0,H,wikipedia,wikipedia,football-data,
2012-05-12,2012,Sweden,Allsvenskan,1,Domestic,Djurgårdens IF,Åtvidabergs FF,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-05-12,2012,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Mjällby AIF,1,2,1-2,A,wikipedia,wikipedia,football-data,
2012-05-13,2012,Sweden,Allsvenskan,1,Domestic,Helsingborgs IF,BK Häcken,3,2,3-2,H,wikipedia,wikipedia,football-data,
2012-05-13,2012,Sweden,Allsvenskan,1,Domestic,IF Elfsborg,AIK,1,0,1-0,H,wikipedia,wikipedia,football-data,
2012-05-13,2012,Sweden,Allsvenskan,1,Domestic,IFK Norrköping,Örebro SK,3,0,3-0,H,wikipedia,wikipedia,football-data,
2012-05-14,2012,Sweden,Allsvenskan,1,Domestic,Gefle IF,GIF Sundsvall,0,0,0-0,D,wikipedia,wikipedia,football-data,
2012-05-14,2012,Sweden,Allsvenskan,1,Domestic,IFK Göteborg,Malmö FF,2,2,2-2,D,wikipedia,wikipedia,football-data,
2012-05-16,2012,Sweden,Allsvenskan,1,Domestic,BK Häcken,IFK Norrköping,6,0,6-0,H,wikipedia,wikipedia,football-data,
2012-05-16,2012,Sweden,Allsvenskan,1,Domestic,Kalmar FF,Helsingborgs IF,1,1,1-1,D,wikipedia,wikipedia,football-data,
2012-05-16,2012,Sweden,Allsvenskan,1,Domestic,Åtvidabergs FF,Syrianska FC,1,0,1-0,H,wikipedia,wikipedia,football-data,
